,dataset_name,ds_name,model,dataset_size,number_annotations,num_annos,f1_bin_maj,f1_macro_maj,f1_bin_indi,f1_macro_indi,test_acc_maj,test_acc_indi,mean_train_millis,mean_train_millis_per_annotation,mean_train_millis_per_sample,mean_eval_millis_per_annotation,mean_test_millis_per_annotation,sum_all_millis,annotations_per_anno,comment_percentage,learning_rate,fold
0,ArMIS-comp,ArMIS,comp,943,943,1,0.5323741007194245,0.6302037867613859,0.5323741007194245,0.6302037867613859,0.656084656084656,0.656084656084656,5434.13461750024,5.762602987805132,5.762602987805132,2.7354792758215303,,82814.05148799968,,,,0
1,ArMIS-compUid,ArMIS,compUid,943,943,1,0.5205479452054794,0.6094119036372224,0.5205479452054794,0.6094119036372224,0.6296296296296297,0.6296296296296297,5653.903469404031,5.995655853026544,5.995655853026544,2.855802044963878,,86158.46011805115,,,,0
2,ArMIS-sbertbase,ArMIS,sbertbase,943,943,1,0.5786163522012578,0.6363401395709485,0.5786163522012578,0.6363401395709485,0.6455026455026455,0.6455026455026455,5586.876180698164,5.924577073911096,5.924577073911096,2.8191143418943723,,85107.45105706155,,,,0
3,ArMIS-uid,ArMIS,uid,943,943,1,0.6214689265536723,0.6440677966101694,0.6214689265536723,0.6440677966101694,0.6455026455026455,0.6455026455026455,5734.769805485848,6.081410186093159,6.081410186093159,2.847427842644273,,86890.09596704273,,,,0
4,ConvAbuse-comp,ConvAbuse,comp,1691,1691,1,0.912280701754386,0.9468810916179338,0.912280701754386,0.9468810916179338,0.9694189602446484,0.9694189602446484,2966.3414489477873,1.7541936421926596,1.7541936421926596,1.2178713395764214,,52073.632998391986,,,,0
5,ConvAbuse-compUid,ConvAbuse,compUid,1691,1691,1,0.9259259259259259,0.9556369556369557,0.9259259259259259,0.9556369556369557,0.9755351681957186,0.9755351681957186,3152.11232799993,1.8640522341809167,1.8640522341809167,1.2131776714957865,,54391.374333990825,,,,0
6,ConvAbuse-sbertbase,ConvAbuse,sbertbase,1691,1691,1,0.9189189189189189,0.9511721666417798,0.9189189189189189,0.9511721666417798,0.9724770642201835,0.9724770642201835,2935.508175999348,1.7359598911882603,1.7359598911882603,1.3563751745711237,,54619.09671499234,,,,0
7,ConvAbuse-uid,ConvAbuse,uid,1691,1691,1,0.9019607843137256,0.94192242114237,0.9019607843137256,0.94192242114237,0.9694189602446484,0.9694189602446484,3195.929048099788,1.889963955115191,1.889963955115191,1.3607642855708286,,57331.55813999474,,,,0
8,HSBrexit-comp,HSBrexit,comp,1120,1120,1,0.660377358490566,0.7775571002979146,0.660377358490566,0.7775571002979146,0.8392857142857143,0.8392857142857143,699.4033181108534,0.624467248313262,0.624467248313262,1.8450958097154009,,29803.480053320527,,,,0
9,HSBrexit-compUid,HSBrexit,compUid,1120,1120,1,0.611764705882353,0.7604278074866311,0.611764705882353,0.7604278074866311,0.8526785714285714,0.8526785714285714,757.7497792997747,0.6765623029462274,0.6765623029462274,1.9197854897330606,,31228.933669008256,,,,0
10,HSBrexit-sbertbase,HSBrexit,sbertbase,1120,1120,1,0.6666666666666666,0.7878787878787878,0.6666666666666666,0.7878787878787878,0.8571428571428571,0.8571428571428571,832.6784707016486,0.7434629202693291,0.7434629202693291,1.804638759018157,,30711.811862020113,,,,0
11,HSBrexit-uid,HSBrexit,uid,1120,1120,1,0.5555555555555556,0.7352245862884161,0.5555555555555556,0.7352245862884161,0.8571428571428571,0.8571428571428571,901.613424000243,0.8050119857145026,0.8050119857145026,1.9128911326782014,,32628.654383996036,,,,0
12,ArMIS-comp,ArMIS,comp,943,1886,2,0.6597938144329898,0.6505490811295384,0.591044776119403,0.6328145495798916,0.6507936507936508,0.6375661375661376,10852.43218739779,5.754205825767651,11.508411651535303,1.6901206147401255,,143689.303404979,,,,0
13,ArMIS-compUid,ArMIS,compUid,943,1886,2,0.6629213483146067,0.6814606741573034,0.5734767025089605,0.6620004057618178,0.6825396825396826,0.6851851851851852,11270.307588303695,5.975772846396445,11.95154569279289,1.7366352707337962,,148762.41529308027,,,,0
14,ArMIS-sbertbase,ArMIS,sbertbase,943,1886,2,0.5306122448979591,0.6159554730983301,0.5062240663900415,0.6375780526124964,0.6349206349206349,0.6851851851851852,11077.97057699936,5.873791398196904,11.747582796393807,1.6731630691407955,,145612.61672998808,,,,0
15,ArMIS-uid,ArMIS,uid,943,1886,2,0.6666666666666667,0.671875,0.5591397849462366,0.6506390748630555,0.671957671957672,0.6746031746031746,12004.706035399431,6.365167569140738,12.730335138281475,1.8074000076351946,,157602.9167109882,,,,0
16,ConvAbuse-comp,ConvAbuse,comp,2736,3380,2,0.7571428571428571,0.860826125857441,0.7374999999999999,0.8515650572831424,0.9380692167577414,0.9392185238784371,5938.630365999779,1.7569912325443133,2.1705520343566445,0.7139022225445298,,84609.20897200049,,,,0
17,ConvAbuse-compUid,ConvAbuse,compUid,2736,3380,2,0.7866666666666667,0.8764556962025316,0.7471264367816092,0.8553512978610032,0.941712204007286,0.9363241678726484,5799.1728234999755,1.7157316045857915,2.119580710343558,0.6094333489645094,,81267.83543700003,,,,0
18,ConvAbuse-sbertbase,ConvAbuse,sbertbase,2736,3380,2,0.7808219178082193,0.873604236215034,0.7590361445783133,0.863070703868104,0.941712204007286,0.9421128798842258,5877.341329500632,1.7388583815090628,2.148151070723915,0.6528405239349218,,83520.70408900909,,,,0
19,ConvAbuse-uid,ConvAbuse,uid,2736,3380,2,0.8275862068965518,0.9006766291565655,0.8098159509202454,0.8921926350171366,0.9544626593806922,0.9551374819102749,6033.5417444002815,1.7850715220119175,2.205241865643378,0.6552655305032317,,85184.40614701103,,,,0
20,HSBrexit-comp,HSBrexit,comp,1120,2240,2,0.7559055118110235,0.829666151544141,0.6790697674418605,0.7888740907693883,0.8616071428571429,0.8459821428571429,1416.2994827973307,0.6322765548202369,1.2645531096404738,0.9136846827232148,,36870.37716497434,,,,0
