,dataset_name,ds_name,model,dataset_size,number_annotations,num_annos,f1_bin_maj,f1_macro_maj,f1_bin_indi,f1_macro_indi,test_acc_maj,test_acc_indi,mean_train_millis,mean_train_millis_per_annotation,mean_train_millis_per_sample,mean_eval_millis_per_annotation,mean_test_millis_per_annotation,sum_all_millis,annotations_per_anno,comment_percentage,learning_rate,fold
0,GE'anger-comp,GE,comp,57970,10316,50,0.06788511749347258,0.38481975172919247,0.07713498622589532,0.38838176235849653,0.5481012658227848,0.5467723231542327,106.09735120087862,0.010284737417688893,0.0018302113369135522,0.4014065344635572,,46619.9797866866,2,2,,0
1,GE'anger-compUid,GE,compUid,57970,10316,50,0.08456659619450319,0.4617101682126219,0.09398496240601503,0.46438279198911353,0.7259493670886076,0.7205257054503286,118.3622035998269,0.011473652927474496,0.002041783743312522,0.41205241467622356,,47956.877900996915,2,2,,0
2,GE'anger-sbertbase,GE,sbertbase,57970,79692,50,0.09333333333333334,0.5283559225682913,0.09556121006502685,0.5265386230672815,0.9296005521525321,0.9188441828606221,929.1172242257744,0.011658851882570076,0.01602755260006511,0.19209540774914863,,177803.05976234376,18,2,,0
3,GE'anger-uid,GE,uid,57970,79692,50,0.13145539906103285,0.5534178916078797,0.13000755857898716,0.5498968098709347,0.9521180226037442,0.9416002841341519,900.4824780044146,0.011299534181654552,0.015533594583481362,0.20884151867443326,,191067.22280808026,18,2,,0
4,GE'disgust-comp,GE,comp,57970,10319,50,0.019230769230769232,0.4117642717988075,0.03705783267827063,0.4178951879035057,0.6737044145873321,0.6670549407881965,144.47859389474615,0.01400122045689952,0.0024922993599231697,0.3655368684475955,,42497.97861510888,3,2,,0
5,GE'disgust-compUid,GE,compUid,57970,10319,50,0.013377926421404682,0.45451351220256647,0.03883495145631068,0.46603093560736153,0.8112603966730646,0.807804309842749,154.04475149989594,0.014928263542968886,0.0026573184664463677,0.40507057521999285,,47458.982963929884,3,2,,0
6,GE'disgust-sbertbase,GE,sbertbase,57970,79819,50,0.06207827260458839,0.5155540866164513,0.07828947368421052,0.5206613995508839,0.9400396859632474,0.9289175270808493,859.449830208905,0.010767484310864644,0.014825769022061498,0.18836376368056945,,174140.9385644365,19,2,,0
7,GE'disgust-uid,GE,uid,57970,79819,50,0.05022156573116692,0.5108250685798692,0.06367583212735166,0.5148281624027667,0.9445259252868605,0.9343463811867374,948.0861176998587,0.011877950333878635,0.016354771738827992,0.2051138112529395,,189676.99532199185,19,2,,0
8,GE'fear-comp,GE,comp,57970,10296,50,0.022727272727272724,0.4126643249634833,0.021750951604132682,0.4055845943786787,0.671546785486951,0.6534386438065883,107.68049289981718,0.010458478331373075,0.0018575210091395064,0.40664568570313353,,47125.377821994334,2,2,,0
9,GE'fear-compUid,GE,compUid,57970,10296,50,0.0380952380952381,0.46545724055451676,0.026223776223776227,0.45281745208677443,0.8071292170591979,0.7853978038913504,117.1346501007065,0.011376714267745386,0.002020608074878497,0.4099258305749485,,46811.17433600593,2,2,,0
10,GE'fear-sbertbase,GE,sbertbase,57970,79621,50,0.024432809773123905,0.49985407130259096,0.030131826741996236,0.5016008049964852,0.9517729272711587,0.9475946984151212,824.3531644926406,0.010353464092295256,0.014220340943464561,0.21179195823088426,,193809.06605091877,18,2,,0
11,GE'fear-uid,GE,uid,57970,79621,50,0.00980392156862745,0.496032197018616,0.02011313639220616,0.49993674008388267,0.9651453714088517,0.960339871276298,899.969032604713,0.011303161635808556,0.015524737495337467,0.22342049233373085,,205188.61067912076,18,2,,0
12,GE'joy-comp,GE,comp,57970,10257,50,0.08098159509202453,0.3805164276186308,0.09572901325478644,0.3862855592589722,0.5253485424588086,0.5238464521132222,135.9538008000527,0.013254733430832865,0.0023452441055727565,0.4025158016378953,,46759.73726199663,3,2,,0
13,GE'joy-compUid,GE,compUid,57970,10257,50,0.08816705336426915,0.4719734349390152,0.08551724137931034,0.4679785620386288,0.7509505703422054,0.7429236138037999,150.6509560160339,0.014687623673202095,0.0025987744698298064,0.406429939891969,,47424.792169593275,3,2,,0
14,GE'joy-sbertbase,GE,sbertbase,57970,79596,50,0.20553359683794467,0.5893207831667759,0.18559463986599667,0.5767411530703905,0.9479768786127167,0.9382116714111427,838.4771148999789,0.010534161451580216,0.014463983351733291,0.1968017409794456,,180851.6327469988,18,2,,0
15,GE'joy-uid,GE,uid,57970,79596,50,0.1668806161745828,0.5689556408552242,0.15971316818774448,0.5628108290026266,0.9440082822879821,0.9344753965026433,927.5090196002566,0.011652708925074836,0.01599981058478966,0.2136812411854897,,194893.60633400426,18,2,,0
16,GE'sadness-comp,GE,comp,57970,10179,50,0.06437768240343347,0.4499867295878405,0.07165304839723445,0.451029188109514,0.7203335471456062,0.7132038834951456,128.93512199989345,0.012666776893594012,0.0022241697774692676,0.38589037071425686,,44508.260217004135,3,2,,0
17,GE'sadness-compUid,GE,compUid,57970,10179,50,0.03717472118959108,0.4731328151402501,0.05720338983050847,0.4810386337780161,0.8338678640153945,0.8271844660194175,152.47895450047508,0.01497975778568377,0.0026303079955231168,0.4170337649375324,,48229.26586099493,3,2,,0
18,GE'sadness-sbertbase,GE,sbertbase,57970,79464,50,0.15458167330677292,0.5530969204769829,0.16673960612691466,0.5575486525033662,0.9084634630316625,0.902743014762221,842.307573700964,0.010599863758443621,0.01453005992239027,0.19863752488423705,,182220.20333902037,19,2,,0
19,GE'sadness-uid,GE,uid,57970,79464,50,0.19962335216572505,0.5805982945277088,0.20972644376899696,0.5838842009054775,0.9266672418255543,0.9203146549522399,933.4541940974304,0.011746881532485534,0.01610236663959687,0.21004264594403763,,193652.84530093777,19,2,,0
20,GE'surprise-comp,GE,comp,57970,10350,50,0.054862842892768084,0.4585974221728643,0.05776173285198556,0.45654963928931175,0.7596702599873177,0.7491831635594849,161.96537190007803,0.015648828202906088,0.002793951559428636,0.39070171942032594,,46094.19608200551,3,2,,0
21,GE'surprise-compUid,GE,compUid,57970,10350,50,0.03902439024390244,0.48611104218875356,0.051912568306010924,0.49008694365269534,0.8750792644261256,0.8666154141841246,174.34829889971297,0.01684524627050367,0.0030075607883338447,0.3956437168792897,,46786.10424500221,3,2,,0
22,GE'surprise-sbertbase,GE,sbertbase,57970,79804,50,0.09523809523809525,0.5248042395171852,0.11779448621553884,0.535342008759955,0.9131222500215684,0.9105554708542969,864.9617983493954,0.010838576993000294,0.014920852136439459,0.18620550068623096,,170957.7091401443,19,2,,0
23,GE'surprise-uid,GE,uid,57970,79804,50,0.11882845188284519,0.53546825786938,0.13122492329478405,0.5408981433221379,0.9091536536968338,0.9064644000609849,1087.953700684011,0.01363282167164567,0.01876752976857014,0.2294900546665064,,212481.59195901826,19,2,,0
24,GE'anger-comp,GE,comp,57970,10466,50,0.07415990730011587,0.36315744603142497,0.08318769660957707,0.36642355312647945,0.49430379746835446,0.4930421337456513,221.6747739352286,0.021180467603213127,0.0038239567696261617,0.39377909336298184,,47492.797162383795,5,4,,0
25,GE'anger-compUid,GE,compUid,57970,10466,50,0.08301886792452831,0.44911399669990676,0.10276679841897234,0.4587519429893626,0.6924050632911393,0.6928875144955547,260.15658429969335,0.024857307882638385,0.004487779615312978,0.40091523996754713,,48856.558594998205,5,4,,0
26,GE'anger-sbertbase,GE,sbertbase,57970,80642,50,0.21895124195032198,0.5902631294612438,0.22504189609767775,0.5908423828390182,0.9267535156587007,0.9178801562737835,1798.1835953891277,0.022298350678171767,0.031019209856634946,0.20118393517749036,,194635.34344965592,37,4,,0
27,GE'anger-uid,GE,uid,57970,80642,50,0.2755905511811023,0.6211932725227898,0.2751080600050852,0.6185227495464861,0.9365024588042447,0.9276726368664062,1843.25847850414,0.02285730113965601,0.031796765197587375,0.20394285122135863,,200549.28512498736,37,4,,0
28,GE'disgust-comp,GE,comp,57970,10469,50,0.012738853503184712,0.45124851636752406,0.0427807486631016,0.46289364230540697,0.8016634676903391,0.7914967967384974,292.8008963819593,0.027968372946982456,0.005050903853406233,0.38140066951956847,,46964.988294872455,6,4,,0
29,GE'disgust-compUid,GE,compUid,57970,10469,50,0.018518518518518517,0.4728331424207713,0.04166666666666667,0.48223463394168237,0.8643634037108126,0.8571151232770335,314.2620480939513,0.03001834445448002,0.005421115199136645,0.3881711745056435,,47434.57806893275,6,4,,0
30,GE'disgust-sbertbase,GE,sbertbase,57970,80769,50,0.17985611510791366,0.5746246747009051,0.18926134678137052,0.5765234212142373,0.9409886981278578,0.9306679520028412,1684.1487022582442,0.02085142446060053,0.029052073525241404,0.1792282534112978,,176261.56178629026,38,4,,0
31,GE'disgust-uid,GE,uid,57970,80769,50,0.11046511627906977,0.5485331974249364,0.09079601990049752,0.5359327762327816,0.9736002070571995,0.9629112864354753,1860.7716228987556,0.023038190678338913,0.03209887222526748,0.20110492850966166,,197506.4616589516,38,4,,0
32,GE'fear-comp,GE,comp,57970,10446,50,0.02626641651031895,0.4136698123180188,0.025778732545649836,0.4064339672117921,0.6696371737746658,0.6505490271623965,218.78718829975696,0.020944590111024026,0.0037741450457091075,0.3917978233677378,,47306.000240991125,5,4,,0
33,GE'fear-compUid,GE,compUid,57970,10446,50,0.02892561983471074,0.42605046981201306,0.024866785079928955,0.4177019994650767,0.7008274984086569,0.6827200924677326,243.7887550000596,0.02333800067011867,0.004205429618769357,0.39491857414319026,,47954.292977996374,5,4,,0
34,GE'fear-sbertbase,GE,sbertbase,57970,80571,50,0.2891566265060241,0.639414199467454,0.25435276305828913,0.6208048535267642,0.979639375377448,0.9749421252130556,1730.2721429849043,0.02147512309621209,0.029847716801533627,0.20818535429234178,,202070.58943773154,37,4,,0
35,GE'fear-uid,GE,uid,57970,80571,50,0.2885572139303483,0.6380011706175007,0.2567049808429119,0.6207991498203034,0.9753256837201277,0.9703884606578647,1882.9508758848533,0.023370081988368686,0.03248147103475683,0.22751018920580046,,220371.21241679415,37,4,,0
36,GE'joy-comp,GE,comp,57970,10407,50,0.09271523178807947,0.4037087196008286,0.10372129849564528,0.40654614347118595,0.5659062103929025,0.5610701822411788,281.06075930045336,0.027006895291674195,0.004848382944634352,0.38982221013743934,,47517.054786007066,6,4,,0
37,GE'joy-compUid,GE,compUid,57970,10407,50,0.13881748071979433,0.5088738650436703,0.1284829721362229,0.5018523016709483,0.7877059569074778,0.781698332687088,308.794436044991,0.029671801291918036,0.005326797240727808,0.40139549592513624,,49043.246833607554,6,4,,0
38,GE'joy-sbertbase,GE,sbertbase,57970,80546,50,0.18419489007724305,0.5601657272843074,0.2110351725287548,0.5729610784021149,0.8815460270899836,0.8797021146807645,1650.43615400009,0.020490603555733247,0.028470521890634638,0.19517317044298516,,189506.92011200773,37,4,,0
39,GE'joy-uid,GE,uid,57970,80546,50,0.18235294117647058,0.5588238032388265,0.20870145024170697,0.5716979165803591,0.8800793719264947,0.8793462789751931,1840.8847405997221,0.022855073381666653,0.03175581750215149,0.20797295322299925,,203482.0083109953,37,4,,0
40,GE'sadness-comp,GE,comp,57970,10329,50,0.05042016806722689,0.4396688274098436,0.06597434331093463,0.4447382971316303,0.710070558050032,0.7031067961165048,267.9715333990316,0.02594360861642285,0.004622589846455609,0.3812154007261161,,45994.8711699908,6,4,,0
41,GE'sadness-compUid,GE,compUid,57970,10329,50,0.03278688524590165,0.4753356834023524,0.047225501770956316,0.4809278889368904,0.8486209108402822,0.8433009708737864,327.0415748000232,0.031662462464906886,0.005641565892703523,0.38718925849543534,,47579.285771993455,6,4,,0
42,GE'sadness-sbertbase,GE,sbertbase,57970,80414,50,0.27594936708860757,0.625202264823332,0.25304777594728173,0.6114653676542701,0.9506513674402554,0.9421004239669,1731.2969382008305,0.02152979503818776,0.02986539482837382,0.190792367465893,,186674.04162103776,38,4,,0
43,GE'sadness-uid,GE,uid,57970,80414,50,0.2807486631016043,0.6283836031920609,0.26256983240223464,0.617287779251857,0.9535846777672332,0.9460591510445931,1911.5198997038533,0.023770983904591904,0.03297429532005957,0.21569829517746958,,210119.5758090471,38,4,,0
44,GE'surprise-comp,GE,comp,57970,10500,50,0.046357615894039736,0.41023763147643166,0.058622374206155355,0.41404620325333485,0.6347495244134432,0.6296367480299827,328.71559339982923,0.031306246990459925,0.005670443218903385,0.3749547215904819,,46723.88295999917,6,4,,0
45,GE'surprise-compUid,GE,compUid,57970,10500,50,0.03800475059382423,0.44490797354060035,0.051388888888888894,0.4495177770342281,0.7431832593532023,0.7374591581779742,349.7308972004248,0.033307704495278555,0.0060329635535695154,0.3862785881047395,,48140.3525099995,6,4,,0
46,GE'surprise-sbertbase,GE,sbertbase,57970,80754,50,0.19578947368421054,0.580712297115585,0.21098265895953758,0.5873513124693499,0.9340867914761453,0.9306296691568837,1745.1963405590504,0.021611268055564434,0.030105163715008633,0.18222474728217783,,179737.8752748482,38,4,,0
