,dataset_name,ds_name,model,dataset_size,number_annotations,num_annos,f1_bin_maj,f1_macro_maj,f1_bin_indi,f1_macro_indi,test_acc_maj,test_acc_indi,mean_train_millis,mean_train_millis_per_annotation,mean_train_millis_per_sample,mean_eval_millis_per_annotation,mean_test_millis_per_annotation,sum_all_millis,annotations_per_anno,comment_percentage,learning_rate,fold
0,GE'anger-comp,GE,comp,33234,46168,6,0.3224115334207078,0.6405241121779913,0.30914826498422715,0.6357197446140214,0.92203287588599,0.9284859039947753,27209.507319299963,0.5893585886176564,0.8187250201390132,0.12971912755588383,,338109.6679110002,,,,0
1,GE'anger-compUid,GE,compUid,33234,46168,6,0.39250669045495096,0.6682078794503566,0.36611629576453697,0.6570585012183501,0.8973005579852209,0.9038859257646674,29234.740259492537,0.6332251832328136,0.8796636053286555,0.13478482508876724,,361001.9984099199,,,,0
2,GE'anger-sbertbase,GE,sbertbase,33234,46168,6,0.351409978308026,0.6514748432869142,0.3299145299145299,0.6421718662127869,0.9098175237520736,0.914662022422989,25666.110339702573,0.555928572597959,0.7722847186526621,0.11170800823516867,,313489.09134900896,,,,0
3,GE'anger-uid,GE,uid,33234,46168,6,0.40853658536585363,0.6805673641929447,0.3798513625103221,0.6680472217783796,0.9122304328155633,0.9182540546424295,28249.49646699988,0.6118847787861696,0.8500179474935271,0.11302348154132594,,340298.3982129981,,,,0
4,GE'disgust-comp,GE,comp,33234,46168,6,0.41221374045801523,0.6971637807981133,0.42911877394636017,0.7062696351093768,0.9652840396753832,0.9677768166089965,27011.0907003982,0.5850608798388104,0.8127547301076669,0.12871153847498754,,335632.8453991446,,,,0
5,GE'disgust-compUid,GE,compUid,33234,46168,6,0.4267241379310345,0.7030070393797184,0.4455284552845528,0.7132289667508274,0.9600240456868049,0.9631271626297578,28824.883903603768,0.6243476846214644,0.8673311639767638,0.12300165883942363,,350716.99179999996,,,,0
6,GE'disgust-sbertbase,GE,sbertbase,33234,46168,6,0.4358353510895884,0.7088831660449881,0.44244604316546765,0.7125831107689099,0.9649834685903216,0.9664792387543253,27821.09617749229,0.6026056181227754,0.8371275253503127,0.12156119505064726,,339613.26818790985,,,,0
7,GE'disgust-uid,GE,uid,33234,46168,6,0.473551637279597,0.7286819451985468,0.4990253411306043,0.7423670330187304,0.9685903216110611,0.9722102076124568,28814.83895049314,0.6241301106934054,0.8670289146805422,0.1051505740643579,,340257.9501019791,,,,0
8,GE'fear-comp,GE,comp,33234,46168,6,0.3699731903485255,0.6759041185568089,0.3305084745762712,0.6564412073907684,0.9646882043576258,0.9656521739130435,31027.203420099977,0.6720499787753418,0.9335982253144364,0.11977014705207249,,370652.9218010019,,,,0
9,GE'fear-compUid,GE,compUid,33234,46168,6,0.4925373134328359,0.7410547324716702,0.46202531645569617,0.7263123706808452,0.979564237415477,0.9815217391304348,28413.733804100048,0.6154421634920302,0.8549597943100453,0.12291920896942041,,346553.2836160037,,,,0
