,dataset_name,ds_name,model,dataset_size,number_annotations,num_annos,f1_bin_maj,f1_macro_maj,f1_bin_indi,f1_macro_indi,test_acc_maj,test_acc_indi,mean_train_millis,mean_train_millis_per_annotation,mean_train_millis_per_sample,mean_eval_millis_per_annotation,mean_test_millis_per_annotation,sum_all_millis,annotations_per_anno,comment_percentage,learning_rate,fold
0,GHC-comp,GHC,comp,24360,50693,6,0.5185659411011523,0.713406933459312,0.4726818607555417,0.6874778857674602,0.8458700553392089,0.8351069022747242,63429.1001746984,1.2512398195943897,2.6038218462519866,0.18788019983627308,,739158.6475989752,,,,0
1,GHC-compUid,GHC,compUid,24360,50693,6,0.6250829462508294,0.7783031989768266,0.6244613854822673,0.7798018187357527,0.884197581471613,0.8893878746460998,66571.9817817997,1.313238154810323,2.732839974622319,0.1892659568461121,,771431.0318779972,,,,0
2,GHC-sbertbase,GHC,sbertbase,24360,50693,6,0.5102399063779989,0.7031259166627228,0.4737290542459528,0.6822520897519184,0.8284484525517524,0.8190959679781314,61754.495023100215,1.2182055712445548,2.5350777924096968,0.16603648889985057,,710518.4277980044,,,,0
3,GHC-uid,GHC,uid,24360,50693,6,0.6337135614702154,0.7815267073854744,0.6294191919191919,0.7808142269793442,0.8815331010452961,0.8853851410719515,66679.9820100001,1.3153686309746926,2.7372734815270974,0.18871812109167424,,772095.6242360026,,,,0
4,GHC-comp,GHC,comp,24366,59270,8,0.5022156573116692,0.7110174170450805,0.46286594761171035,0.6892193627620189,0.8618852459016394,0.8540812055253244,78920.20814510033,1.3315371713362634,3.238948048309133,0.18418210103930627,,909250.4278760008,,,,0
5,GHC-compUid,GHC,compUid,24366,59270,8,0.6387195121951218,0.7913057788248337,0.5945769356419471,0.7674982714601305,0.9028688524590164,0.8961071578066137,82393.15022070004,1.3901324484680284,3.381480350517116,0.17863812594061448,,940767.5585550024,,,,0
6,GHC-sbertbase,GHC,sbertbase,24366,59270,8,0.5081300813008129,0.7102456297378039,0.46537706756377906,0.6857712479481052,0.8512295081967213,0.840351611552951,73477.96669479975,1.2397159894516576,3.0155941350570363,0.15615170278554774,,834969.1051799909,,,,0
7,GHC-uid,GHC,uid,24366,59270,8,0.6518817204301075,0.794630415340779,0.610051993067591,0.771983114215409,0.8938524590163934,0.8869820008371704,79774.56351399742,1.3459518055339534,3.274011471476542,0.17252045053990483,,910624.758860984,,,,0
8,GHC-comp,GHC,comp,24366,67038,10,0.513842746400886,0.73213871541564,0.4335974643423138,0.6791919305380915,0.9100409836065574,0.8672066582447797,89644.15986700023,1.3372141153823238,3.679067547689413,0.17006650746590832,,1022189.7307699983,,,,0
9,GHC-compUid,GHC,compUid,24366,67038,10,0.4840425531914894,0.720484864517592,0.5696670776818742,0.7553447344471897,0.9204918032786885,0.8962621683881995,87582.76975010012,1.3064645387705498,3.5944664594147633,0.1585203993913939,,993014.295265004,,,,0
10,GHC-sbertbase,GHC,sbertbase,24366,67038,10,0.5155963302752293,0.7273483381479953,0.4690482683392419,0.6926477630249571,0.8918032786885246,0.8553169354239429,89740.0205377,1.3386440606476924,3.6830017457810063,0.16654060179897665,,1020410.2727949993,,,,0
11,GHC-uid,GHC,uid,24366,67038,10,0.5302879841112214,0.7381246843896676,0.6073891625615764,0.7688210361683352,0.9030737704918033,0.881548636397414,96384.17663649961,1.4377543577746892,3.9556831911885255,0.1767948321668349,,1094304.3014920005,,,,0
12,GHC-comp,GHC,comp,24366,74127,12,0.5310492505353319,0.7407115729223227,0.4454097885896322,0.6863022025866459,0.9102459016393443,0.8712864632343057,93989.93585829885,1.2679581779688758,3.857421647307677,0.16348451744846967,,1073590.9618040025,,,,0
13,GHC-compUid,GHC,compUid,24366,74127,12,0.532030401737242,0.7416346148294763,0.5992709599027947,0.7674799477958651,0.9116803278688524,0.889165210377739,97463.0464775255,1.3148116944908805,3.9999608666800253,0.16382856988544503,,1108391.2540482124,,,,0
