,run,train_loss_means,val_loss_mean,test_acc_majority,test_f1_majority_binary,test_f1_majority_macro,emotion
0,0,,,0.949511706829071,0.44979920983314514,0.7116705524298818,anger
1,1,,,0.9399299621582031,0.4051094949245453,0.6867387150281673,anger
2,2,,,0.9482218623161316,0.43687373399734497,0.704868549266568,anger
3,3,,,0.9360604286193848,0.3814616799354553,0.6738747219828023,anger
4,4,,,0.9585406184196472,0.47795823216438293,0.7281856807395211,anger
0,0,,,0.9613046050071716,0.3396226465702057,0.6598454893196373,disgust
1,1,,,0.9552238583564758,0.30372491478919983,0.6402965431933764,disgust
2,2,,,0.9423254132270813,0.2997762858867645,0.6348501879542874,disgust
3,3,,,0.9624101519584656,0.37804877758026123,0.6793340995351813,disgust
4,4,,,0.9559609293937683,0.3305322229862213,0.6538819014316215,disgust
0,0,,,0.984890341758728,0.594059407711029,0.7931806605369511,fear
1,1,,,0.9823106527328491,0.5596330165863037,0.7753035389589105,fear
2,2,,,0.9837847948074341,0.5728155374526978,0.7822755355853326,fear
3,3,,,0.9847061038017273,0.5951219797134399,0.7936638960717712,fear
4,4,,,0.9817578792572021,0.5520362257957458,0.7713627811989737,fear
0,0,,,0.9340335130691528,0.3763066232204437,0.6707408587426619,joy
1,1,,,0.9537497758865356,0.44835165143013,0.7121073560538893,joy
2,2,,,0.93034827709198,0.35273972153663635,0.6579667471422284,joy
3,3,,,0.9594619274139404,0.47867298126220703,0.7287920143633878,joy
4,4,,,0.9616731405258179,0.4876847267150879,0.7338883063390641,joy
0,0,,,0.9578035473823547,0.4534606337547302,0.7157576221935313,sadness
1,1,,,0.9519071578979492,0.42888402938842773,0.7018903155240245,sadness
2,2,,,0.9513543248176575,0.43347638845443726,0.7040312278446077,sadness
3,3,,,0.9480375647544861,0.41735535860061646,0.6950807717749069,sadness
4,4,,,0.96517413854599,0.4932975769042969,0.7376324783285879,sadness
0,0,,,0.9493274092674255,0.36781609058380127,0.6707110021148366,surprise
1,1,,,0.9605675339698792,0.4308510720729828,0.7052136594201427,surprise
2,2,,,0.9624101519584656,0.4204545319080353,0.7005148370007445,surprise
3,3,,,0.9594619274139404,0.4054054021835327,0.6922105241449004,surprise
4,4,,,0.9672010540962219,0.43670886754989624,0.7099088050238919,surprise
