,run,train_loss_means,val_loss_mean,test_acc_majority,test_f1_majority_binary,test_f1_majority_macro,emotion
0,0,,,0.957619309425354,0.4866071343421936,0.7322522548804262,anger
1,1,,,0.9511700868606567,0.45807769894599915,0.7162554491134925,anger
2,2,,,0.9603832960128784,0.4868735074996948,0.7331348854655425,anger
3,3,,,0.9635157585144043,0.4923076927661896,0.7366928369795342,anger
4,4,,,0.9624101519584656,0.4848484992980957,0.732670943514317,anger
0,0,,,0.9749401211738586,0.4137931168079376,0.7004947441549418,disgust
1,1,,,0.936428964138031,0.276729553937912,0.621741478341979,disgust
2,2,,,0.964621365070343,0.36000001430511475,0.6709039226833429,disgust
3,3,,,0.9695964455604553,0.3629343509674072,0.6736804896314098,disgust
4,4,,,0.9655426740646362,0.38688525557518005,0.6845792235764714,disgust
0,0,,,0.9834162592887878,0.5754716992378235,0.783507320584512,fear
1,1,,,0.9889441728591919,0.6629213690757751,0.8286506329433656,fear
2,2,,,0.9891284108161926,0.6508875489234924,0.822682907244298,fear
3,3,,,0.984337568283081,0.5853658318519592,0.7886919417602478,fear
4,4,,,0.9850746393203735,0.6009852290153503,0.7966901509745148,fear
0,0,,,0.9740188121795654,0.5661538243293762,0.7763811305040291,joy
1,1,,,0.973281741142273,0.5510835647583008,0.7686573592398442,joy
2,2,,,0.9614888429641724,0.4839506149291992,0.7319743516125945,joy
3,3,,,0.9672010540962219,0.5265957713127136,0.7548038849382495,joy
4,4,,,0.9638842940330505,0.5,0.7406327662014911,joy
0,0,,,0.9742030501365662,0.5483871102333069,0.7675547016496158,sadness
1,1,,,0.9673852920532227,0.5150684714317322,0.7490968359546923,sadness
2,2,,,0.9452736377716064,0.4024145007133484,0.686869114658988,sadness
3,3,,,0.9714391231536865,0.5201238393783569,0.7527026943598334,sadness
4,4,,,0.972728967666626,0.5345911979675293,0.7602720591395538,sadness
0,0,,,0.9616731405258179,0.4057142734527588,0.6929561527581329,surprise
1,1,,,0.9649898409843445,0.4135802388191223,0.6977682811016145,surprise
2,2,,,0.9677538275718689,0.44089457392692566,0.7121463641287495,surprise
3,3,,,0.9644370675086975,0.41691842675209045,0.6992888258290788,surprise
4,4,,,0.9756771922111511,0.484375,0.7359599098886582,surprise
