,run,train_loss_means,val_loss_mean,test_acc_majority,test_f1_majority_binary,test_f1_majority_macro,emotion
0,0,,,0.95209139585495,0.47999998927116394,0.7274444659068959,anger
1,1,,,0.9535654783248901,0.4683544337749481,0.722038486866174,anger
2,2,,,0.9426939487457275,0.4335154891014099,0.701667979096571,anger
3,3,,,0.9535654783248901,0.4771784245967865,0.7264411206039881,anger
4,4,,,0.9607517719268799,0.49882352352142334,0.7391998556062562,anger
0,0,,,0.9694122076034546,0.385185182094574,0.684750566893424,disgust
1,1,,,0.9414041042327881,0.286995530128479,0.6282210476246282,disgust
2,2,,,0.9666482210159302,0.37370243668556213,0.6782851911957122,disgust
3,3,,,0.9703335165977478,0.3878327012062073,0.6863155566836466,disgust
4,4,,,0.9635157585144043,0.3612903356552124,0.6712559351901708,disgust
0,0,,,0.9836004972457886,0.5821596384048462,0.7868978744187709,fear
1,1,,,0.9882071018218994,0.6279069781303406,0.8109577946817728,fear
2,2,,,0.984890341758728,0.6057692170143127,0.7990334036619026,fear
3,3,,,0.98691725730896,0.6243386268615723,0.8088406670685151,fear
4,4,,,0.98691725730896,0.6077347993850708,0.8005412532165381,fear
0,0,,,0.9710705876350403,0.5449275374412537,0.7649939803150094,joy
1,1,,,0.9708862900733948,0.5352941155433655,0.7601332676879007,joy
2,2,,,0.9561452269554138,0.4541284441947937,0.7156416822683394,joy
3,3,,,0.9579878449440002,0.4672897160053253,0.7227106568589311,joy
4,4,,,0.9640685319900513,0.5063291192054749,0.7438424420370804,joy
0,0,,,0.9679380655288696,0.4882352948188782,0.7358429656816122,sadness
1,1,,,0.965726912021637,0.5026738047599792,0.7424628525941952,sadness
2,2,,,0.9546710848808289,0.4383561611175537,0.7073693264314123,sadness
3,3,,,0.9644370675086975,0.49343833327293396,0.7375049903351024,sadness
4,4,,,0.9660954475402832,0.49450549483299255,0.7384824898647587,sadness
0,0,,,0.9613046050071716,0.4101123511791229,0.6950542746504952,surprise
1,1,,,0.9596462249755859,0.39669421315193176,0.6879095895655544,surprise
2,2,,,0.9708862900733948,0.46979865431785583,0.7274154334441305,surprise
3,3,,,0.965726912021637,0.4363636374473572,0.7093448740541101,surprise
4,4,,,0.9708862900733948,0.4148148000240326,0.6999433106575964,surprise
