______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 1.71 | Accuracy: 0.34
[Training] Itteration/Batch:  25/2175: Loss: 1.85 | Accuracy: 0.44
[Training] Itteration/Batch:  50/2175: Loss: 1.94 | Accuracy: 0.69
[Training] Itteration/Batch:  75/2175: Loss: 1.70 | Accuracy: 0.67
[Training] Itteration/Batch: 100/2175: Loss: 1.69 | Accuracy: 0.65
[Training] Itteration/Batch: 125/2175: Loss: 2.24 | Accuracy: 0.85
[Training] Itteration/Batch: 150/2175: Loss: 1.51 | Accuracy: 0.81
[Training] Itteration/Batch: 175/2175: Loss: 3.06 | Accuracy: 0.78
[Training] Itteration/Batch: 200/2175: Loss: 2.86 | Accuracy: 0.80
[Training] Itteration/Batch: 225/2175: Loss: 6.03 | Accuracy: 0.76
[Training] Itteration/Batch: 250/2175: Loss: 2.50 | Accuracy: 0.84
[Training] Itteration/Batch: 275/2175: Loss: 4.34 | Accuracy: 0.80
[Training] Itteration/Batch: 300/2175: Loss: 2.95 | Accuracy: 0.87
[Training] Itteration/Batch: 325/2175: Loss: 1.45 | Accuracy: 0.93
[Training] Itteration/Batch: 350/2175: Loss: 1.33 | Accuracy: 0.87
[Training] Itteration/Batch: 375/2175: Loss: 1.42 | Accuracy: 0.97
[Training] Itteration/Batch: 400/2175: Loss: 1.92 | Accuracy: 0.89
[Training] Itteration/Batch: 425/2175: Loss: 3.11 | Accuracy: 0.92
[Training] Itteration/Batch: 450/2175: Loss: 1.08 | Accuracy: 0.98
[Training] Itteration/Batch: 475/2175: Loss: 1.34 | Accuracy: 0.98
[Training] Itteration/Batch: 500/2175: Loss: 1.16 | Accuracy: 0.98
[Training] Itteration/Batch: 525/2175: Loss: 2.90 | Accuracy: 0.94
[Training] Itteration/Batch: 550/2175: Loss: 1.24 | Accuracy: 0.98
[Training] Itteration/Batch: 575/2175: Loss: 1.12 | Accuracy: 0.98
[Training] Itteration/Batch: 600/2175: Loss: 2.31 | Accuracy: 0.94
[Training] Itteration/Batch: 625/2175: Loss: 1.08 | Accuracy: 1.00
[Training] Itteration/Batch: 650/2175: Loss: 1.88 | Accuracy: 0.98
[Training] Itteration/Batch: 675/2175: Loss: 3.45 | Accuracy: 0.92
[Training] Itteration/Batch: 700/2175: Loss: 1.90 | Accuracy: 0.96
[Training] Itteration/Batch: 725/2175: Loss: 1.10 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2175: Loss: 0.97 | Accuracy: 1.00
[Training] Itteration/Batch: 775/2175: Loss: 1.85 | Accuracy: 0.98
[Training] Itteration/Batch: 800/2175: Loss: 1.48 | Accuracy: 0.98
[Training] Itteration/Batch: 825/2175: Loss: 2.32 | Accuracy: 0.96
[Training] Itteration/Batch: 850/2175: Loss: 1.69 | Accuracy: 0.96
[Training] Itteration/Batch: 875/2175: Loss: 1.88 | Accuracy: 0.96
[Training] Itteration/Batch: 900/2175: Loss: 4.10 | Accuracy: 0.92
[Training] Itteration/Batch: 925/2175: Loss: 4.52 | Accuracy: 0.91
[Training] Itteration/Batch: 950/2175: Loss: 2.79 | Accuracy: 0.93
[Training] Itteration/Batch: 975/2175: Loss: 1.31 | Accuracy: 0.98
[Training] Itteration/Batch: 1000/2175: Loss: 3.84 | Accuracy: 0.92
[Training] Itteration/Batch: 1025/2175: Loss: 0.99 | Accuracy: 1.00
[Training] Itteration/Batch: 1050/2175: Loss: 1.66 | Accuracy: 0.98
[Training] Itteration/Batch: 1075/2175: Loss: 4.07 | Accuracy: 0.94
[Training] Itteration/Batch: 1100/2175: Loss: 2.26 | Accuracy: 0.96
[Training] Itteration/Batch: 1125/2175: Loss: 1.61 | Accuracy: 0.98
[Training] Itteration/Batch: 1150/2175: Loss: 1.42 | Accuracy: 0.98
[Training] Itteration/Batch: 1175/2175: Loss: 3.94 | Accuracy: 0.91
[Training] Itteration/Batch: 1200/2175: Loss: 0.92 | Accuracy: 1.00
[Training] Itteration/Batch: 1225/2175: Loss: 0.93 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/2175: Loss: 3.40 | Accuracy: 0.94
[Training] Itteration/Batch: 1275/2175: Loss: 0.90 | Accuracy: 1.00
[Training] Itteration/Batch: 1300/2175: Loss: 0.91 | Accuracy: 1.00
[Training] Itteration/Batch: 1325/2175: Loss: 2.67 | Accuracy: 0.96
[Training] Itteration/Batch: 1350/2175: Loss: 1.99 | Accuracy: 0.98
[Training] Itteration/Batch: 1375/2175: Loss: 4.18 | Accuracy: 0.90
[Training] Itteration/Batch: 1400/2175: Loss: 0.86 | Accuracy: 1.00
[Training] Itteration/Batch: 1425/2175: Loss: 3.07 | Accuracy: 0.94
[Training] Itteration/Batch: 1450/2175: Loss: 0.92 | Accuracy: 1.00
