______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 1.72 | Accuracy: 0.41
[Training] Itteration/Batch:  25/2175: Loss: 4.91 | Accuracy: 0.45
[Training] Itteration/Batch:  50/2175: Loss: 1.74 | Accuracy: 0.52
[Training] Itteration/Batch:  75/2175: Loss: 2.16 | Accuracy: 0.56
[Training] Itteration/Batch: 100/2175: Loss: 1.78 | Accuracy: 0.55
[Training] Itteration/Batch: 125/2175: Loss: 1.50 | Accuracy: 0.78
[Training] Itteration/Batch: 150/2175: Loss: 1.97 | Accuracy: 0.85
[Training] Itteration/Batch: 175/2175: Loss: 9.24 | Accuracy: 0.67
[Training] Itteration/Batch: 200/2175: Loss: 3.72 | Accuracy: 0.80
[Training] Itteration/Batch: 225/2175: Loss: 1.30 | Accuracy: 0.79
[Training] Itteration/Batch: 250/2175: Loss: 1.56 | Accuracy: 0.85
[Training] Itteration/Batch: 275/2175: Loss: 1.39 | Accuracy: 0.93
[Training] Itteration/Batch: 300/2175: Loss: 1.44 | Accuracy: 0.91
[Training] Itteration/Batch: 325/2175: Loss: 1.39 | Accuracy: 0.98
[Training] Itteration/Batch: 350/2175: Loss: 4.54 | Accuracy: 0.91
[Training] Itteration/Batch: 375/2175: Loss: 1.15 | Accuracy: 0.96
[Training] Itteration/Batch: 400/2175: Loss: 3.83 | Accuracy: 0.94
[Training] Itteration/Batch: 425/2175: Loss: 1.32 | Accuracy: 1.00
[Training] Itteration/Batch: 450/2175: Loss: 1.03 | Accuracy: 1.00
[Training] Itteration/Batch: 475/2175: Loss: 1.61 | Accuracy: 0.96
[Training] Itteration/Batch: 500/2175: Loss: 4.69 | Accuracy: 0.94
[Training] Itteration/Batch: 525/2175: Loss: 1.15 | Accuracy: 0.98
[Training] Itteration/Batch: 550/2175: Loss: 1.10 | Accuracy: 1.00
[Training] Itteration/Batch: 575/2175: Loss: 1.30 | Accuracy: 1.00
[Training] Itteration/Batch: 600/2175: Loss: 3.61 | Accuracy: 0.94
[Training] Itteration/Batch: 625/2175: Loss: 1.18 | Accuracy: 1.00
[Training] Itteration/Batch: 650/2175: Loss: 4.49 | Accuracy: 0.92
[Training] Itteration/Batch: 675/2175: Loss: 1.03 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2175: Loss: 1.04 | Accuracy: 1.00
[Training] Itteration/Batch: 725/2175: Loss: 1.69 | Accuracy: 0.98
[Training] Itteration/Batch: 750/2175: Loss: 0.98 | Accuracy: 1.00
[Training] Itteration/Batch: 775/2175: Loss: 1.01 | Accuracy: 1.00
[Training] Itteration/Batch: 800/2175: Loss: 5.25 | Accuracy: 0.95
[Training] Itteration/Batch: 825/2175: Loss: 10.37 | Accuracy: 0.95
[Training] Itteration/Batch: 850/2175: Loss: 4.66 | Accuracy: 0.95
[Training] Itteration/Batch: 875/2175: Loss: 5.51 | Accuracy: 0.96
[Training] Itteration/Batch: 900/2175: Loss: 1.00 | Accuracy: 1.00
[Training] Itteration/Batch: 925/2175: Loss: 3.53 | Accuracy: 0.93
[Training] Itteration/Batch: 950/2175: Loss: 1.26 | Accuracy: 0.98
[Training] Itteration/Batch: 975/2175: Loss: 0.90 | Accuracy: 1.00
[Training] Itteration/Batch: 1000/2175: Loss: 0.80 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/2175: Loss: 3.60 | Accuracy: 0.97
[Training] Itteration/Batch: 1050/2175: Loss: 3.57 | Accuracy: 0.96
[Training] Itteration/Batch: 1075/2175: Loss: 0.87 | Accuracy: 1.00
[Training] Itteration/Batch: 1100/2175: Loss: 2.34 | Accuracy: 0.98
[Training] Itteration/Batch: 1125/2175: Loss: 3.55 | Accuracy: 0.95
[Training] Itteration/Batch: 1150/2175: Loss: 0.81 | Accuracy: 1.00
[Training] Itteration/Batch: 1175/2175: Loss: 1.02 | Accuracy: 1.00
[Training] Itteration/Batch: 1200/2175: Loss: 0.83 | Accuracy: 1.00
[Training] Itteration/Batch: 1225/2175: Loss: 2.16 | Accuracy: 0.97
[Training] Itteration/Batch: 1250/2175: Loss: 0.95 | Accuracy: 1.00
[Training] Itteration/Batch: 1275/2175: Loss: 0.98 | Accuracy: 1.00
[Training] Itteration/Batch: 1300/2175: Loss: 1.09 | Accuracy: 0.96
[Training] Itteration/Batch: 1325/2175: Loss: 0.81 | Accuracy: 1.00
[Training] Itteration/Batch: 1350/2175: Loss: 0.87 | Accuracy: 0.94
[Training] Itteration/Batch: 1375/2175: Loss: 0.89 | Accuracy: 0.96
[Training] Itteration/Batch: 1400/2175: Loss: 1.94 | Accuracy: 0.96
[Training] Itteration/Batch: 1425/2175: Loss: 1.02 | Accuracy: 0.97
[Training] Itteration/Batch: 1450/2175: Loss: 0.76 | Accuracy: 1.00
[Training] Itteration/Batch: 1475/2175: Loss: 0.79 | Accuracy: 1.00
[Training] Itteration/Batch: 1500/2175: Loss: 0.86 | Accuracy: 0.91
[Training] Itteration/Batch: 1525/2175: Loss: 0.74 | Accuracy: 1.00
[Training] Itteration/Batch: 1550/2175: Loss: 0.66 | Accuracy: 1.00
[Training] Itteration/Batch: 1575/2175: Loss: 2.99 | Accuracy: 0.98
[Training] Itteration/Batch: 1600/2175: Loss: 0.65 | Accuracy: 1.00
[Training] Itteration/Batch: 1625/2175: Loss: 0.59 | Accuracy: 1.00
[Training] Itteration/Batch: 1650/2175: Loss: 0.69 | Accuracy: 1.00
[Training] Itteration/Batch: 1675/2175: Loss: 0.72 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2175: Loss: 0.73 | Accuracy: 1.00
[Training] Itteration/Batch: 1725/2175: Loss: 2.56 | Accuracy: 0.93
[Training] Itteration/Batch: 1750/2175: Loss: 2.42 | Accuracy: 0.96
[Training] Itteration/Batch: 1775/2175: Loss: 0.98 | Accuracy: 0.91
[Training] Itteration/Batch: 1800/2175: Loss: 1.57 | Accuracy: 0.98
[Training] Itteration/Batch: 1825/2175: Loss: 1.76 | Accuracy: 0.92
[Training] Itteration/Batch: 1850/2175: Loss: 1.31 | Accuracy: 0.98
[Training] Itteration/Batch: 1875/2175: Loss: 2.97 | Accuracy: 0.92
[Training] Itteration/Batch: 1900/2175: Loss: 0.57 | Accuracy: 1.00
[Training] Itteration/Batch: 1925/2175: Loss: 0.62 | Accuracy: 1.00
[Training] Itteration/Batch: 1950/2175: Loss: 0.53 | Accuracy: 1.00
[Training] Itteration/Batch: 1975/2175: Loss: 2.20 | Accuracy: 0.98
[Training] Itteration/Batch: 2000/2175: Loss: 3.94 | Accuracy: 0.95
[Training] Itteration/Batch: 2025/2175: Loss: 0.72 | Accuracy: 0.94
