______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 2.13 | Accuracy: 0.41
[Training] Itteration/Batch:  25/2175: Loss: 2.15 | Accuracy: 0.43
[Training] Itteration/Batch:  50/2175: Loss: 1.77 | Accuracy: 0.50
[Training] Itteration/Batch:  75/2175: Loss: 1.73 | Accuracy: 0.57
[Training] Itteration/Batch: 100/2175: Loss: 1.98 | Accuracy: 0.57
[Training] Itteration/Batch: 125/2175: Loss: 2.20 | Accuracy: 0.73
[Training] Itteration/Batch: 150/2175: Loss: 1.45 | Accuracy: 0.87
[Training] Itteration/Batch: 175/2175: Loss: 2.01 | Accuracy: 0.77
[Training] Itteration/Batch: 200/2175: Loss: 1.84 | Accuracy: 0.84
[Training] Itteration/Batch: 225/2175: Loss: 1.28 | Accuracy: 0.79
[Training] Itteration/Batch: 250/2175: Loss: 2.58 | Accuracy: 0.83
[Training] Itteration/Batch: 275/2175: Loss: 3.63 | Accuracy: 0.85
[Training] Itteration/Batch: 300/2175: Loss: 1.98 | Accuracy: 0.91
[Training] Itteration/Batch: 325/2175: Loss: 1.88 | Accuracy: 0.97
[Training] Itteration/Batch: 350/2175: Loss: 2.22 | Accuracy: 0.96
[Training] Itteration/Batch: 375/2175: Loss: 1.89 | Accuracy: 0.94
[Training] Itteration/Batch: 400/2175: Loss: 2.64 | Accuracy: 0.91
[Training] Itteration/Batch: 425/2175: Loss: 2.59 | Accuracy: 0.96
[Training] Itteration/Batch: 450/2175: Loss: 1.51 | Accuracy: 0.98
[Training] Itteration/Batch: 475/2175: Loss: 4.32 | Accuracy: 0.88
[Training] Itteration/Batch: 500/2175: Loss: 1.14 | Accuracy: 1.00
[Training] Itteration/Batch: 525/2175: Loss: 1.78 | Accuracy: 0.96
[Training] Itteration/Batch: 550/2175: Loss: 1.53 | Accuracy: 0.98
[Training] Itteration/Batch: 575/2175: Loss: 2.22 | Accuracy: 0.95
[Training] Itteration/Batch: 600/2175: Loss: 2.55 | Accuracy: 0.95
[Training] Itteration/Batch: 625/2175: Loss: 3.65 | Accuracy: 0.93
[Training] Itteration/Batch: 650/2175: Loss: 2.52 | Accuracy: 0.92
[Training] Itteration/Batch: 675/2175: Loss: 1.30 | Accuracy: 0.98
[Training] Itteration/Batch: 700/2175: Loss: 2.78 | Accuracy: 0.94
[Training] Itteration/Batch: 725/2175: Loss: 1.13 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2175: Loss: 0.97 | Accuracy: 1.00
[Training] Itteration/Batch: 775/2175: Loss: 2.50 | Accuracy: 0.91
[Training] Itteration/Batch: 800/2175: Loss: 1.40 | Accuracy: 0.98
[Training] Itteration/Batch: 825/2175: Loss: 1.50 | Accuracy: 0.97
[Training] Itteration/Batch: 850/2175: Loss: 1.06 | Accuracy: 1.00
[Training] Itteration/Batch: 875/2175: Loss: 0.96 | Accuracy: 0.96
[Training] Itteration/Batch: 900/2175: Loss: 1.07 | Accuracy: 0.98
[Training] Itteration/Batch: 925/2175: Loss: 2.60 | Accuracy: 0.85
[Training] Itteration/Batch: 950/2175: Loss: 1.21 | Accuracy: 0.98
[Training] Itteration/Batch: 975/2175: Loss: 1.62 | Accuracy: 0.83
[Training] Itteration/Batch: 1000/2175: Loss: 2.25 | Accuracy: 0.81
[Training] Itteration/Batch: 1025/2175: Loss: 2.94 | Accuracy: 0.79
[Training] Itteration/Batch: 1050/2175: Loss: 1.71 | Accuracy: 0.92
[Training] Itteration/Batch: 1075/2175: Loss: 1.69 | Accuracy: 0.88
[Training] Itteration/Batch: 1100/2175: Loss: 1.57 | Accuracy: 0.90
[Training] Itteration/Batch: 1125/2175: Loss: 1.85 | Accuracy: 0.89
[Training] Itteration/Batch: 1150/2175: Loss: 1.84 | Accuracy: 0.94
[Training] Itteration/Batch: 1175/2175: Loss: 3.17 | Accuracy: 0.79
[Training] Itteration/Batch: 1200/2175: Loss: 1.37 | Accuracy: 0.90
[Training] Itteration/Batch: 1225/2175: Loss: 1.92 | Accuracy: 0.88
[Training] Itteration/Batch: 1250/2175: Loss: 1.68 | Accuracy: 0.97
[Training] Itteration/Batch: 1275/2175: Loss: 3.15 | Accuracy: 0.83
[Training] Itteration/Batch: 1300/2175: Loss: 1.62 | Accuracy: 0.89
[Training] Itteration/Batch: 1325/2175: Loss: 0.72 | Accuracy: 1.00
[Training] Itteration/Batch: 1350/2175: Loss: 0.66 | Accuracy: 1.00
[Training] Itteration/Batch: 1375/2175: Loss: 1.60 | Accuracy: 0.98
[Training] Itteration/Batch: 1400/2175: Loss: 1.17 | Accuracy: 0.92
[Training] Itteration/Batch: 1425/2175: Loss: 1.36 | Accuracy: 0.93
[Training] Itteration/Batch: 1450/2175: Loss: 1.74 | Accuracy: 0.94
[Training] Itteration/Batch: 1475/2175: Loss: 1.87 | Accuracy: 0.93
[Training] Itteration/Batch: 1500/2175: Loss: 1.63 | Accuracy: 0.89
[Training] Itteration/Batch: 1525/2175: Loss: 1.61 | Accuracy: 0.96
[Training] Itteration/Batch: 1550/2175: Loss: 1.40 | Accuracy: 0.96
[Training] Itteration/Batch: 1575/2175: Loss: 2.58 | Accuracy: 0.91
[Training] Itteration/Batch: 1600/2175: Loss: 2.72 | Accuracy: 0.80
[Training] Itteration/Batch: 1625/2175: Loss: 1.23 | Accuracy: 0.96
[Training] Itteration/Batch: 1650/2175: Loss: 0.96 | Accuracy: 0.98
[Training] Itteration/Batch: 1675/2175: Loss: 1.00 | Accuracy: 0.98
[Training] Itteration/Batch: 1700/2175: Loss: 1.82 | Accuracy: 0.93
[Training] Itteration/Batch: 1725/2175: Loss: 1.35 | Accuracy: 0.98
[Training] Itteration/Batch: 1750/2175: Loss: 1.35 | Accuracy: 0.96
[Training] Itteration/Batch: 1775/2175: Loss: 0.94 | Accuracy: 0.95
[Training] Itteration/Batch: 1800/2175: Loss: 1.84 | Accuracy: 0.91
[Training] Itteration/Batch: 1825/2175: Loss: 1.27 | Accuracy: 0.93
[Training] Itteration/Batch: 1850/2175: Loss: 2.61 | Accuracy: 0.85
[Training] Itteration/Batch: 1875/2175: Loss: 0.57 | Accuracy: 1.00
[Training] Itteration/Batch: 1900/2175: Loss: 0.99 | Accuracy: 0.88
[Training] Itteration/Batch: 1925/2175: Loss: 1.64 | Accuracy: 0.91
[Training] Itteration/Batch: 1950/2175: Loss: 0.56 | Accuracy: 1.00
[Training] Itteration/Batch: 1975/2175: Loss: 1.60 | Accuracy: 0.93
[Training] Itteration/Batch: 2000/2175: Loss: 4.08 | Accuracy: 0.96
[Training] Itteration/Batch: 2025/2175: Loss: 1.09 | Accuracy: 0.82
[Training] Itteration/Batch: 2050/2175: Loss: 0.55 | Accuracy: 1.00
[Training] Itteration/Batch: 2075/2175: Loss: 0.94 | Accuracy: 0.86
[Training] Itteration/Batch: 2100/2175: Loss: 1.05 | Accuracy: 0.96
[Training] Itteration/Batch: 2125/2175: Loss: 1.09 | Accuracy: 0.95
[Training] Itteration/Batch: 2150/2175: Loss: 0.98 | Accuracy: 0.90

Epoch 1: Val Bin. F1 Majority 0.3965812027454376 | Val Macro F1 Majority 0.6822538910400077 |             Val Bin F1 Individual 0.36977121233940125 | Val Macro F1 Individual 0.6665857993253439 |             Val Accuracy Majority 0.9390906691551208 | Val Accuracy Individual 0.9308183789253235 | Training Loss:1.7158838510513306 |             Val Loss 1.2599669694900513 | Train Runtime Millis 229778.1549240026 | Val Runtime Millis 43198.34460799757

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 1.32 | Accuracy: 0.90
[Training] Itteration/Batch:  25/2175: Loss: 2.49 | Accuracy: 0.92
[Training] Itteration/Batch:  50/2175: Loss: 2.46 | Accuracy: 0.89
[Training] Itteration/Batch:  75/2175: Loss: 0.97 | Accuracy: 0.92
[Training] Itteration/Batch: 100/2175: Loss: 0.64 | Accuracy: 1.00
[Training] Itteration/Batch: 125/2175: Loss: 0.60 | Accuracy: 0.94
[Training] Itteration/Batch: 150/2175: Loss: 0.59 | Accuracy: 0.94
[Training] Itteration/Batch: 175/2175: Loss: 1.64 | Accuracy: 0.96
[Training] Itteration/Batch: 200/2175: Loss: 0.83 | Accuracy: 0.98
[Training] Itteration/Batch: 225/2175: Loss: 0.74 | Accuracy: 0.98
[Training] Itteration/Batch: 250/2175: Loss: 0.62 | Accuracy: 0.98
[Training] Itteration/Batch: 275/2175: Loss: 1.10 | Accuracy: 0.92
[Training] Itteration/Batch: 300/2175: Loss: 0.52 | Accuracy: 1.00
[Training] Itteration/Batch: 325/2175: Loss: 0.47 | Accuracy: 1.00
[Training] Itteration/Batch: 350/2175: Loss: 1.66 | Accuracy: 0.89
[Training] Itteration/Batch: 375/2175: Loss: 0.52 | Accuracy: 1.00
[Training] Itteration/Batch: 400/2175: Loss: 0.77 | Accuracy: 0.98
[Training] Itteration/Batch: 425/2175: Loss: 0.85 | Accuracy: 0.98
[Training] Itteration/Batch: 450/2175: Loss: 0.60 | Accuracy: 0.96
[Training] Itteration/Batch: 475/2175: Loss: 0.59 | Accuracy: 0.94
[Training] Itteration/Batch: 500/2175: Loss: 0.92 | Accuracy: 0.96
[Training] Itteration/Batch: 525/2175: Loss: 1.19 | Accuracy: 0.87
[Training] Itteration/Batch: 550/2175: Loss: 1.39 | Accuracy: 0.96
[Training] Itteration/Batch: 575/2175: Loss: 1.74 | Accuracy: 0.92
[Training] Itteration/Batch: 600/2175: Loss: 0.88 | Accuracy: 0.96
[Training] Itteration/Batch: 625/2175: Loss: 0.73 | Accuracy: 1.00
[Training] Itteration/Batch: 650/2175: Loss: 2.41 | Accuracy: 0.87
[Training] Itteration/Batch: 675/2175: Loss: 0.48 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2175: Loss: 1.20 | Accuracy: 0.83
[Training] Itteration/Batch: 725/2175: Loss: 0.41 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2175: Loss: 2.30 | Accuracy: 0.88
[Training] Itteration/Batch: 775/2175: Loss: 0.84 | Accuracy: 0.89
[Training] Itteration/Batch: 800/2175: Loss: 0.79 | Accuracy: 0.96
[Training] Itteration/Batch: 825/2175: Loss: 0.81 | Accuracy: 0.98
[Training] Itteration/Batch: 850/2175: Loss: 1.78 | Accuracy: 0.93
[Training] Itteration/Batch: 875/2175: Loss: 3.00 | Accuracy: 0.94
[Training] Itteration/Batch: 900/2175: Loss: 0.79 | Accuracy: 0.92
[Training] Itteration/Batch: 925/2175: Loss: 0.96 | Accuracy: 0.91
