______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 2.25 | Accuracy: 0.47
[Training] Itteration/Batch:  25/2176: Loss: 1.94 | Accuracy: 0.65
[Training] Itteration/Batch:  50/2176: Loss: 2.77 | Accuracy: 0.62
[Training] Itteration/Batch:  75/2176: Loss: 3.96 | Accuracy: 0.55
[Training] Itteration/Batch: 100/2176: Loss: 2.37 | Accuracy: 0.68
[Training] Itteration/Batch: 125/2176: Loss: 2.01 | Accuracy: 0.88
[Training] Itteration/Batch: 150/2176: Loss: 2.77 | Accuracy: 0.76
[Training] Itteration/Batch: 175/2176: Loss: 1.92 | Accuracy: 0.78
[Training] Itteration/Batch: 200/2176: Loss: 2.93 | Accuracy: 0.73
[Training] Itteration/Batch: 225/2176: Loss: 3.27 | Accuracy: 0.88
[Training] Itteration/Batch: 250/2176: Loss: 1.82 | Accuracy: 0.92
[Training] Itteration/Batch: 275/2176: Loss: 1.80 | Accuracy: 0.86
[Training] Itteration/Batch: 300/2176: Loss: 2.83 | Accuracy: 0.84
[Training] Itteration/Batch: 325/2176: Loss: 1.63 | Accuracy: 0.93
[Training] Itteration/Batch: 350/2176: Loss: 3.75 | Accuracy: 0.94
[Training] Itteration/Batch: 375/2176: Loss: 2.42 | Accuracy: 0.90
[Training] Itteration/Batch: 400/2176: Loss: 1.99 | Accuracy: 0.95
[Training] Itteration/Batch: 425/2176: Loss: 4.28 | Accuracy: 0.85
[Training] Itteration/Batch: 450/2176: Loss: 1.46 | Accuracy: 0.95
[Training] Itteration/Batch: 475/2176: Loss: 1.64 | Accuracy: 0.98
[Training] Itteration/Batch: 500/2176: Loss: 2.26 | Accuracy: 0.95
[Training] Itteration/Batch: 525/2176: Loss: 1.77 | Accuracy: 0.95
[Training] Itteration/Batch: 550/2176: Loss: 3.56 | Accuracy: 0.88
[Training] Itteration/Batch: 575/2176: Loss: 1.63 | Accuracy: 0.98
[Training] Itteration/Batch: 600/2176: Loss: 3.23 | Accuracy: 0.91
[Training] Itteration/Batch: 625/2176: Loss: 1.19 | Accuracy: 0.98
[Training] Itteration/Batch: 650/2176: Loss: 1.13 | Accuracy: 1.00
[Training] Itteration/Batch: 675/2176: Loss: 2.42 | Accuracy: 0.95
[Training] Itteration/Batch: 700/2176: Loss: 1.10 | Accuracy: 1.00
[Training] Itteration/Batch: 725/2176: Loss: 2.26 | Accuracy: 0.91
[Training] Itteration/Batch: 750/2176: Loss: 3.46 | Accuracy: 0.90
[Training] Itteration/Batch: 775/2176: Loss: 3.23 | Accuracy: 0.88
[Training] Itteration/Batch: 800/2176: Loss: 3.19 | Accuracy: 0.85
[Training] Itteration/Batch: 825/2176: Loss: 1.77 | Accuracy: 0.84
[Training] Itteration/Batch: 850/2176: Loss: 1.54 | Accuracy: 0.95
[Training] Itteration/Batch: 875/2176: Loss: 1.78 | Accuracy: 0.95
[Training] Itteration/Batch: 900/2176: Loss: 1.19 | Accuracy: 0.97
[Training] Itteration/Batch: 925/2176: Loss: 2.33 | Accuracy: 0.88
[Training] Itteration/Batch: 950/2176: Loss: 2.15 | Accuracy: 0.95
[Training] Itteration/Batch: 975/2176: Loss: 2.13 | Accuracy: 0.97
[Training] Itteration/Batch: 1000/2176: Loss: 3.21 | Accuracy: 0.91
[Training] Itteration/Batch: 1025/2176: Loss: 1.54 | Accuracy: 0.95
[Training] Itteration/Batch: 1050/2176: Loss: 0.99 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/2176: Loss: 1.26 | Accuracy: 0.98
[Training] Itteration/Batch: 1100/2176: Loss: 1.15 | Accuracy: 0.94
[Training] Itteration/Batch: 1125/2176: Loss: 1.17 | Accuracy: 0.92
[Training] Itteration/Batch: 1150/2176: Loss: 1.43 | Accuracy: 0.98
[Training] Itteration/Batch: 1175/2176: Loss: 1.93 | Accuracy: 0.92
[Training] Itteration/Batch: 1200/2176: Loss: 1.41 | Accuracy: 0.93
[Training] Itteration/Batch: 1225/2176: Loss: 0.94 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/2176: Loss: 1.45 | Accuracy: 0.85
[Training] Itteration/Batch: 1275/2176: Loss: 1.28 | Accuracy: 0.98
[Training] Itteration/Batch: 1300/2176: Loss: 2.11 | Accuracy: 0.98
[Training] Itteration/Batch: 1325/2176: Loss: 1.86 | Accuracy: 0.97
[Training] Itteration/Batch: 1350/2176: Loss: 0.96 | Accuracy: 0.98
[Training] Itteration/Batch: 1375/2176: Loss: 2.59 | Accuracy: 0.98
[Training] Itteration/Batch: 1400/2176: Loss: 1.33 | Accuracy: 0.86
[Training] Itteration/Batch: 1425/2176: Loss: 1.19 | Accuracy: 0.97
[Training] Itteration/Batch: 1450/2176: Loss: 1.29 | Accuracy: 0.97
[Training] Itteration/Batch: 1475/2176: Loss: 3.98 | Accuracy: 0.84
[Training] Itteration/Batch: 1500/2176: Loss: 0.81 | Accuracy: 1.00
[Training] Itteration/Batch: 1525/2176: Loss: 1.30 | Accuracy: 0.93
[Training] Itteration/Batch: 1550/2176: Loss: 1.14 | Accuracy: 0.93
[Training] Itteration/Batch: 1575/2176: Loss: 1.62 | Accuracy: 0.97
[Training] Itteration/Batch: 1600/2176: Loss: 2.57 | Accuracy: 0.95
[Training] Itteration/Batch: 1625/2176: Loss: 2.38 | Accuracy: 0.93
[Training] Itteration/Batch: 1650/2176: Loss: 1.94 | Accuracy: 0.86
[Training] Itteration/Batch: 1675/2176: Loss: 1.51 | Accuracy: 0.90
[Training] Itteration/Batch: 1700/2176: Loss: 1.64 | Accuracy: 0.97
[Training] Itteration/Batch: 1725/2176: Loss: 2.69 | Accuracy: 0.78
[Training] Itteration/Batch: 1750/2176: Loss: 2.01 | Accuracy: 0.93
[Training] Itteration/Batch: 1775/2176: Loss: 0.87 | Accuracy: 0.90
[Training] Itteration/Batch: 1800/2176: Loss: 1.25 | Accuracy: 0.92
[Training] Itteration/Batch: 1825/2176: Loss: 1.87 | Accuracy: 0.97
[Training] Itteration/Batch: 1850/2176: Loss: 1.14 | Accuracy: 0.95
[Training] Itteration/Batch: 1875/2176: Loss: 0.55 | Accuracy: 1.00
[Training] Itteration/Batch: 1900/2176: Loss: 1.21 | Accuracy: 0.98
[Training] Itteration/Batch: 1925/2176: Loss: 1.56 | Accuracy: 0.94
[Training] Itteration/Batch: 1950/2176: Loss: 1.03 | Accuracy: 0.97
[Training] Itteration/Batch: 1975/2176: Loss: 1.43 | Accuracy: 0.93
[Training] Itteration/Batch: 2000/2176: Loss: 1.52 | Accuracy: 0.93
[Training] Itteration/Batch: 2025/2176: Loss: 1.76 | Accuracy: 0.91
[Training] Itteration/Batch: 2050/2176: Loss: 0.97 | Accuracy: 0.91
[Training] Itteration/Batch: 2075/2176: Loss: 1.65 | Accuracy: 0.97
[Training] Itteration/Batch: 2100/2176: Loss: 0.56 | Accuracy: 1.00
[Training] Itteration/Batch: 2125/2176: Loss: 1.11 | Accuracy: 0.91
[Training] Itteration/Batch: 2150/2176: Loss: 0.66 | Accuracy: 1.00
[Training] Itteration/Batch: 2175/2176: Loss: 0.83 | Accuracy: 0.86

Epoch 1: Val Bin. F1 Majority 0.3698175847530365 | Val Macro F1 Majority 0.6676344917229773 |             Val Bin F1 Individual 0.3555133044719696 | Val Macro F1 Individual 0.6563923644968195 |             Val Accuracy Majority 0.9344940781593323 | Val Accuracy Individual 0.9198562502861023 | Training Loss:1.8541258573532104 |             Val Loss 1.4639495611190796 | Train Runtime Millis 243632.944048004 | Val Runtime Millis 47617.142414994305

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 1.20 | Accuracy: 0.95
[Training] Itteration/Batch:  25/2176: Loss: 0.83 | Accuracy: 0.95
[Training] Itteration/Batch:  50/2176: Loss: 0.63 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2176: Loss: 0.94 | Accuracy: 0.94
[Training] Itteration/Batch: 100/2176: Loss: 0.58 | Accuracy: 1.00
[Training] Itteration/Batch: 125/2176: Loss: 0.82 | Accuracy: 0.95
