______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 2.16 | Accuracy: 0.43
[Training] Itteration/Batch:  25/1038: Loss: 1.71 | Accuracy: 0.69
[Training] Itteration/Batch:  50/1038: Loss: 1.97 | Accuracy: 0.75
[Training] Itteration/Batch:  75/1038: Loss: 2.09 | Accuracy: 0.76
[Training] Itteration/Batch: 100/1038: Loss: 1.57 | Accuracy: 0.89
[Training] Itteration/Batch: 125/1038: Loss: 1.98 | Accuracy: 0.89
[Training] Itteration/Batch: 150/1038: Loss: 1.80 | Accuracy: 0.82
[Training] Itteration/Batch: 175/1038: Loss: 2.04 | Accuracy: 0.90
[Training] Itteration/Batch: 200/1038: Loss: 2.41 | Accuracy: 0.83
[Training] Itteration/Batch: 225/1038: Loss: 1.43 | Accuracy: 0.84
[Training] Itteration/Batch: 250/1038: Loss: 1.67 | Accuracy: 0.90
[Training] Itteration/Batch: 275/1038: Loss: 2.38 | Accuracy: 0.78
[Training] Itteration/Batch: 300/1038: Loss: 1.47 | Accuracy: 0.90
[Training] Itteration/Batch: 325/1038: Loss: 2.97 | Accuracy: 0.70
[Training] Itteration/Batch: 350/1038: Loss: 2.61 | Accuracy: 0.71
[Training] Itteration/Batch: 375/1038: Loss: 1.26 | Accuracy: 0.90
[Training] Itteration/Batch: 400/1038: Loss: 1.03 | Accuracy: 0.92
[Training] Itteration/Batch: 425/1038: Loss: 1.70 | Accuracy: 0.83
[Training] Itteration/Batch: 450/1038: Loss: 1.35 | Accuracy: 0.90
[Training] Itteration/Batch: 475/1038: Loss: 1.48 | Accuracy: 0.80
[Training] Itteration/Batch: 500/1038: Loss: 1.34 | Accuracy: 0.85
[Training] Itteration/Batch: 525/1038: Loss: 1.09 | Accuracy: 0.92
[Training] Itteration/Batch: 550/1038: Loss: 2.37 | Accuracy: 0.74
[Training] Itteration/Batch: 575/1038: Loss: 2.39 | Accuracy: 0.85
[Training] Itteration/Batch: 600/1038: Loss: 1.54 | Accuracy: 0.86
[Training] Itteration/Batch: 625/1038: Loss: 1.54 | Accuracy: 0.75
[Training] Itteration/Batch: 650/1038: Loss: 1.55 | Accuracy: 0.82
[Training] Itteration/Batch: 675/1038: Loss: 2.29 | Accuracy: 0.84
[Training] Itteration/Batch: 700/1038: Loss: 0.87 | Accuracy: 0.94
[Training] Itteration/Batch: 725/1038: Loss: 0.93 | Accuracy: 0.94
[Training] Itteration/Batch: 750/1038: Loss: 1.60 | Accuracy: 0.78
[Training] Itteration/Batch: 775/1038: Loss: 2.75 | Accuracy: 0.66
[Training] Itteration/Batch: 800/1038: Loss: 2.00 | Accuracy: 0.71
