##############################	 Fold 1 	##############################
______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 1.81 | Accuracy: 0.54
[Training] Itteration/Batch:  25/1038: Loss: 2.31 | Accuracy: 0.49
[Training] Itteration/Batch:  50/1038: Loss: 2.14 | Accuracy: 0.49
[Training] Itteration/Batch:  75/1038: Loss: 2.43 | Accuracy: 0.58
[Training] Itteration/Batch: 100/1038: Loss: 2.33 | Accuracy: 0.50
[Training] Itteration/Batch: 125/1038: Loss: 1.78 | Accuracy: 0.49
[Training] Itteration/Batch: 150/1038: Loss: 1.91 | Accuracy: 0.57
[Training] Itteration/Batch: 175/1038: Loss: 2.19 | Accuracy: 0.52
[Training] Itteration/Batch: 200/1038: Loss: 2.54 | Accuracy: 0.60
[Training] Itteration/Batch: 225/1038: Loss: 2.14 | Accuracy: 0.48
[Training] Itteration/Batch: 250/1038: Loss: 1.89 | Accuracy: 0.57
[Training] Itteration/Batch: 275/1038: Loss: 2.10 | Accuracy: 0.59
[Training] Itteration/Batch: 300/1038: Loss: 1.98 | Accuracy: 0.57
[Training] Itteration/Batch: 325/1038: Loss: 2.13 | Accuracy: 0.49
[Training] Itteration/Batch: 350/1038: Loss: 2.75 | Accuracy: 0.67
[Training] Itteration/Batch: 375/1038: Loss: 2.13 | Accuracy: 0.43
[Training] Itteration/Batch: 400/1038: Loss: 1.91 | Accuracy: 0.53
[Training] Itteration/Batch: 425/1038: Loss: 2.25 | Accuracy: 0.50
[Training] Itteration/Batch: 450/1038: Loss: 2.89 | Accuracy: 0.53
[Training] Itteration/Batch: 475/1038: Loss: 2.08 | Accuracy: 0.53
[Training] Itteration/Batch: 500/1038: Loss: 1.97 | Accuracy: 0.58
[Training] Itteration/Batch: 525/1038: Loss: 1.95 | Accuracy: 0.60
[Training] Itteration/Batch: 550/1038: Loss: 2.05 | Accuracy: 0.48
[Training] Itteration/Batch: 575/1038: Loss: 1.81 | Accuracy: 0.50
[Training] Itteration/Batch: 600/1038: Loss: 2.06 | Accuracy: 0.58
[Training] Itteration/Batch: 625/1038: Loss: 2.76 | Accuracy: 0.57
[Training] Itteration/Batch: 650/1038: Loss: 2.69 | Accuracy: 0.64
[Training] Itteration/Batch: 675/1038: Loss: 2.94 | Accuracy: 0.57
[Training] Itteration/Batch: 700/1038: Loss: 1.96 | Accuracy: 0.49
[Training] Itteration/Batch: 725/1038: Loss: 1.89 | Accuracy: 0.59
[Training] Itteration/Batch: 750/1038: Loss: 1.80 | Accuracy: 0.62
[Training] Itteration/Batch: 775/1038: Loss: 1.97 | Accuracy: 0.51
[Training] Itteration/Batch: 800/1038: Loss: 2.82 | Accuracy: 0.56
[Training] Itteration/Batch: 825/1038: Loss: 2.24 | Accuracy: 0.46
[Training] Itteration/Batch: 850/1038: Loss: 2.41 | Accuracy: 0.48
[Training] Itteration/Batch: 875/1038: Loss: 2.35 | Accuracy: 0.54
[Training] Itteration/Batch: 900/1038: Loss: 2.38 | Accuracy: 0.54
[Training] Itteration/Batch: 925/1038: Loss: 2.04 | Accuracy: 0.54
[Training] Itteration/Batch: 950/1038: Loss: 2.44 | Accuracy: 0.53
[Training] Itteration/Batch: 975/1038: Loss: 1.71 | Accuracy: 0.62
[Training] Itteration/Batch: 1000/1038: Loss: 1.94 | Accuracy: 0.48
[Training] Itteration/Batch: 1025/1038: Loss: 2.06 | Accuracy: 0.58

Epoch 1: AVG Training Loss:2.1875417232513428 | Val F1 0.016339870169758797 | Val Accuracy 0.8911982774734497 | Val Loss 2.183232069015503
______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/1038: Loss: 1.61 | Accuracy: 0.50
[Training] Itteration/Batch:  25/1038: Loss: 2.49 | Accuracy: 0.51
[Training] Itteration/Batch:  50/1038: Loss: 2.39 | Accuracy: 0.55
[Training] Itteration/Batch:  75/1038: Loss: 2.19 | Accuracy: 0.60
[Training] Itteration/Batch: 100/1038: Loss: 1.83 | Accuracy: 0.50
[Training] Itteration/Batch: 125/1038: Loss: 2.20 | Accuracy: 0.64
[Training] Itteration/Batch: 150/1038: Loss: 1.88 | Accuracy: 0.67
[Training] Itteration/Batch: 175/1038: Loss: 1.53 | Accuracy: 0.60
[Training] Itteration/Batch: 200/1038: Loss: 3.01 | Accuracy: 0.51
[Training] Itteration/Batch: 225/1038: Loss: 2.19 | Accuracy: 0.52
[Training] Itteration/Batch: 250/1038: Loss: 1.79 | Accuracy: 0.57
[Training] Itteration/Batch: 275/1038: Loss: 1.72 | Accuracy: 0.63
[Training] Itteration/Batch: 300/1038: Loss: 1.96 | Accuracy: 0.66
[Training] Itteration/Batch: 325/1038: Loss: 2.29 | Accuracy: 0.64
[Training] Itteration/Batch: 350/1038: Loss: 2.02 | Accuracy: 0.54
[Training] Itteration/Batch: 375/1038: Loss: 2.21 | Accuracy: 0.52
[Training] Itteration/Batch: 400/1038: Loss: 2.32 | Accuracy: 0.55
