______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 2.69 | Accuracy: 0.41
[Training] Itteration/Batch:  25/2176: Loss: 1.91 | Accuracy: 0.43
[Training] Itteration/Batch:  50/2176: Loss: 2.79 | Accuracy: 0.45
[Training] Itteration/Batch:  75/2176: Loss: 1.81 | Accuracy: 0.56
[Training] Itteration/Batch: 100/2176: Loss: 2.25 | Accuracy: 0.67
[Training] Itteration/Batch: 125/2176: Loss: 1.86 | Accuracy: 0.79
[Training] Itteration/Batch: 150/2176: Loss: 1.77 | Accuracy: 0.78
[Training] Itteration/Batch: 175/2176: Loss: 2.16 | Accuracy: 0.79
[Training] Itteration/Batch: 200/2176: Loss: 2.09 | Accuracy: 0.84
[Training] Itteration/Batch: 225/2176: Loss: 3.19 | Accuracy: 0.79
[Training] Itteration/Batch: 250/2176: Loss: 2.01 | Accuracy: 0.75
[Training] Itteration/Batch: 275/2176: Loss: 1.85 | Accuracy: 0.82
[Training] Itteration/Batch: 300/2176: Loss: 1.87 | Accuracy: 0.81
[Training] Itteration/Batch: 325/2176: Loss: 1.81 | Accuracy: 0.91
[Training] Itteration/Batch: 350/2176: Loss: 2.01 | Accuracy: 0.92
[Training] Itteration/Batch: 375/2176: Loss: 1.51 | Accuracy: 0.93
[Training] Itteration/Batch: 400/2176: Loss: 1.81 | Accuracy: 0.95
[Training] Itteration/Batch: 425/2176: Loss: 2.83 | Accuracy: 0.91
[Training] Itteration/Batch: 450/2176: Loss: 1.40 | Accuracy: 0.96
[Training] Itteration/Batch: 475/2176: Loss: 2.15 | Accuracy: 0.95
[Training] Itteration/Batch: 500/2176: Loss: 1.67 | Accuracy: 0.98
[Training] Itteration/Batch: 525/2176: Loss: 4.40 | Accuracy: 0.87
[Training] Itteration/Batch: 550/2176: Loss: 1.49 | Accuracy: 0.95
[Training] Itteration/Batch: 575/2176: Loss: 2.56 | Accuracy: 0.93
[Training] Itteration/Batch: 600/2176: Loss: 1.24 | Accuracy: 1.00
[Training] Itteration/Batch: 625/2176: Loss: 2.33 | Accuracy: 0.94
[Training] Itteration/Batch: 650/2176: Loss: 1.36 | Accuracy: 0.96
[Training] Itteration/Batch: 675/2176: Loss: 1.21 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2176: Loss: 2.18 | Accuracy: 0.97
[Training] Itteration/Batch: 725/2176: Loss: 1.26 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2176: Loss: 1.11 | Accuracy: 0.96
[Training] Itteration/Batch: 775/2176: Loss: 3.95 | Accuracy: 0.89
[Training] Itteration/Batch: 800/2176: Loss: 3.37 | Accuracy: 0.88
[Training] Itteration/Batch: 825/2176: Loss: 1.75 | Accuracy: 0.96
[Training] Itteration/Batch: 850/2176: Loss: 5.81 | Accuracy: 0.87
