______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 0.51 | Accuracy: 0.75
[Training] Itteration/Batch:  25/2175: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch:  50/2175: Loss: 0.34 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2175: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2175: Loss: 0.95 | Accuracy: 0.94
[Training] Itteration/Batch: 125/2175: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 150/2175: Loss: 0.85 | Accuracy: 0.94
[Training] Itteration/Batch: 175/2175: Loss: 0.77 | Accuracy: 0.94
[Training] Itteration/Batch: 200/2175: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 225/2175: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 250/2175: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 275/2175: Loss: 0.74 | Accuracy: 0.94
[Training] Itteration/Batch: 300/2175: Loss: 0.86 | Accuracy: 0.94
[Training] Itteration/Batch: 325/2175: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 350/2175: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 375/2175: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 400/2175: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 425/2175: Loss: 0.95 | Accuracy: 0.88
[Training] Itteration/Batch: 450/2175: Loss: 0.45 | Accuracy: 0.94
[Training] Itteration/Batch: 475/2175: Loss: 1.36 | Accuracy: 0.94
[Training] Itteration/Batch: 500/2175: Loss: 0.44 | Accuracy: 0.94
[Training] Itteration/Batch: 525/2175: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 550/2175: Loss: 1.75 | Accuracy: 0.94
[Training] Itteration/Batch: 575/2175: Loss: 0.52 | Accuracy: 0.94
[Training] Itteration/Batch: 600/2175: Loss: 1.35 | Accuracy: 0.94
[Training] Itteration/Batch: 625/2175: Loss: 0.39 | Accuracy: 0.94
[Training] Itteration/Batch: 650/2175: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 675/2175: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 700/2175: Loss: 0.29 | Accuracy: 0.94
[Training] Itteration/Batch: 725/2175: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2175: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 775/2175: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 800/2175: Loss: 0.71 | Accuracy: 0.88
[Training] Itteration/Batch: 825/2175: Loss: 0.15 | Accuracy: 0.94
[Training] Itteration/Batch: 850/2175: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 875/2175: Loss: 0.68 | Accuracy: 0.94
[Training] Itteration/Batch: 900/2175: Loss: 0.17 | Accuracy: 0.88
[Training] Itteration/Batch: 925/2175: Loss: 0.06 | Accuracy: 1.00
