______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1732: Loss: 0.84 | Accuracy: 0.71
[Training] Itteration/Batch:  25/1732: Loss: 0.68 | Accuracy: 0.84
[Training] Itteration/Batch:  50/1732: Loss: 1.06 | Accuracy: 0.89
[Training] Itteration/Batch:  75/1732: Loss: 1.24 | Accuracy: 0.84
[Training] Itteration/Batch: 100/1732: Loss: 0.69 | Accuracy: 1.00
[Training] Itteration/Batch: 125/1732: Loss: 0.66 | Accuracy: 0.96
[Training] Itteration/Batch: 150/1732: Loss: 0.92 | Accuracy: 0.91
[Training] Itteration/Batch: 175/1732: Loss: 0.63 | Accuracy: 1.00
[Training] Itteration/Batch: 200/1732: Loss: 1.05 | Accuracy: 0.96
[Training] Itteration/Batch: 225/1732: Loss: 0.53 | Accuracy: 1.00
[Training] Itteration/Batch: 250/1732: Loss: 0.92 | Accuracy: 0.96
[Training] Itteration/Batch: 275/1732: Loss: 2.14 | Accuracy: 0.89
[Training] Itteration/Batch: 300/1732: Loss: 0.52 | Accuracy: 1.00
[Training] Itteration/Batch: 325/1732: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 350/1732: Loss: 1.76 | Accuracy: 0.93
[Training] Itteration/Batch: 375/1732: Loss: 0.53 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1732: Loss: 0.55 | Accuracy: 1.00
[Training] Itteration/Batch: 425/1732: Loss: 2.89 | Accuracy: 0.79
[Training] Itteration/Batch: 450/1732: Loss: 0.42 | Accuracy: 1.00
[Training] Itteration/Batch: 475/1732: Loss: 0.57 | Accuracy: 1.00
[Training] Itteration/Batch: 500/1732: Loss: 0.64 | Accuracy: 0.96
[Training] Itteration/Batch: 525/1732: Loss: 0.50 | Accuracy: 1.00
[Training] Itteration/Batch: 550/1732: Loss: 0.39 | Accuracy: 1.00
[Training] Itteration/Batch: 575/1732: Loss: 0.45 | Accuracy: 1.00
[Training] Itteration/Batch: 600/1732: Loss: 2.69 | Accuracy: 0.87
[Training] Itteration/Batch: 625/1732: Loss: 1.68 | Accuracy: 0.94
[Training] Itteration/Batch: 650/1732: Loss: 0.51 | Accuracy: 1.00
[Training] Itteration/Batch: 675/1732: Loss: 1.21 | Accuracy: 0.93
[Training] Itteration/Batch: 700/1732: Loss: 0.43 | Accuracy: 1.00
[Training] Itteration/Batch: 725/1732: Loss: 2.30 | Accuracy: 0.84
[Training] Itteration/Batch: 750/1732: Loss: 1.59 | Accuracy: 0.88
[Training] Itteration/Batch: 775/1732: Loss: 1.42 | Accuracy: 0.96
[Training] Itteration/Batch: 800/1732: Loss: 0.54 | Accuracy: 0.92
[Training] Itteration/Batch: 825/1732: Loss: 1.43 | Accuracy: 0.92
[Training] Itteration/Batch: 850/1732: Loss: 0.39 | Accuracy: 0.97
[Training] Itteration/Batch: 875/1732: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 900/1732: Loss: 1.09 | Accuracy: 0.83
[Training] Itteration/Batch: 925/1732: Loss: 0.38 | Accuracy: 1.00
[Training] Itteration/Batch: 950/1732: Loss: 0.49 | Accuracy: 0.95
[Training] Itteration/Batch: 975/1732: Loss: 0.39 | Accuracy: 1.00
[Training] Itteration/Batch: 1000/1732: Loss: 0.53 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/1732: Loss: 0.72 | Accuracy: 0.87
[Training] Itteration/Batch: 1050/1732: Loss: 0.98 | Accuracy: 0.94
[Training] Itteration/Batch: 1075/1732: Loss: 1.61 | Accuracy: 0.79
[Training] Itteration/Batch: 1100/1732: Loss: 0.49 | Accuracy: 0.93
[Training] Itteration/Batch: 1125/1732: Loss: 1.12 | Accuracy: 0.92
[Training] Itteration/Batch: 1150/1732: Loss: 0.37 | Accuracy: 0.96
[Training] Itteration/Batch: 1175/1732: Loss: 0.90 | Accuracy: 0.87
[Training] Itteration/Batch: 1200/1732: Loss: 1.55 | Accuracy: 0.89
[Training] Itteration/Batch: 1225/1732: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/1732: Loss: 0.99 | Accuracy: 0.91
[Training] Itteration/Batch: 1275/1732: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 1300/1732: Loss: 0.27 | Accuracy: 0.95
