______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 2.14 | Accuracy: 0.47
[Training] Itteration/Batch:  25/2176: Loss: 2.48 | Accuracy: 0.68
[Training] Itteration/Batch:  50/2176: Loss: 1.93 | Accuracy: 0.69
[Training] Itteration/Batch:  75/2176: Loss: 1.89 | Accuracy: 0.62
[Training] Itteration/Batch: 100/2176: Loss: 1.98 | Accuracy: 0.62
[Training] Itteration/Batch: 125/2176: Loss: 1.52 | Accuracy: 0.73
[Training] Itteration/Batch: 150/2176: Loss: 1.75 | Accuracy: 0.74
[Training] Itteration/Batch: 175/2176: Loss: 1.77 | Accuracy: 0.74
[Training] Itteration/Batch: 200/2176: Loss: 1.76 | Accuracy: 0.85
[Training] Itteration/Batch: 225/2176: Loss: 2.19 | Accuracy: 0.87
[Training] Itteration/Batch: 250/2176: Loss: 2.19 | Accuracy: 0.84
[Training] Itteration/Batch: 275/2176: Loss: 5.00 | Accuracy: 0.74
[Training] Itteration/Batch: 300/2176: Loss: 1.71 | Accuracy: 0.89
[Training] Itteration/Batch: 325/2176: Loss: 4.60 | Accuracy: 0.95
[Training] Itteration/Batch: 350/2176: Loss: 1.68 | Accuracy: 0.90
[Training] Itteration/Batch: 375/2176: Loss: 1.36 | Accuracy: 0.89
[Training] Itteration/Batch: 400/2176: Loss: 3.23 | Accuracy: 0.95
[Training] Itteration/Batch: 425/2176: Loss: 1.41 | Accuracy: 0.93
[Training] Itteration/Batch: 450/2176: Loss: 1.18 | Accuracy: 1.00
[Training] Itteration/Batch: 475/2176: Loss: 1.37 | Accuracy: 0.95
[Training] Itteration/Batch: 500/2176: Loss: 1.31 | Accuracy: 0.96
[Training] Itteration/Batch: 525/2176: Loss: 1.60 | Accuracy: 0.98
[Training] Itteration/Batch: 550/2176: Loss: 1.14 | Accuracy: 1.00
[Training] Itteration/Batch: 575/2176: Loss: 2.00 | Accuracy: 0.96
[Training] Itteration/Batch: 600/2176: Loss: 1.31 | Accuracy: 0.98
[Training] Itteration/Batch: 625/2176: Loss: 5.16 | Accuracy: 0.94
[Training] Itteration/Batch: 650/2176: Loss: 3.65 | Accuracy: 0.94
[Training] Itteration/Batch: 675/2176: Loss: 1.34 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2176: Loss: 2.12 | Accuracy: 0.98
[Training] Itteration/Batch: 725/2176: Loss: 1.11 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2176: Loss: 1.32 | Accuracy: 0.98
[Training] Itteration/Batch: 775/2176: Loss: 1.18 | Accuracy: 1.00
[Training] Itteration/Batch: 800/2176: Loss: 1.37 | Accuracy: 0.98
[Training] Itteration/Batch: 825/2176: Loss: 1.13 | Accuracy: 1.00
[Training] Itteration/Batch: 850/2176: Loss: 1.69 | Accuracy: 0.98
[Training] Itteration/Batch: 875/2176: Loss: 1.59 | Accuracy: 0.97
[Training] Itteration/Batch: 900/2176: Loss: 1.15 | Accuracy: 1.00
