______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 0.39 | Accuracy: 1.00
[Training] Itteration/Batch:  25/2175: Loss: 0.36 | Accuracy: 1.00
[Training] Itteration/Batch:  50/2175: Loss: 0.88 | Accuracy: 0.94
[Training] Itteration/Batch:  75/2175: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2175: Loss: 0.69 | Accuracy: 0.94
[Training] Itteration/Batch: 125/2175: Loss: 1.00 | Accuracy: 0.94
[Training] Itteration/Batch: 150/2175: Loss: 1.48 | Accuracy: 0.88
[Training] Itteration/Batch: 175/2175: Loss: 0.92 | Accuracy: 0.94
[Training] Itteration/Batch: 200/2175: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 225/2175: Loss: 0.58 | Accuracy: 0.94
[Training] Itteration/Batch: 250/2175: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 275/2175: Loss: 0.47 | Accuracy: 0.94
[Training] Itteration/Batch: 300/2175: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 325/2175: Loss: 0.46 | Accuracy: 0.94
[Training] Itteration/Batch: 350/2175: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 375/2175: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 400/2175: Loss: 0.17 | Accuracy: 0.88
[Training] Itteration/Batch: 425/2175: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 450/2175: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 475/2175: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 500/2175: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 525/2175: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 550/2175: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 575/2175: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 600/2175: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 625/2175: Loss: 0.23 | Accuracy: 0.94
[Training] Itteration/Batch: 650/2175: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 675/2175: Loss: 1.26 | Accuracy: 0.88
[Training] Itteration/Batch: 700/2175: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 725/2175: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2175: Loss: 0.24 | Accuracy: 0.94
[Training] Itteration/Batch: 775/2175: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 800/2175: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 825/2175: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 850/2175: Loss: 2.07 | Accuracy: 0.94
[Training] Itteration/Batch: 875/2175: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 900/2175: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 925/2175: Loss: 1.59 | Accuracy: 0.94
[Training] Itteration/Batch: 950/2175: Loss: 1.39 | Accuracy: 0.94
[Training] Itteration/Batch: 975/2175: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 1000/2175: Loss: 0.30 | Accuracy: 0.94
[Training] Itteration/Batch: 1025/2175: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 1050/2175: Loss: 0.16 | Accuracy: 0.94
