______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2171: Loss: 2.23 | Accuracy: 0.46
[Training] Itteration/Batch:  25/2171: Loss: 1.90 | Accuracy: 0.55
[Training] Itteration/Batch:  50/2171: Loss: 2.06 | Accuracy: 0.72
[Training] Itteration/Batch:  75/2171: Loss: 1.65 | Accuracy: 0.69
[Training] Itteration/Batch: 100/2171: Loss: 3.42 | Accuracy: 0.70
[Training] Itteration/Batch: 125/2171: Loss: 2.01 | Accuracy: 0.77
[Training] Itteration/Batch: 150/2171: Loss: 2.07 | Accuracy: 0.80
[Training] Itteration/Batch: 175/2171: Loss: 2.14 | Accuracy: 0.83
[Training] Itteration/Batch: 200/2171: Loss: 2.25 | Accuracy: 0.81
[Training] Itteration/Batch: 225/2171: Loss: 2.01 | Accuracy: 0.83
[Training] Itteration/Batch: 250/2171: Loss: 2.60 | Accuracy: 0.81
[Training] Itteration/Batch: 275/2171: Loss: 1.34 | Accuracy: 0.94
[Training] Itteration/Batch: 300/2171: Loss: 2.05 | Accuracy: 0.84
[Training] Itteration/Batch: 325/2171: Loss: 1.07 | Accuracy: 0.98
[Training] Itteration/Batch: 350/2171: Loss: 1.16 | Accuracy: 0.92
[Training] Itteration/Batch: 375/2171: Loss: 2.17 | Accuracy: 0.85
[Training] Itteration/Batch: 400/2171: Loss: 1.73 | Accuracy: 0.88
[Training] Itteration/Batch: 425/2171: Loss: 1.15 | Accuracy: 0.94
[Training] Itteration/Batch: 450/2171: Loss: 1.56 | Accuracy: 0.98
[Training] Itteration/Batch: 475/2171: Loss: 2.52 | Accuracy: 0.96
[Training] Itteration/Batch: 500/2171: Loss: 2.56 | Accuracy: 0.98
[Training] Itteration/Batch: 525/2171: Loss: 1.46 | Accuracy: 0.91
[Training] Itteration/Batch: 550/2171: Loss: 2.19 | Accuracy: 0.96
[Training] Itteration/Batch: 575/2171: Loss: 1.10 | Accuracy: 1.00
[Training] Itteration/Batch: 600/2171: Loss: 1.86 | Accuracy: 0.97
[Training] Itteration/Batch: 625/2171: Loss: 1.46 | Accuracy: 0.96
[Training] Itteration/Batch: 650/2171: Loss: 1.68 | Accuracy: 0.87
[Training] Itteration/Batch: 675/2171: Loss: 2.45 | Accuracy: 0.96
[Training] Itteration/Batch: 700/2171: Loss: 1.08 | Accuracy: 0.98
[Training] Itteration/Batch: 725/2171: Loss: 1.21 | Accuracy: 0.90
[Training] Itteration/Batch: 750/2171: Loss: 1.30 | Accuracy: 0.96
[Training] Itteration/Batch: 775/2171: Loss: 1.52 | Accuracy: 0.96
[Training] Itteration/Batch: 800/2171: Loss: 2.02 | Accuracy: 0.94
[Training] Itteration/Batch: 825/2171: Loss: 1.60 | Accuracy: 0.96
[Training] Itteration/Batch: 850/2171: Loss: 0.85 | Accuracy: 1.00
[Training] Itteration/Batch: 875/2171: Loss: 1.21 | Accuracy: 0.93
[Training] Itteration/Batch: 900/2171: Loss: 1.91 | Accuracy: 0.96
[Training] Itteration/Batch: 925/2171: Loss: 2.74 | Accuracy: 0.94
[Training] Itteration/Batch: 950/2171: Loss: 2.13 | Accuracy: 0.96
[Training] Itteration/Batch: 975/2171: Loss: 1.22 | Accuracy: 0.98
[Training] Itteration/Batch: 1000/2171: Loss: 0.78 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/2171: Loss: 1.26 | Accuracy: 0.98
[Training] Itteration/Batch: 1050/2171: Loss: 0.82 | Accuracy: 0.96
[Training] Itteration/Batch: 1075/2171: Loss: 1.60 | Accuracy: 0.94
[Training] Itteration/Batch: 1100/2171: Loss: 2.23 | Accuracy: 0.88
[Training] Itteration/Batch: 1125/2171: Loss: 0.91 | Accuracy: 0.94
[Training] Itteration/Batch: 1150/2171: Loss: 1.71 | Accuracy: 0.98
[Training] Itteration/Batch: 1175/2171: Loss: 2.12 | Accuracy: 0.94
[Training] Itteration/Batch: 1200/2171: Loss: 3.20 | Accuracy: 0.80
[Training] Itteration/Batch: 1225/2171: Loss: 1.48 | Accuracy: 0.96
[Training] Itteration/Batch: 1250/2171: Loss: 1.38 | Accuracy: 0.90
[Training] Itteration/Batch: 1275/2171: Loss: 1.53 | Accuracy: 0.98
[Training] Itteration/Batch: 1300/2171: Loss: 1.14 | Accuracy: 0.93
[Training] Itteration/Batch: 1325/2171: Loss: 1.67 | Accuracy: 0.96
[Training] Itteration/Batch: 1350/2171: Loss: 0.99 | Accuracy: 0.98
[Training] Itteration/Batch: 1375/2171: Loss: 2.31 | Accuracy: 0.94
[Training] Itteration/Batch: 1400/2171: Loss: 1.30 | Accuracy: 0.96
[Training] Itteration/Batch: 1425/2171: Loss: 0.64 | Accuracy: 0.94
[Training] Itteration/Batch: 1450/2171: Loss: 2.15 | Accuracy: 0.93
[Training] Itteration/Batch: 1475/2171: Loss: 1.38 | Accuracy: 0.96
[Training] Itteration/Batch: 1500/2171: Loss: 0.65 | Accuracy: 1.00
[Training] Itteration/Batch: 1525/2171: Loss: 1.05 | Accuracy: 0.96
[Training] Itteration/Batch: 1550/2171: Loss: 2.76 | Accuracy: 0.96
[Training] Itteration/Batch: 1575/2171: Loss: 3.82 | Accuracy: 0.79
[Training] Itteration/Batch: 1600/2171: Loss: 1.71 | Accuracy: 0.92
[Training] Itteration/Batch: 1625/2171: Loss: 1.17 | Accuracy: 0.98
[Training] Itteration/Batch: 1650/2171: Loss: 0.74 | Accuracy: 1.00
[Training] Itteration/Batch: 1675/2171: Loss: 1.83 | Accuracy: 0.97
[Training] Itteration/Batch: 1700/2171: Loss: 1.52 | Accuracy: 0.96
[Training] Itteration/Batch: 1725/2171: Loss: 2.03 | Accuracy: 0.95
[Training] Itteration/Batch: 1750/2171: Loss: 1.80 | Accuracy: 0.88
[Training] Itteration/Batch: 1775/2171: Loss: 1.12 | Accuracy: 0.96
[Training] Itteration/Batch: 1800/2171: Loss: 2.26 | Accuracy: 0.90
[Training] Itteration/Batch: 1825/2171: Loss: 1.41 | Accuracy: 0.95
[Training] Itteration/Batch: 1850/2171: Loss: 0.49 | Accuracy: 1.00
[Training] Itteration/Batch: 1875/2171: Loss: 0.85 | Accuracy: 0.92
[Training] Itteration/Batch: 1900/2171: Loss: 2.17 | Accuracy: 0.85
[Training] Itteration/Batch: 1925/2171: Loss: 0.63 | Accuracy: 1.00
[Training] Itteration/Batch: 1950/2171: Loss: 1.27 | Accuracy: 0.94
[Training] Itteration/Batch: 1975/2171: Loss: 0.96 | Accuracy: 0.91
[Training] Itteration/Batch: 2000/2171: Loss: 1.53 | Accuracy: 0.91
[Training] Itteration/Batch: 2025/2171: Loss: 0.97 | Accuracy: 0.91
[Training] Itteration/Batch: 2050/2171: Loss: 1.51 | Accuracy: 0.89
[Training] Itteration/Batch: 2075/2171: Loss: 0.73 | Accuracy: 0.92
[Training] Itteration/Batch: 2100/2171: Loss: 0.62 | Accuracy: 1.00
[Training] Itteration/Batch: 2125/2171: Loss: 1.61 | Accuracy: 0.85
[Training] Itteration/Batch: 2150/2171: Loss: 1.11 | Accuracy: 0.97

Epoch 1: Val Bin. F1 Majority 0.4902912676334381 | Val Macro F1 Majority 0.735732811704447 |             Val Bin F1 Individual 0.4149765968322754 | Val Macro F1 Individual 0.6946245116095344 |             Val Accuracy Majority 0.9636898040771484 | Val Accuracy Individual 0.9507123827934265 | Training Loss:1.5860615968704224 |             Val Loss 1.2140694856643677 | Train Runtime Millis 230924.08400999557 | Val Runtime Millis 41969.31206800218

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/2171: Loss: 1.94 | Accuracy: 0.89
