______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2176: Loss: 2.00 | Accuracy: 0.52
[Training] Itteration/Batch:  25/2176: Loss: 2.23 | Accuracy: 0.50
[Training] Itteration/Batch:  50/2176: Loss: 1.76 | Accuracy: 0.59
[Training] Itteration/Batch:  75/2176: Loss: 1.74 | Accuracy: 0.68
[Training] Itteration/Batch: 100/2176: Loss: 2.04 | Accuracy: 0.63
[Training] Itteration/Batch: 125/2176: Loss: 3.22 | Accuracy: 0.67
[Training] Itteration/Batch: 150/2176: Loss: 1.78 | Accuracy: 0.68
[Training] Itteration/Batch: 175/2176: Loss: 1.94 | Accuracy: 0.82
[Training] Itteration/Batch: 200/2176: Loss: 2.00 | Accuracy: 0.79
[Training] Itteration/Batch: 225/2176: Loss: 1.78 | Accuracy: 0.90
[Training] Itteration/Batch: 250/2176: Loss: 2.53 | Accuracy: 0.81
[Training] Itteration/Batch: 275/2176: Loss: 1.62 | Accuracy: 0.90
[Training] Itteration/Batch: 300/2176: Loss: 2.21 | Accuracy: 0.88
[Training] Itteration/Batch: 325/2176: Loss: 2.28 | Accuracy: 0.85
[Training] Itteration/Batch: 350/2176: Loss: 3.32 | Accuracy: 0.92
[Training] Itteration/Batch: 375/2176: Loss: 1.39 | Accuracy: 0.89
[Training] Itteration/Batch: 400/2176: Loss: 2.48 | Accuracy: 0.96
[Training] Itteration/Batch: 425/2176: Loss: 1.80 | Accuracy: 0.94
[Training] Itteration/Batch: 450/2176: Loss: 1.28 | Accuracy: 0.96
[Training] Itteration/Batch: 475/2176: Loss: 1.34 | Accuracy: 0.98
[Training] Itteration/Batch: 500/2176: Loss: 2.62 | Accuracy: 0.97
[Training] Itteration/Batch: 525/2176: Loss: 2.02 | Accuracy: 0.97
[Training] Itteration/Batch: 550/2176: Loss: 2.26 | Accuracy: 0.96
[Training] Itteration/Batch: 575/2176: Loss: 1.24 | Accuracy: 0.96
[Training] Itteration/Batch: 600/2176: Loss: 1.36 | Accuracy: 0.98
[Training] Itteration/Batch: 625/2176: Loss: 1.16 | Accuracy: 1.00
[Training] Itteration/Batch: 650/2176: Loss: 1.22 | Accuracy: 0.98
[Training] Itteration/Batch: 675/2176: Loss: 1.12 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2176: Loss: 2.84 | Accuracy: 0.93
[Training] Itteration/Batch: 725/2176: Loss: 1.44 | Accuracy: 0.98
