______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1334: Loss: 1.13 | Accuracy: 0.62
[Training] Itteration/Batch:  25/1334: Loss: 0.93 | Accuracy: 0.88
[Training] Itteration/Batch:  50/1334: Loss: 1.31 | Accuracy: 0.81
[Training] Itteration/Batch:  75/1334: Loss: 0.64 | Accuracy: 0.94
[Training] Itteration/Batch: 100/1334: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 125/1334: Loss: 0.66 | Accuracy: 0.94
[Training] Itteration/Batch: 150/1334: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 175/1334: Loss: 0.56 | Accuracy: 0.94
[Training] Itteration/Batch: 200/1334: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 225/1334: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 250/1334: Loss: 0.68 | Accuracy: 0.94
[Training] Itteration/Batch: 275/1334: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 300/1334: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 325/1334: Loss: 1.13 | Accuracy: 0.88
[Training] Itteration/Batch: 350/1334: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 375/1334: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1334: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 425/1334: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 450/1334: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 475/1334: Loss: 0.43 | Accuracy: 0.81
[Training] Itteration/Batch: 500/1334: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 525/1334: Loss: 0.32 | Accuracy: 0.88
[Training] Itteration/Batch: 550/1334: Loss: 0.54 | Accuracy: 0.94
[Training] Itteration/Batch: 575/1334: Loss: 0.31 | Accuracy: 0.94
[Training] Itteration/Batch: 600/1334: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 625/1334: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 650/1334: Loss: 1.16 | Accuracy: 0.88
[Training] Itteration/Batch: 675/1334: Loss: 0.28 | Accuracy: 0.94
[Training] Itteration/Batch: 700/1334: Loss: 0.17 | Accuracy: 0.88
[Training] Itteration/Batch: 725/1334: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 750/1334: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 775/1334: Loss: 0.87 | Accuracy: 0.81
[Training] Itteration/Batch: 800/1334: Loss: 0.52 | Accuracy: 0.88
[Training] Itteration/Batch: 825/1334: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 850/1334: Loss: 0.83 | Accuracy: 0.88
[Training] Itteration/Batch: 875/1334: Loss: 0.36 | Accuracy: 0.88
[Training] Itteration/Batch: 900/1334: Loss: 0.39 | Accuracy: 0.88
[Training] Itteration/Batch: 925/1334: Loss: 0.30 | Accuracy: 0.88
[Training] Itteration/Batch: 950/1334: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 975/1334: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 1000/1334: Loss: 1.00 | Accuracy: 0.81
[Training] Itteration/Batch: 1025/1334: Loss: 0.30 | Accuracy: 0.88
[Training] Itteration/Batch: 1050/1334: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/1334: Loss: 0.23 | Accuracy: 0.94
[Training] Itteration/Batch: 1100/1334: Loss: 0.96 | Accuracy: 0.88
[Training] Itteration/Batch: 1125/1334: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/1334: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 1175/1334: Loss: 1.34 | Accuracy: 0.62
[Training] Itteration/Batch: 1200/1334: Loss: 0.39 | Accuracy: 0.88
[Training] Itteration/Batch: 1225/1334: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/1334: Loss: 0.37 | Accuracy: 0.81
[Training] Itteration/Batch: 1275/1334: Loss: 0.36 | Accuracy: 0.94
[Training] Itteration/Batch: 1300/1334: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 1325/1334: Loss: 0.17 | Accuracy: 0.94

Epoch 1: Val Bin. F1 Majority 0.38869863748550415 | Val Macro F1 Majority 0.6750164871685689 |             Val Bin F1 Individual 0.3522484004497528 | Val Macro F1 Individual 0.6576655687375574 |             Val Accuracy Majority 0.9272690415382385 | Val Accuracy Individual 0.9301466345787048 | Training Loss:0.416817307472229 |             Val Loss 0.35631459951400757 | Train Runtime Millis 83401.83259709738 | Val Runtime Millis 17374.389284057543

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/1334: Loss: 0.43 | Accuracy: 1.00
[Training] Itteration/Batch:  25/1334: Loss: 0.42 | Accuracy: 0.94
[Training] Itteration/Batch:  50/1334: Loss: 0.24 | Accuracy: 0.88
[Training] Itteration/Batch:  75/1334: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 100/1334: Loss: 0.41 | Accuracy: 0.94
[Training] Itteration/Batch: 125/1334: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 150/1334: Loss: 0.25 | Accuracy: 0.88
[Training] Itteration/Batch: 175/1334: Loss: 0.15 | Accuracy: 0.94
[Training] Itteration/Batch: 200/1334: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 225/1334: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 250/1334: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 275/1334: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 300/1334: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 325/1334: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 350/1334: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 375/1334: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1334: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 425/1334: Loss: 1.15 | Accuracy: 0.81
[Training] Itteration/Batch: 450/1334: Loss: 0.17 | Accuracy: 0.88
