______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1055: Loss: 1.26 | Accuracy: 0.75
[Training] Itteration/Batch:  25/1055: Loss: 0.83 | Accuracy: 0.68
[Training] Itteration/Batch:  50/1055: Loss: 1.38 | Accuracy: 0.69
[Training] Itteration/Batch:  75/1055: Loss: 0.64 | Accuracy: 0.79
[Training] Itteration/Batch: 100/1055: Loss: 0.84 | Accuracy: 0.80
[Training] Itteration/Batch: 125/1055: Loss: 0.77 | Accuracy: 0.86
[Training] Itteration/Batch: 150/1055: Loss: 1.19 | Accuracy: 0.85
[Training] Itteration/Batch: 175/1055: Loss: 0.99 | Accuracy: 0.96
[Training] Itteration/Batch: 200/1055: Loss: 0.59 | Accuracy: 1.00
[Training] Itteration/Batch: 225/1055: Loss: 1.04 | Accuracy: 0.92
[Training] Itteration/Batch: 250/1055: Loss: 0.63 | Accuracy: 0.96
[Training] Itteration/Batch: 275/1055: Loss: 0.87 | Accuracy: 0.96
[Training] Itteration/Batch: 300/1055: Loss: 1.15 | Accuracy: 0.92
[Training] Itteration/Batch: 325/1055: Loss: 1.59 | Accuracy: 0.94
[Training] Itteration/Batch: 350/1055: Loss: 0.71 | Accuracy: 0.96
[Training] Itteration/Batch: 375/1055: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1055: Loss: 0.85 | Accuracy: 0.97
[Training] Itteration/Batch: 425/1055: Loss: 0.48 | Accuracy: 1.00
[Training] Itteration/Batch: 450/1055: Loss: 0.89 | Accuracy: 0.96
[Training] Itteration/Batch: 475/1055: Loss: 0.99 | Accuracy: 0.92
[Training] Itteration/Batch: 500/1055: Loss: 0.68 | Accuracy: 0.95
[Training] Itteration/Batch: 525/1055: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 550/1055: Loss: 1.26 | Accuracy: 0.87
[Training] Itteration/Batch: 575/1055: Loss: 0.56 | Accuracy: 1.00
[Training] Itteration/Batch: 600/1055: Loss: 0.69 | Accuracy: 0.97
[Training] Itteration/Batch: 625/1055: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 650/1055: Loss: 1.58 | Accuracy: 0.89
[Training] Itteration/Batch: 675/1055: Loss: 1.60 | Accuracy: 0.88
[Training] Itteration/Batch: 700/1055: Loss: 1.40 | Accuracy: 0.94
[Training] Itteration/Batch: 725/1055: Loss: 0.94 | Accuracy: 0.96
[Training] Itteration/Batch: 750/1055: Loss: 1.13 | Accuracy: 0.97
[Training] Itteration/Batch: 775/1055: Loss: 1.19 | Accuracy: 0.91
[Training] Itteration/Batch: 800/1055: Loss: 0.61 | Accuracy: 1.00
[Training] Itteration/Batch: 825/1055: Loss: 0.50 | Accuracy: 0.96
[Training] Itteration/Batch: 850/1055: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch: 875/1055: Loss: 0.61 | Accuracy: 0.96
[Training] Itteration/Batch: 900/1055: Loss: 0.87 | Accuracy: 0.96
[Training] Itteration/Batch: 925/1055: Loss: 0.38 | Accuracy: 1.00
[Training] Itteration/Batch: 950/1055: Loss: 0.59 | Accuracy: 0.96
[Training] Itteration/Batch: 975/1055: Loss: 0.61 | Accuracy: 0.88
[Training] Itteration/Batch: 1000/1055: Loss: 0.60 | Accuracy: 0.93
[Training] Itteration/Batch: 1025/1055: Loss: 1.66 | Accuracy: 0.91
[Training] Itteration/Batch: 1050/1055: Loss: 1.36 | Accuracy: 0.87

Epoch 1: Val Bin. F1 Majority 0.34430378675460815 | Val Macro F1 Majority 0.6510938468072435 |             Val Bin F1 Individual 0.31063830852508545 | Val Macro F1 Individual 0.6355413440283446 |             Val Accuracy Majority 0.9208515882492065 | Val Accuracy Individual 0.9251818656921387 | Training Loss:0.9332877993583679 |             Val Loss 0.7744114995002747 | Train Runtime Millis 78408.73519214801 | Val Runtime Millis 22242.18188598752

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/1055: Loss: 0.77 | Accuracy: 0.97
[Training] Itteration/Batch:  25/1055: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch:  50/1055: Loss: 0.68 | Accuracy: 0.90
[Training] Itteration/Batch:  75/1055: Loss: 0.66 | Accuracy: 0.76
[Training] Itteration/Batch: 100/1055: Loss: 1.84 | Accuracy: 0.81
[Training] Itteration/Batch: 125/1055: Loss: 0.57 | Accuracy: 0.93
[Training] Itteration/Batch: 150/1055: Loss: 0.58 | Accuracy: 0.71
[Training] Itteration/Batch: 175/1055: Loss: 0.39 | Accuracy: 0.92
[Training] Itteration/Batch: 200/1055: Loss: 0.33 | Accuracy: 0.96
[Training] Itteration/Batch: 225/1055: Loss: 0.99 | Accuracy: 0.89
[Training] Itteration/Batch: 250/1055: Loss: 0.80 | Accuracy: 0.96
[Training] Itteration/Batch: 275/1055: Loss: 0.65 | Accuracy: 0.97
[Training] Itteration/Batch: 300/1055: Loss: 0.66 | Accuracy: 0.96
[Training] Itteration/Batch: 325/1055: Loss: 0.69 | Accuracy: 0.85
[Training] Itteration/Batch: 350/1055: Loss: 0.83 | Accuracy: 0.92
[Training] Itteration/Batch: 375/1055: Loss: 0.42 | Accuracy: 0.93
[Training] Itteration/Batch: 400/1055: Loss: 0.89 | Accuracy: 0.90
[Training] Itteration/Batch: 425/1055: Loss: 0.42 | Accuracy: 1.00
[Training] Itteration/Batch: 450/1055: Loss: 0.51 | Accuracy: 0.92
[Training] Itteration/Batch: 475/1055: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch: 500/1055: Loss: 0.67 | Accuracy: 0.96
[Training] Itteration/Batch: 525/1055: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 550/1055: Loss: 1.83 | Accuracy: 0.79
[Training] Itteration/Batch: 575/1055: Loss: 0.54 | Accuracy: 0.79
[Training] Itteration/Batch: 600/1055: Loss: 0.55 | Accuracy: 0.93
[Training] Itteration/Batch: 625/1055: Loss: 0.72 | Accuracy: 0.96
[Training] Itteration/Batch: 650/1055: Loss: 1.08 | Accuracy: 0.85
[Training] Itteration/Batch: 675/1055: Loss: 0.48 | Accuracy: 1.00
[Training] Itteration/Batch: 700/1055: Loss: 1.15 | Accuracy: 0.97
[Training] Itteration/Batch: 725/1055: Loss: 0.68 | Accuracy: 0.96
[Training] Itteration/Batch: 750/1055: Loss: 0.36 | Accuracy: 0.92
[Training] Itteration/Batch: 775/1055: Loss: 0.35 | Accuracy: 0.93
[Training] Itteration/Batch: 800/1055: Loss: 0.38 | Accuracy: 0.94
[Training] Itteration/Batch: 825/1055: Loss: 0.31 | Accuracy: 0.93
[Training] Itteration/Batch: 850/1055: Loss: 0.70 | Accuracy: 0.89
[Training] Itteration/Batch: 875/1055: Loss: 0.35 | Accuracy: 0.95
[Training] Itteration/Batch: 900/1055: Loss: 0.28 | Accuracy: 1.00
