______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/724: Loss: 2.34 | Accuracy: 0.48
[Training] Itteration/Batch:  25/724: Loss: 3.28 | Accuracy: 0.57
[Training] Itteration/Batch:  50/724: Loss: 2.12 | Accuracy: 0.73
[Training] Itteration/Batch:  75/724: Loss: 1.66 | Accuracy: 0.73
[Training] Itteration/Batch: 100/724: Loss: 1.75 | Accuracy: 0.63
[Training] Itteration/Batch: 125/724: Loss: 1.73 | Accuracy: 0.85
[Training] Itteration/Batch: 150/724: Loss: 1.44 | Accuracy: 0.91
[Training] Itteration/Batch: 175/724: Loss: 2.57 | Accuracy: 0.91
[Training] Itteration/Batch: 200/724: Loss: 1.44 | Accuracy: 0.91
[Training] Itteration/Batch: 225/724: Loss: 1.71 | Accuracy: 0.95
[Training] Itteration/Batch: 250/724: Loss: 1.60 | Accuracy: 0.95
[Training] Itteration/Batch: 275/724: Loss: 1.32 | Accuracy: 0.94
[Training] Itteration/Batch: 300/724: Loss: 1.40 | Accuracy: 0.98
[Training] Itteration/Batch: 325/724: Loss: 1.89 | Accuracy: 0.98
[Training] Itteration/Batch: 350/724: Loss: 2.95 | Accuracy: 0.96
[Training] Itteration/Batch: 375/724: Loss: 1.38 | Accuracy: 0.98
[Training] Itteration/Batch: 400/724: Loss: 1.21 | Accuracy: 1.00
[Training] Itteration/Batch: 425/724: Loss: 1.20 | Accuracy: 1.00
[Training] Itteration/Batch: 450/724: Loss: 2.70 | Accuracy: 0.97
[Training] Itteration/Batch: 475/724: Loss: 1.74 | Accuracy: 0.96
[Training] Itteration/Batch: 500/724: Loss: 1.03 | Accuracy: 1.00
[Training] Itteration/Batch: 525/724: Loss: 1.25 | Accuracy: 0.98
[Training] Itteration/Batch: 550/724: Loss: 1.35 | Accuracy: 1.00
[Training] Itteration/Batch: 575/724: Loss: 1.25 | Accuracy: 1.00
[Training] Itteration/Batch: 600/724: Loss: 1.85 | Accuracy: 0.98
[Training] Itteration/Batch: 625/724: Loss: 1.13 | Accuracy: 1.00
[Training] Itteration/Batch: 650/724: Loss: 1.24 | Accuracy: 1.00
[Training] Itteration/Batch: 675/724: Loss: 0.93 | Accuracy: 1.00
[Training] Itteration/Batch: 700/724: Loss: 0.90 | Accuracy: 1.00

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 0.4971366594360087 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 0.4959673800151303 |             Val Accuracy Majority 0.9886118769645691 | Val Accuracy Individual 0.9839985966682434 | Training Loss:2.186229944229126 |             Val Loss 1.9482322931289673 | Train Runtime Millis 83543.01683418453 | Val Runtime Millis 46788.492791354656

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/724: Loss: 1.01 | Accuracy: 1.00
[Training] Itteration/Batch:  25/724: Loss: 1.01 | Accuracy: 1.00
[Training] Itteration/Batch:  50/724: Loss: 2.70 | Accuracy: 0.94
[Training] Itteration/Batch:  75/724: Loss: 1.93 | Accuracy: 0.98
[Training] Itteration/Batch: 100/724: Loss: 4.39 | Accuracy: 0.96
[Training] Itteration/Batch: 125/724: Loss: 3.25 | Accuracy: 0.98
[Training] Itteration/Batch: 150/724: Loss: 1.16 | Accuracy: 1.00
