______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 2.79 | Accuracy: 0.52
[Training] Itteration/Batch:  25/2175: Loss: 3.49 | Accuracy: 0.53
[Training] Itteration/Batch:  50/2175: Loss: 2.39 | Accuracy: 0.73
[Training] Itteration/Batch:  75/2175: Loss: 1.85 | Accuracy: 0.68
[Training] Itteration/Batch: 100/2175: Loss: 2.96 | Accuracy: 0.66
[Training] Itteration/Batch: 125/2175: Loss: 2.89 | Accuracy: 0.75
[Training] Itteration/Batch: 150/2175: Loss: 2.45 | Accuracy: 0.80
[Training] Itteration/Batch: 175/2175: Loss: 1.91 | Accuracy: 0.93
[Training] Itteration/Batch: 200/2175: Loss: 2.40 | Accuracy: 0.88
[Training] Itteration/Batch: 225/2175: Loss: 2.87 | Accuracy: 0.86
[Training] Itteration/Batch: 250/2175: Loss: 2.21 | Accuracy: 0.85
[Training] Itteration/Batch: 275/2175: Loss: 2.13 | Accuracy: 0.94
[Training] Itteration/Batch: 300/2175: Loss: 5.48 | Accuracy: 0.91
[Training] Itteration/Batch: 325/2175: Loss: 1.87 | Accuracy: 0.93
[Training] Itteration/Batch: 350/2175: Loss: 1.77 | Accuracy: 0.98
[Training] Itteration/Batch: 375/2175: Loss: 2.52 | Accuracy: 0.93
[Training] Itteration/Batch: 400/2175: Loss: 3.40 | Accuracy: 0.91
[Training] Itteration/Batch: 425/2175: Loss: 1.69 | Accuracy: 0.98
[Training] Itteration/Batch: 450/2175: Loss: 2.17 | Accuracy: 0.88
[Training] Itteration/Batch: 475/2175: Loss: 2.74 | Accuracy: 0.87
[Training] Itteration/Batch: 500/2175: Loss: 2.33 | Accuracy: 0.98
[Training] Itteration/Batch: 525/2175: Loss: 1.71 | Accuracy: 0.98
[Training] Itteration/Batch: 550/2175: Loss: 1.55 | Accuracy: 0.98
[Training] Itteration/Batch: 575/2175: Loss: 2.52 | Accuracy: 0.95
[Training] Itteration/Batch: 600/2175: Loss: 1.79 | Accuracy: 0.93
[Training] Itteration/Batch: 625/2175: Loss: 3.71 | Accuracy: 0.90
[Training] Itteration/Batch: 650/2175: Loss: 1.86 | Accuracy: 0.97
[Training] Itteration/Batch: 675/2175: Loss: 1.90 | Accuracy: 0.96
[Training] Itteration/Batch: 700/2175: Loss: 2.49 | Accuracy: 0.94
[Training] Itteration/Batch: 725/2175: Loss: 1.90 | Accuracy: 0.98
[Training] Itteration/Batch: 750/2175: Loss: 1.70 | Accuracy: 0.96
[Training] Itteration/Batch: 775/2175: Loss: 2.43 | Accuracy: 0.95
[Training] Itteration/Batch: 800/2175: Loss: 2.65 | Accuracy: 0.92
[Training] Itteration/Batch: 825/2175: Loss: 2.25 | Accuracy: 0.92
[Training] Itteration/Batch: 850/2175: Loss: 1.41 | Accuracy: 0.98
[Training] Itteration/Batch: 875/2175: Loss: 3.93 | Accuracy: 0.91
[Training] Itteration/Batch: 900/2175: Loss: 4.14 | Accuracy: 0.88
[Training] Itteration/Batch: 925/2175: Loss: 1.55 | Accuracy: 0.96
[Training] Itteration/Batch: 950/2175: Loss: 2.09 | Accuracy: 0.96
[Training] Itteration/Batch: 975/2175: Loss: 1.78 | Accuracy: 0.98
[Training] Itteration/Batch: 1000/2175: Loss: 1.96 | Accuracy: 0.96
[Training] Itteration/Batch: 1025/2175: Loss: 1.53 | Accuracy: 1.00
[Training] Itteration/Batch: 1050/2175: Loss: 3.51 | Accuracy: 0.88
[Training] Itteration/Batch: 1075/2175: Loss: 1.66 | Accuracy: 0.98
[Training] Itteration/Batch: 1100/2175: Loss: 1.19 | Accuracy: 1.00
[Training] Itteration/Batch: 1125/2175: Loss: 2.10 | Accuracy: 0.94
[Training] Itteration/Batch: 1150/2175: Loss: 1.93 | Accuracy: 0.95
[Training] Itteration/Batch: 1175/2175: Loss: 2.40 | Accuracy: 0.95
[Training] Itteration/Batch: 1200/2175: Loss: 3.00 | Accuracy: 0.92
[Training] Itteration/Batch: 1225/2175: Loss: 2.79 | Accuracy: 0.95
[Training] Itteration/Batch: 1250/2175: Loss: 2.88 | Accuracy: 0.93
[Training] Itteration/Batch: 1275/2175: Loss: 1.19 | Accuracy: 1.00
[Training] Itteration/Batch: 1300/2175: Loss: 1.25 | Accuracy: 1.00
[Training] Itteration/Batch: 1325/2175: Loss: 2.92 | Accuracy: 0.90
[Training] Itteration/Batch: 1350/2175: Loss: 2.39 | Accuracy: 0.92
[Training] Itteration/Batch: 1375/2175: Loss: 1.26 | Accuracy: 1.00
[Training] Itteration/Batch: 1400/2175: Loss: 2.90 | Accuracy: 0.91
[Training] Itteration/Batch: 1425/2175: Loss: 1.97 | Accuracy: 0.96
[Training] Itteration/Batch: 1450/2175: Loss: 2.93 | Accuracy: 0.96
[Training] Itteration/Batch: 1475/2175: Loss: 1.18 | Accuracy: 1.00
[Training] Itteration/Batch: 1500/2175: Loss: 1.64 | Accuracy: 0.96
[Training] Itteration/Batch: 1525/2175: Loss: 2.15 | Accuracy: 0.95
[Training] Itteration/Batch: 1550/2175: Loss: 1.57 | Accuracy: 0.98
[Training] Itteration/Batch: 1575/2175: Loss: 1.09 | Accuracy: 1.00
[Training] Itteration/Batch: 1600/2175: Loss: 1.09 | Accuracy: 1.00
[Training] Itteration/Batch: 1625/2175: Loss: 2.26 | Accuracy: 0.91
[Training] Itteration/Batch: 1650/2175: Loss: 2.56 | Accuracy: 0.94
[Training] Itteration/Batch: 1675/2175: Loss: 1.02 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2175: Loss: 1.08 | Accuracy: 1.00
[Training] Itteration/Batch: 1725/2175: Loss: 1.59 | Accuracy: 0.94
[Training] Itteration/Batch: 1750/2175: Loss: 1.18 | Accuracy: 0.98
[Training] Itteration/Batch: 1775/2175: Loss: 1.91 | Accuracy: 0.97
[Training] Itteration/Batch: 1800/2175: Loss: 2.71 | Accuracy: 0.92
[Training] Itteration/Batch: 1825/2175: Loss: 2.28 | Accuracy: 0.97
[Training] Itteration/Batch: 1850/2175: Loss: 1.71 | Accuracy: 0.98
[Training] Itteration/Batch: 1875/2175: Loss: 2.64 | Accuracy: 0.95
[Training] Itteration/Batch: 1900/2175: Loss: 1.96 | Accuracy: 0.94
[Training] Itteration/Batch: 1925/2175: Loss: 2.10 | Accuracy: 0.96
[Training] Itteration/Batch: 1950/2175: Loss: 2.51 | Accuracy: 0.95
[Training] Itteration/Batch: 1975/2175: Loss: 2.28 | Accuracy: 0.94
[Training] Itteration/Batch: 2000/2175: Loss: 1.89 | Accuracy: 0.96
[Training] Itteration/Batch: 2025/2175: Loss: 0.98 | Accuracy: 1.00
[Training] Itteration/Batch: 2050/2175: Loss: 1.02 | Accuracy: 1.00
[Training] Itteration/Batch: 2075/2175: Loss: 1.85 | Accuracy: 0.97
[Training] Itteration/Batch: 2100/2175: Loss: 1.21 | Accuracy: 0.98
[Training] Itteration/Batch: 2125/2175: Loss: 2.11 | Accuracy: 0.94
[Training] Itteration/Batch: 2150/2175: Loss: 0.92 | Accuracy: 1.00

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 0.49311234530108894 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 0.4901042609887978 |             Val Accuracy Majority 0.9728237390518188 | Val Accuracy Individual 0.9611852169036865 | Training Loss:2.066518783569336 |             Val Loss 1.9037539958953857 | Train Runtime Millis 133797.97077200055 | Val Runtime Millis 31112.43012399791

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 1.71 | Accuracy: 0.94
[Training] Itteration/Batch:  25/2175: Loss: 2.24 | Accuracy: 0.96
[Training] Itteration/Batch:  50/2175: Loss: 1.04 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2175: Loss: 1.76 | Accuracy: 0.96
[Training] Itteration/Batch: 100/2175: Loss: 2.26 | Accuracy: 0.98
[Training] Itteration/Batch: 125/2175: Loss: 1.02 | Accuracy: 1.00
[Training] Itteration/Batch: 150/2175: Loss: 1.76 | Accuracy: 0.96
[Training] Itteration/Batch: 175/2175: Loss: 1.02 | Accuracy: 1.00
[Training] Itteration/Batch: 200/2175: Loss: 1.80 | Accuracy: 0.96
[Training] Itteration/Batch: 225/2175: Loss: 3.34 | Accuracy: 0.91
[Training] Itteration/Batch: 250/2175: Loss: 3.57 | Accuracy: 0.89
[Training] Itteration/Batch: 275/2175: Loss: 2.13 | Accuracy: 0.96
[Training] Itteration/Batch: 300/2175: Loss: 3.47 | Accuracy: 0.91
[Training] Itteration/Batch: 325/2175: Loss: 3.17 | Accuracy: 0.89
[Training] Itteration/Batch: 350/2175: Loss: 1.88 | Accuracy: 0.98
[Training] Itteration/Batch: 375/2175: Loss: 0.88 | Accuracy: 1.00
[Training] Itteration/Batch: 400/2175: Loss: 0.99 | Accuracy: 1.00
[Training] Itteration/Batch: 425/2175: Loss: 2.45 | Accuracy: 0.95
[Training] Itteration/Batch: 450/2175: Loss: 2.29 | Accuracy: 0.95
[Training] Itteration/Batch: 475/2175: Loss: 0.82 | Accuracy: 1.00
[Training] Itteration/Batch: 500/2175: Loss: 0.91 | Accuracy: 1.00
[Training] Itteration/Batch: 525/2175: Loss: 2.45 | Accuracy: 0.93
[Training] Itteration/Batch: 550/2175: Loss: 3.34 | Accuracy: 0.87
[Training] Itteration/Batch: 575/2175: Loss: 1.50 | Accuracy: 0.98
[Training] Itteration/Batch: 600/2175: Loss: 2.25 | Accuracy: 0.94
[Training] Itteration/Batch: 625/2175: Loss: 2.50 | Accuracy: 0.93
[Training] Itteration/Batch: 650/2175: Loss: 0.84 | Accuracy: 1.00
[Training] Itteration/Batch: 675/2175: Loss: 0.78 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2175: Loss: 1.30 | Accuracy: 0.98
[Training] Itteration/Batch: 725/2175: Loss: 1.42 | Accuracy: 0.98
[Training] Itteration/Batch: 750/2175: Loss: 1.67 | Accuracy: 0.96
[Training] Itteration/Batch: 775/2175: Loss: 1.08 | Accuracy: 0.98
[Training] Itteration/Batch: 800/2175: Loss: 0.84 | Accuracy: 1.00
[Training] Itteration/Batch: 825/2175: Loss: 3.07 | Accuracy: 0.91
[Training] Itteration/Batch: 850/2175: Loss: 2.84 | Accuracy: 0.93
[Training] Itteration/Batch: 875/2175: Loss: 2.00 | Accuracy: 0.93
[Training] Itteration/Batch: 900/2175: Loss: 1.35 | Accuracy: 0.98
[Training] Itteration/Batch: 925/2175: Loss: 1.45 | Accuracy: 0.98
[Training] Itteration/Batch: 950/2175: Loss: 2.26 | Accuracy: 0.95
[Training] Itteration/Batch: 975/2175: Loss: 0.87 | Accuracy: 1.00
[Training] Itteration/Batch: 1000/2175: Loss: 0.90 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/2175: Loss: 2.17 | Accuracy: 0.95
[Training] Itteration/Batch: 1050/2175: Loss: 1.43 | Accuracy: 0.98
[Training] Itteration/Batch: 1075/2175: Loss: 2.36 | Accuracy: 0.93
[Training] Itteration/Batch: 1100/2175: Loss: 2.99 | Accuracy: 0.91
[Training] Itteration/Batch: 1125/2175: Loss: 1.52 | Accuracy: 0.96
[Training] Itteration/Batch: 1150/2175: Loss: 0.89 | Accuracy: 1.00
[Training] Itteration/Batch: 1175/2175: Loss: 1.27 | Accuracy: 0.98
[Training] Itteration/Batch: 1200/2175: Loss: 0.85 | Accuracy: 1.00
[Training] Itteration/Batch: 1225/2175: Loss: 2.07 | Accuracy: 0.98
[Training] Itteration/Batch: 1250/2175: Loss: 0.74 | Accuracy: 1.00
[Training] Itteration/Batch: 1275/2175: Loss: 2.56 | Accuracy: 0.94
[Training] Itteration/Batch: 1300/2175: Loss: 1.10 | Accuracy: 0.98
[Training] Itteration/Batch: 1325/2175: Loss: 2.66 | Accuracy: 0.93
[Training] Itteration/Batch: 1350/2175: Loss: 1.77 | Accuracy: 0.96
[Training] Itteration/Batch: 1375/2175: Loss: 1.39 | Accuracy: 0.98
[Training] Itteration/Batch: 1400/2175: Loss: 2.84 | Accuracy: 0.89
[Training] Itteration/Batch: 1425/2175: Loss: 0.87 | Accuracy: 1.00
[Training] Itteration/Batch: 1450/2175: Loss: 2.45 | Accuracy: 0.93
[Training] Itteration/Batch: 1475/2175: Loss: 0.89 | Accuracy: 1.00
[Training] Itteration/Batch: 1500/2175: Loss: 1.42 | Accuracy: 0.96
[Training] Itteration/Batch: 1525/2175: Loss: 1.53 | Accuracy: 0.96
[Training] Itteration/Batch: 1550/2175: Loss: 1.35 | Accuracy: 0.96
[Training] Itteration/Batch: 1575/2175: Loss: 0.75 | Accuracy: 1.00
[Training] Itteration/Batch: 1600/2175: Loss: 1.28 | Accuracy: 0.98
[Training] Itteration/Batch: 1625/2175: Loss: 0.93 | Accuracy: 1.00
[Training] Itteration/Batch: 1650/2175: Loss: 1.00 | Accuracy: 0.98
[Training] Itteration/Batch: 1675/2175: Loss: 0.82 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2175: Loss: 0.73 | Accuracy: 1.00
[Training] Itteration/Batch: 1725/2175: Loss: 1.97 | Accuracy: 0.98
[Training] Itteration/Batch: 1750/2175: Loss: 1.44 | Accuracy: 0.96
[Training] Itteration/Batch: 1775/2175: Loss: 1.31 | Accuracy: 0.98
[Training] Itteration/Batch: 1800/2175: Loss: 1.25 | Accuracy: 0.98
[Training] Itteration/Batch: 1825/2175: Loss: 2.44 | Accuracy: 0.93
[Training] Itteration/Batch: 1850/2175: Loss: 2.19 | Accuracy: 0.92
[Training] Itteration/Batch: 1875/2175: Loss: 1.13 | Accuracy: 0.98
[Training] Itteration/Batch: 1900/2175: Loss: 3.96 | Accuracy: 0.91
[Training] Itteration/Batch: 1925/2175: Loss: 1.14 | Accuracy: 0.98
[Training] Itteration/Batch: 1950/2175: Loss: 2.01 | Accuracy: 0.92
[Training] Itteration/Batch: 1975/2175: Loss: 1.23 | Accuracy: 0.98
[Training] Itteration/Batch: 2000/2175: Loss: 3.99 | Accuracy: 0.92
[Training] Itteration/Batch: 2025/2175: Loss: 1.36 | Accuracy: 0.98
[Training] Itteration/Batch: 2050/2175: Loss: 1.52 | Accuracy: 0.95
[Training] Itteration/Batch: 2075/2175: Loss: 2.57 | Accuracy: 0.95
[Training] Itteration/Batch: 2100/2175: Loss: 3.47 | Accuracy: 0.88
[Training] Itteration/Batch: 2125/2175: Loss: 2.98 | Accuracy: 0.89
[Training] Itteration/Batch: 2150/2175: Loss: 2.84 | Accuracy: 0.89

Epoch 2: Val Bin. F1 Majority 0.08163265138864517 | Val Macro F1 Majority 0.5339202277522069 |             Val Bin F1 Individual 0.05298829451203346 | Val Macro F1 Individual 0.5165411594507449 |             Val Accuracy Majority 0.9728237390518188 | Val Accuracy Individual 0.9610076546669006 | Training Loss:1.8465662002563477 |             Val Loss 1.7955595254898071 | Train Runtime Millis 134646.78016900143 | Val Runtime Millis 31165.691031997994

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 1.41 | Accuracy: 0.96
[Training] Itteration/Batch:  25/2175: Loss: 1.55 | Accuracy: 0.98
[Training] Itteration/Batch:  50/2175: Loss: 0.73 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2175: Loss: 1.19 | Accuracy: 0.98
[Training] Itteration/Batch: 100/2175: Loss: 3.32 | Accuracy: 0.92
[Training] Itteration/Batch: 125/2175: Loss: 1.91 | Accuracy: 0.96
[Training] Itteration/Batch: 150/2175: Loss: 1.88 | Accuracy: 0.95
[Training] Itteration/Batch: 175/2175: Loss: 1.80 | Accuracy: 0.96
[Training] Itteration/Batch: 200/2175: Loss: 1.09 | Accuracy: 0.98
[Training] Itteration/Batch: 225/2175: Loss: 2.10 | Accuracy: 0.94
[Training] Itteration/Batch: 250/2175: Loss: 2.83 | Accuracy: 0.94
[Training] Itteration/Batch: 275/2175: Loss: 0.87 | Accuracy: 1.00
[Training] Itteration/Batch: 300/2175: Loss: 1.26 | Accuracy: 0.98
[Training] Itteration/Batch: 325/2175: Loss: 1.61 | Accuracy: 0.96
[Training] Itteration/Batch: 350/2175: Loss: 3.01 | Accuracy: 0.91
