______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/614: Loss: 0.71 | Accuracy: 0.94
[Training] Itteration/Batch:  25/614: Loss: 0.33 | Accuracy: 1.00
[Training] Itteration/Batch:  50/614: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch:  75/614: Loss: 0.65 | Accuracy: 0.94
[Training] Itteration/Batch: 100/614: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 125/614: Loss: 0.63 | Accuracy: 0.94
[Training] Itteration/Batch: 150/614: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 175/614: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 200/614: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 225/614: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 250/614: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 275/614: Loss: 0.72 | Accuracy: 0.94
[Training] Itteration/Batch: 300/614: Loss: 0.45 | Accuracy: 0.94
[Training] Itteration/Batch: 325/614: Loss: 0.59 | Accuracy: 0.94
[Training] Itteration/Batch: 350/614: Loss: 0.48 | Accuracy: 0.88
[Training] Itteration/Batch: 375/614: Loss: 0.24 | Accuracy: 0.94
[Training] Itteration/Batch: 400/614: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 425/614: Loss: 0.42 | Accuracy: 0.94
[Training] Itteration/Batch: 450/614: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 475/614: Loss: 0.26 | Accuracy: 0.94
[Training] Itteration/Batch: 500/614: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 525/614: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 550/614: Loss: 0.55 | Accuracy: 0.94
[Training] Itteration/Batch: 575/614: Loss: 0.84 | Accuracy: 0.94
[Training] Itteration/Batch: 600/614: Loss: 1.32 | Accuracy: 0.69

Epoch 1: Val Bin. F1 Majority 0.41909196972846985 | Val Macro F1 Majority 0.6962570356327381 |             Val Bin F1 Individual 0.3907531797885895 | Val Macro F1 Individual 0.6831104224307207 |             Val Accuracy Majority 0.9491698145866394 | Val Accuracy Individual 0.9528345465660095 | Training Loss:0.43717479705810547 |             Val Loss 0.38623911142349243 | Train Runtime Millis 40078.96947599875 | Val Runtime Millis 18125.31428299917

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/614: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch:  25/614: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch:  50/614: Loss: 0.34 | Accuracy: 1.00
[Training] Itteration/Batch:  75/614: Loss: 0.12 | Accuracy: 0.94
[Training] Itteration/Batch: 100/614: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 125/614: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 150/614: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 175/614: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 200/614: Loss: 0.22 | Accuracy: 0.88
[Training] Itteration/Batch: 225/614: Loss: 0.97 | Accuracy: 0.88
[Training] Itteration/Batch: 250/614: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 275/614: Loss: 0.64 | Accuracy: 0.94
[Training] Itteration/Batch: 300/614: Loss: 0.26 | Accuracy: 0.94
[Training] Itteration/Batch: 325/614: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 350/614: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 375/614: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 400/614: Loss: 0.27 | Accuracy: 0.88
[Training] Itteration/Batch: 425/614: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 450/614: Loss: 0.22 | Accuracy: 0.88
[Training] Itteration/Batch: 475/614: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 500/614: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 525/614: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 550/614: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 575/614: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 600/614: Loss: 0.35 | Accuracy: 0.94

Epoch 2: Val Bin. F1 Majority 0.43689319491386414 | Val Macro F1 Majority 0.7028585563601522 |             Val Bin F1 Individual 0.3926829397678375 | Val Macro F1 Individual 0.6812523833031325 |             Val Accuracy Majority 0.9409188032150269 | Val Accuracy Individual 0.9425008893013 | Training Loss:0.2955337464809418 |             Val Loss 0.3706217110157013 | Train Runtime Millis 40314.037411000754 | Val Runtime Millis 18157.083504000184

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/614: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch:  25/614: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch:  50/614: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch:  75/614: Loss: 0.31 | Accuracy: 0.94
[Training] Itteration/Batch: 100/614: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 125/614: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 150/614: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 175/614: Loss: 0.26 | Accuracy: 0.94
[Training] Itteration/Batch: 200/614: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 225/614: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 250/614: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 275/614: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 300/614: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 325/614: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 350/614: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 375/614: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 400/614: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 425/614: Loss: 1.36 | Accuracy: 0.94
[Training] Itteration/Batch: 450/614: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 475/614: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 500/614: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 525/614: Loss: 0.29 | Accuracy: 0.94
[Training] Itteration/Batch: 550/614: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 575/614: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 600/614: Loss: 0.11 | Accuracy: 0.94

Epoch 3: Val Bin. F1 Majority 0.39642858505249023 | Val Macro F1 Majority 0.6799578311393695 |             Val Bin F1 Individual 0.3561643958091736 | Val Macro F1 Individual 0.6601809760216579 |             Val Accuracy Majority 0.9311398863792419 | Val Accuracy Individual 0.9321671724319458 | Training Loss:0.19675974547863007 |             Val Loss 0.4690934419631958 | Train Runtime Millis 40454.22578199941 | Val Runtime Millis 18189.93917700209

______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/328: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch:  25/328: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch:  50/328: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch:  75/328: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 100/328: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 125/328: Loss: 1.32 | Accuracy: 0.94
[Training] Itteration/Batch: 150/328: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 175/328: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 200/328: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch: 225/328: Loss: 0.20 | Accuracy: 1.00
