______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1855: Loss: 0.82 | Accuracy: 0.48
[Training] Itteration/Batch:  25/1855: Loss: 1.08 | Accuracy: 0.68
[Training] Itteration/Batch:  50/1855: Loss: 0.95 | Accuracy: 0.97
[Training] Itteration/Batch:  75/1855: Loss: 1.44 | Accuracy: 0.87
[Training] Itteration/Batch: 100/1855: Loss: 1.36 | Accuracy: 0.96
[Training] Itteration/Batch: 125/1855: Loss: 1.47 | Accuracy: 0.92
[Training] Itteration/Batch: 150/1855: Loss: 2.01 | Accuracy: 0.86
[Training] Itteration/Batch: 175/1855: Loss: 1.15 | Accuracy: 0.97
[Training] Itteration/Batch: 200/1855: Loss: 1.51 | Accuracy: 0.94
[Training] Itteration/Batch: 225/1855: Loss: 1.50 | Accuracy: 0.96
[Training] Itteration/Batch: 250/1855: Loss: 1.14 | Accuracy: 0.97
[Training] Itteration/Batch: 275/1855: Loss: 1.61 | Accuracy: 0.93
[Training] Itteration/Batch: 300/1855: Loss: 0.73 | Accuracy: 1.00
[Training] Itteration/Batch: 325/1855: Loss: 0.62 | Accuracy: 1.00
[Training] Itteration/Batch: 350/1855: Loss: 1.08 | Accuracy: 0.96
[Training] Itteration/Batch: 375/1855: Loss: 1.02 | Accuracy: 0.97
[Training] Itteration/Batch: 400/1855: Loss: 0.69 | Accuracy: 1.00
[Training] Itteration/Batch: 425/1855: Loss: 0.84 | Accuracy: 1.00
[Training] Itteration/Batch: 450/1855: Loss: 0.90 | Accuracy: 0.96
[Training] Itteration/Batch: 475/1855: Loss: 0.58 | Accuracy: 1.00
[Training] Itteration/Batch: 500/1855: Loss: 0.82 | Accuracy: 1.00
[Training] Itteration/Batch: 525/1855: Loss: 0.67 | Accuracy: 1.00
[Training] Itteration/Batch: 550/1855: Loss: 0.67 | Accuracy: 1.00
[Training] Itteration/Batch: 575/1855: Loss: 0.63 | Accuracy: 1.00
[Training] Itteration/Batch: 600/1855: Loss: 1.58 | Accuracy: 0.90
[Training] Itteration/Batch: 625/1855: Loss: 0.61 | Accuracy: 1.00
[Training] Itteration/Batch: 650/1855: Loss: 1.27 | Accuracy: 0.93
[Training] Itteration/Batch: 675/1855: Loss: 1.29 | Accuracy: 0.92
[Training] Itteration/Batch: 700/1855: Loss: 0.86 | Accuracy: 0.96
[Training] Itteration/Batch: 725/1855: Loss: 2.39 | Accuracy: 0.90
[Training] Itteration/Batch: 750/1855: Loss: 0.73 | Accuracy: 0.95
[Training] Itteration/Batch: 775/1855: Loss: 0.83 | Accuracy: 0.96
[Training] Itteration/Batch: 800/1855: Loss: 0.60 | Accuracy: 1.00
[Training] Itteration/Batch: 825/1855: Loss: 0.59 | Accuracy: 1.00
[Training] Itteration/Batch: 850/1855: Loss: 0.58 | Accuracy: 1.00
[Training] Itteration/Batch: 875/1855: Loss: 0.98 | Accuracy: 0.97
[Training] Itteration/Batch: 900/1855: Loss: 0.62 | Accuracy: 1.00
[Training] Itteration/Batch: 925/1855: Loss: 0.62 | Accuracy: 1.00
[Training] Itteration/Batch: 950/1855: Loss: 0.80 | Accuracy: 0.96
[Training] Itteration/Batch: 975/1855: Loss: 0.84 | Accuracy: 0.96
[Training] Itteration/Batch: 1000/1855: Loss: 1.85 | Accuracy: 0.93
[Training] Itteration/Batch: 1025/1855: Loss: 1.11 | Accuracy: 0.97
[Training] Itteration/Batch: 1050/1855: Loss: 1.12 | Accuracy: 0.97
[Training] Itteration/Batch: 1075/1855: Loss: 1.08 | Accuracy: 0.97
[Training] Itteration/Batch: 1100/1855: Loss: 1.84 | Accuracy: 0.92
[Training] Itteration/Batch: 1125/1855: Loss: 1.17 | Accuracy: 0.97
[Training] Itteration/Batch: 1150/1855: Loss: 1.03 | Accuracy: 0.92
[Training] Itteration/Batch: 1175/1855: Loss: 1.15 | Accuracy: 0.93
[Training] Itteration/Batch: 1200/1855: Loss: 0.88 | Accuracy: 0.97
[Training] Itteration/Batch: 1225/1855: Loss: 0.52 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/1855: Loss: 1.47 | Accuracy: 0.93
[Training] Itteration/Batch: 1275/1855: Loss: 2.20 | Accuracy: 0.90
[Training] Itteration/Batch: 1300/1855: Loss: 0.96 | Accuracy: 0.96
[Training] Itteration/Batch: 1325/1855: Loss: 1.00 | Accuracy: 0.96
[Training] Itteration/Batch: 1350/1855: Loss: 1.55 | Accuracy: 0.94
