______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1855: Loss: 1.12 | Accuracy: 0.44
[Training] Itteration/Batch:  25/1855: Loss: 0.91 | Accuracy: 0.64
[Training] Itteration/Batch:  50/1855: Loss: 0.95 | Accuracy: 0.90
[Training] Itteration/Batch:  75/1855: Loss: 0.94 | Accuracy: 0.90
[Training] Itteration/Batch: 100/1855: Loss: 0.81 | Accuracy: 1.00
[Training] Itteration/Batch: 125/1855: Loss: 0.79 | Accuracy: 1.00
[Training] Itteration/Batch: 150/1855: Loss: 0.86 | Accuracy: 1.00
[Training] Itteration/Batch: 175/1855: Loss: 0.95 | Accuracy: 0.97
[Training] Itteration/Batch: 200/1855: Loss: 1.67 | Accuracy: 0.94
[Training] Itteration/Batch: 225/1855: Loss: 1.10 | Accuracy: 0.96
[Training] Itteration/Batch: 250/1855: Loss: 2.28 | Accuracy: 0.94
[Training] Itteration/Batch: 275/1855: Loss: 1.61 | Accuracy: 0.93
[Training] Itteration/Batch: 300/1855: Loss: 0.73 | Accuracy: 1.00
[Training] Itteration/Batch: 325/1855: Loss: 0.64 | Accuracy: 1.00
[Training] Itteration/Batch: 350/1855: Loss: 0.63 | Accuracy: 1.00
[Training] Itteration/Batch: 375/1855: Loss: 0.78 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1855: Loss: 2.53 | Accuracy: 0.85
[Training] Itteration/Batch: 425/1855: Loss: 1.80 | Accuracy: 0.91
[Training] Itteration/Batch: 450/1855: Loss: 0.68 | Accuracy: 1.00
[Training] Itteration/Batch: 475/1855: Loss: 1.53 | Accuracy: 0.87
[Training] Itteration/Batch: 500/1855: Loss: 3.21 | Accuracy: 0.94
[Training] Itteration/Batch: 525/1855: Loss: 1.09 | Accuracy: 0.96
[Training] Itteration/Batch: 550/1855: Loss: 0.68 | Accuracy: 1.00
[Training] Itteration/Batch: 575/1855: Loss: 1.42 | Accuracy: 0.96
[Training] Itteration/Batch: 600/1855: Loss: 0.69 | Accuracy: 1.00
[Training] Itteration/Batch: 625/1855: Loss: 0.62 | Accuracy: 1.00
[Training] Itteration/Batch: 650/1855: Loss: 0.68 | Accuracy: 1.00
[Training] Itteration/Batch: 675/1855: Loss: 0.60 | Accuracy: 1.00
[Training] Itteration/Batch: 700/1855: Loss: 0.88 | Accuracy: 0.96
[Training] Itteration/Batch: 725/1855: Loss: 0.70 | Accuracy: 1.00
[Training] Itteration/Batch: 750/1855: Loss: 0.49 | Accuracy: 1.00
[Training] Itteration/Batch: 775/1855: Loss: 0.88 | Accuracy: 0.96
[Training] Itteration/Batch: 800/1855: Loss: 0.96 | Accuracy: 0.96
[Training] Itteration/Batch: 825/1855: Loss: 1.00 | Accuracy: 0.96
[Training] Itteration/Batch: 850/1855: Loss: 1.24 | Accuracy: 0.96
[Training] Itteration/Batch: 875/1855: Loss: 0.71 | Accuracy: 1.00
[Training] Itteration/Batch: 900/1855: Loss: 0.63 | Accuracy: 1.00
[Training] Itteration/Batch: 925/1855: Loss: 0.62 | Accuracy: 1.00
[Training] Itteration/Batch: 950/1855: Loss: 1.90 | Accuracy: 0.85
[Training] Itteration/Batch: 975/1855: Loss: 1.78 | Accuracy: 0.96
[Training] Itteration/Batch: 1000/1855: Loss: 0.57 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/1855: Loss: 1.01 | Accuracy: 0.97
[Training] Itteration/Batch: 1050/1855: Loss: 0.90 | Accuracy: 0.97
[Training] Itteration/Batch: 1075/1855: Loss: 0.62 | Accuracy: 1.00
[Training] Itteration/Batch: 1100/1855: Loss: 0.49 | Accuracy: 1.00
[Training] Itteration/Batch: 1125/1855: Loss: 0.65 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/1855: Loss: 0.51 | Accuracy: 1.00
[Training] Itteration/Batch: 1175/1855: Loss: 2.42 | Accuracy: 0.93
[Training] Itteration/Batch: 1200/1855: Loss: 1.32 | Accuracy: 0.94
