______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/463: Loss: 0.95 | Accuracy: 0.36
[Training] Itteration/Batch:  25/463: Loss: 1.13 | Accuracy: 0.70
[Training] Itteration/Batch:  50/463: Loss: 1.40 | Accuracy: 0.73
[Training] Itteration/Batch:  75/463: Loss: 1.04 | Accuracy: 0.83
[Training] Itteration/Batch: 100/463: Loss: 0.74 | Accuracy: 0.89
[Training] Itteration/Batch: 125/463: Loss: 2.89 | Accuracy: 0.87
[Training] Itteration/Batch: 150/463: Loss: 0.77 | Accuracy: 0.93
[Training] Itteration/Batch: 175/463: Loss: 0.65 | Accuracy: 0.96
[Training] Itteration/Batch: 200/463: Loss: 0.74 | Accuracy: 1.00
[Training] Itteration/Batch: 225/463: Loss: 0.52 | Accuracy: 0.95
[Training] Itteration/Batch: 250/463: Loss: 1.33 | Accuracy: 0.93
[Training] Itteration/Batch: 275/463: Loss: 1.02 | Accuracy: 0.97
[Training] Itteration/Batch: 300/463: Loss: 0.92 | Accuracy: 0.96
[Training] Itteration/Batch: 325/463: Loss: 1.86 | Accuracy: 0.89
[Training] Itteration/Batch: 350/463: Loss: 1.63 | Accuracy: 0.92
[Training] Itteration/Batch: 375/463: Loss: 0.54 | Accuracy: 1.00
[Training] Itteration/Batch: 400/463: Loss: 0.59 | Accuracy: 1.00
[Training] Itteration/Batch: 425/463: Loss: 0.48 | Accuracy: 1.00
[Training] Itteration/Batch: 450/463: Loss: 0.61 | Accuracy: 1.00

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 0.492566590956019 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 0.4936649870387091 |             Val Accuracy Majority 0.9707019329071045 | Val Accuracy Individual 0.9749770164489746 | Training Loss:1.043658971786499 |             Val Loss 0.943610668182373 | Train Runtime Millis 31198.686404997716 | Val Runtime Millis 19517.369416018482

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/463: Loss: 0.53 | Accuracy: 1.00
[Training] Itteration/Batch:  25/463: Loss: 1.17 | Accuracy: 0.91
[Training] Itteration/Batch:  50/463: Loss: 1.62 | Accuracy: 0.96
[Training] Itteration/Batch:  75/463: Loss: 0.42 | Accuracy: 1.00
[Training] Itteration/Batch: 100/463: Loss: 1.16 | Accuracy: 0.93
[Training] Itteration/Batch: 125/463: Loss: 1.56 | Accuracy: 0.93
[Training] Itteration/Batch: 150/463: Loss: 1.14 | Accuracy: 0.96
[Training] Itteration/Batch: 175/463: Loss: 0.60 | Accuracy: 1.00
[Training] Itteration/Batch: 200/463: Loss: 0.43 | Accuracy: 1.00
[Training] Itteration/Batch: 225/463: Loss: 1.26 | Accuracy: 0.92
[Training] Itteration/Batch: 250/463: Loss: 1.22 | Accuracy: 0.93
[Training] Itteration/Batch: 275/463: Loss: 0.46 | Accuracy: 1.00
[Training] Itteration/Batch: 300/463: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch: 325/463: Loss: 0.56 | Accuracy: 1.00
[Training] Itteration/Batch: 350/463: Loss: 0.55 | Accuracy: 1.00
[Training] Itteration/Batch: 375/463: Loss: 0.87 | Accuracy: 0.97
[Training] Itteration/Batch: 400/463: Loss: 0.73 | Accuracy: 0.96
[Training] Itteration/Batch: 425/463: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 450/463: Loss: 1.31 | Accuracy: 0.94

Epoch 2: Val Bin. F1 Majority 0.013745704665780067 | Val Macro F1 Majority 0.4994641062994522 |             Val Bin F1 Individual 0.13487476110458374 | Val Macro F1 Individual 0.5608824436655703 |             Val Accuracy Majority 0.9708036780357361 | Val Accuracy Individual 0.9741716384887695 | Training Loss:0.8842403292655945 |             Val Loss 0.7976840138435364 | Train Runtime Millis 31321.228008979233 | Val Runtime Millis 19534.874335018685

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/463: Loss: 1.60 | Accuracy: 0.96
[Training] Itteration/Batch:  25/463: Loss: 0.96 | Accuracy: 0.96
[Training] Itteration/Batch:  50/463: Loss: 0.83 | Accuracy: 0.96
[Training] Itteration/Batch:  75/463: Loss: 0.94 | Accuracy: 0.97
[Training] Itteration/Batch: 100/463: Loss: 0.63 | Accuracy: 0.96
