______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2175: Loss: 2.12 | Accuracy: 0.52
[Training] Itteration/Batch:  25/2175: Loss: 2.33 | Accuracy: 0.52
[Training] Itteration/Batch:  50/2175: Loss: 3.11 | Accuracy: 0.75
[Training] Itteration/Batch:  75/2175: Loss: 1.84 | Accuracy: 0.75
[Training] Itteration/Batch: 100/2175: Loss: 2.70 | Accuracy: 0.72
[Training] Itteration/Batch: 125/2175: Loss: 2.49 | Accuracy: 0.86
[Training] Itteration/Batch: 150/2175: Loss: 1.86 | Accuracy: 0.83
[Training] Itteration/Batch: 175/2175: Loss: 2.38 | Accuracy: 0.92
[Training] Itteration/Batch: 200/2175: Loss: 2.63 | Accuracy: 0.88
[Training] Itteration/Batch: 225/2175: Loss: 1.76 | Accuracy: 0.93
[Training] Itteration/Batch: 250/2175: Loss: 2.47 | Accuracy: 0.92
[Training] Itteration/Batch: 275/2175: Loss: 3.35 | Accuracy: 0.89
[Training] Itteration/Batch: 300/2175: Loss: 1.58 | Accuracy: 0.98
[Training] Itteration/Batch: 325/2175: Loss: 2.24 | Accuracy: 0.93
[Training] Itteration/Batch: 350/2175: Loss: 1.84 | Accuracy: 0.96
[Training] Itteration/Batch: 375/2175: Loss: 1.89 | Accuracy: 0.98
[Training] Itteration/Batch: 400/2175: Loss: 1.59 | Accuracy: 0.98
[Training] Itteration/Batch: 425/2175: Loss: 1.43 | Accuracy: 1.00
[Training] Itteration/Batch: 450/2175: Loss: 3.56 | Accuracy: 0.88
[Training] Itteration/Batch: 475/2175: Loss: 5.29 | Accuracy: 0.89
[Training] Itteration/Batch: 500/2175: Loss: 2.01 | Accuracy: 0.98
[Training] Itteration/Batch: 525/2175: Loss: 1.84 | Accuracy: 0.98
[Training] Itteration/Batch: 550/2175: Loss: 1.80 | Accuracy: 0.98
[Training] Itteration/Batch: 575/2175: Loss: 1.80 | Accuracy: 0.98
[Training] Itteration/Batch: 600/2175: Loss: 2.73 | Accuracy: 0.93
[Training] Itteration/Batch: 625/2175: Loss: 1.82 | Accuracy: 0.97
[Training] Itteration/Batch: 650/2175: Loss: 4.58 | Accuracy: 0.88
[Training] Itteration/Batch: 675/2175: Loss: 1.37 | Accuracy: 0.98
[Training] Itteration/Batch: 700/2175: Loss: 1.35 | Accuracy: 1.00
[Training] Itteration/Batch: 725/2175: Loss: 1.50 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2175: Loss: 1.36 | Accuracy: 0.98
[Training] Itteration/Batch: 775/2175: Loss: 1.44 | Accuracy: 1.00
[Training] Itteration/Batch: 800/2175: Loss: 3.12 | Accuracy: 0.94
[Training] Itteration/Batch: 825/2175: Loss: 1.33 | Accuracy: 0.98
[Training] Itteration/Batch: 850/2175: Loss: 1.77 | Accuracy: 0.96
[Training] Itteration/Batch: 875/2175: Loss: 2.09 | Accuracy: 0.98
[Training] Itteration/Batch: 900/2175: Loss: 3.72 | Accuracy: 0.91
[Training] Itteration/Batch: 925/2175: Loss: 2.64 | Accuracy: 0.94
