______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/486: Loss: 1.30 | Accuracy: 0.12
[Training] Itteration/Batch:  25/486: Loss: 0.57 | Accuracy: 0.31
[Training] Itteration/Batch:  50/486: Loss: 0.34 | Accuracy: 1.00
[Training] Itteration/Batch:  75/486: Loss: 0.33 | Accuracy: 1.00
[Training] Itteration/Batch: 100/486: Loss: 0.87 | Accuracy: 0.94
[Training] Itteration/Batch: 125/486: Loss: 0.81 | Accuracy: 0.94
[Training] Itteration/Batch: 150/486: Loss: 0.92 | Accuracy: 0.94
[Training] Itteration/Batch: 175/486: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 200/486: Loss: 1.04 | Accuracy: 0.94
[Training] Itteration/Batch: 225/486: Loss: 1.02 | Accuracy: 0.94
[Training] Itteration/Batch: 250/486: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 275/486: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 300/486: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 325/486: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 350/486: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 375/486: Loss: 1.27 | Accuracy: 0.81
[Training] Itteration/Batch: 400/486: Loss: 0.49 | Accuracy: 0.94
[Training] Itteration/Batch: 425/486: Loss: 1.15 | Accuracy: 0.94
[Training] Itteration/Batch: 450/486: Loss: 0.62 | Accuracy: 0.94
[Training] Itteration/Batch: 475/486: Loss: 0.15 | Accuracy: 1.00

Epoch 1: Val Bin. F1 Majority 0.32464930415153503 | Val Macro F1 Majority 0.6548961786377498 |             Val Bin F1 Individual 0.2561257481575012 | Val Macro F1 Individual 0.61757026415577 |             Val Accuracy Majority 0.9709256887435913 | Val Accuracy Individual 0.9591810703277588 | Training Loss:0.46736618876457214 |             Val Loss 0.37768810987472534 | Train Runtime Millis 36019.032562035136 | Val Runtime Millis 24041.887882049195

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/486: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch:  25/486: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch:  50/486: Loss: 0.53 | Accuracy: 0.94
[Training] Itteration/Batch:  75/486: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 100/486: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 125/486: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 150/486: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 175/486: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 200/486: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 225/486: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 250/486: Loss: 0.36 | Accuracy: 0.94
[Training] Itteration/Batch: 275/486: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 300/486: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 325/486: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 350/486: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 375/486: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 400/486: Loss: 0.36 | Accuracy: 0.94
[Training] Itteration/Batch: 425/486: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 450/486: Loss: 0.28 | Accuracy: 0.88
[Training] Itteration/Batch: 475/486: Loss: 0.15 | Accuracy: 1.00

Epoch 2: Val Bin. F1 Majority 0.3677363395690918 | Val Macro F1 Majority 0.6673217992981498 |             Val Bin F1 Individual 0.3450305759906769 | Val Macro F1 Individual 0.6530780413758597 |             Val Accuracy Majority 0.9371063709259033 | Val Accuracy Individual 0.9266071319580078 | Training Loss:0.2637507915496826 |             Val Loss 0.28676265478134155 | Train Runtime Millis 36457.441753009334 | Val Runtime Millis 24101.021278998815

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/486: Loss: 0.40 | Accuracy: 0.94
[Training] Itteration/Batch:  25/486: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch:  50/486: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch:  75/486: Loss: 0.26 | Accuracy: 0.94
[Training] Itteration/Batch: 100/486: Loss: 2.17 | Accuracy: 0.94
[Training] Itteration/Batch: 125/486: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 150/486: Loss: 0.15 | Accuracy: 0.88
[Training] Itteration/Batch: 175/486: Loss: 0.14 | Accuracy: 0.88
[Training] Itteration/Batch: 200/486: Loss: 0.45 | Accuracy: 0.81
[Training] Itteration/Batch: 225/486: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 250/486: Loss: 0.27 | Accuracy: 0.94
[Training] Itteration/Batch: 275/486: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 300/486: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 325/486: Loss: 0.12 | Accuracy: 0.94
[Training] Itteration/Batch: 350/486: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 375/486: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 400/486: Loss: 0.04 | Accuracy: 1.00
