______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/486: Loss: 2.61 | Accuracy: 0.46
[Training] Itteration/Batch:  25/486: Loss: 3.92 | Accuracy: 0.46
[Training] Itteration/Batch:  50/486: Loss: 1.95 | Accuracy: 0.54
[Training] Itteration/Batch:  75/486: Loss: 1.92 | Accuracy: 0.49
[Training] Itteration/Batch: 100/486: Loss: 2.28 | Accuracy: 0.56
[Training] Itteration/Batch: 125/486: Loss: 1.64 | Accuracy: 0.66
[Training] Itteration/Batch: 150/486: Loss: 2.65 | Accuracy: 0.65
[Training] Itteration/Batch: 175/486: Loss: 1.78 | Accuracy: 0.85
[Training] Itteration/Batch: 200/486: Loss: 4.67 | Accuracy: 0.82
[Training] Itteration/Batch: 225/486: Loss: 4.98 | Accuracy: 0.76
[Training] Itteration/Batch: 250/486: Loss: 1.72 | Accuracy: 0.88
[Training] Itteration/Batch: 275/486: Loss: 2.54 | Accuracy: 0.85
[Training] Itteration/Batch: 300/486: Loss: 3.49 | Accuracy: 0.78
[Training] Itteration/Batch: 325/486: Loss: 3.47 | Accuracy: 0.90
[Training] Itteration/Batch: 350/486: Loss: 2.01 | Accuracy: 0.90
[Training] Itteration/Batch: 375/486: Loss: 1.83 | Accuracy: 0.95
[Training] Itteration/Batch: 400/486: Loss: 2.97 | Accuracy: 0.91
[Training] Itteration/Batch: 425/486: Loss: 3.49 | Accuracy: 0.90
[Training] Itteration/Batch: 450/486: Loss: 1.53 | Accuracy: 1.00
[Training] Itteration/Batch: 475/486: Loss: 1.33 | Accuracy: 1.00

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 0.49311234530108894 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 0.4900580861330677 |             Val Accuracy Majority 0.9728237390518188 | Val Accuracy Individual 0.9610076546669006 | Training Loss:2.36196231842041 |             Val Loss 2.070439100265503 | Train Runtime Millis 59834.61396500934 | Val Runtime Millis 44226.98280902114

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/486: Loss: 4.05 | Accuracy: 0.91
[Training] Itteration/Batch:  25/486: Loss: 1.71 | Accuracy: 0.98
[Training] Itteration/Batch:  50/486: Loss: 1.95 | Accuracy: 0.98
[Training] Itteration/Batch:  75/486: Loss: 1.68 | Accuracy: 0.97
[Training] Itteration/Batch: 100/486: Loss: 2.06 | Accuracy: 0.97
[Training] Itteration/Batch: 125/486: Loss: 1.16 | Accuracy: 1.00
[Training] Itteration/Batch: 150/486: Loss: 2.59 | Accuracy: 0.93
[Training] Itteration/Batch: 175/486: Loss: 2.61 | Accuracy: 0.95
[Training] Itteration/Batch: 200/486: Loss: 2.21 | Accuracy: 0.93
[Training] Itteration/Batch: 225/486: Loss: 1.21 | Accuracy: 1.00
[Training] Itteration/Batch: 250/486: Loss: 2.02 | Accuracy: 0.93
[Training] Itteration/Batch: 275/486: Loss: 1.94 | Accuracy: 0.95
[Training] Itteration/Batch: 300/486: Loss: 2.06 | Accuracy: 0.95
[Training] Itteration/Batch: 325/486: Loss: 3.35 | Accuracy: 0.92
[Training] Itteration/Batch: 350/486: Loss: 1.94 | Accuracy: 0.97
[Training] Itteration/Batch: 375/486: Loss: 1.88 | Accuracy: 0.97
[Training] Itteration/Batch: 400/486: Loss: 3.92 | Accuracy: 0.85
[Training] Itteration/Batch: 425/486: Loss: 1.27 | Accuracy: 0.98
[Training] Itteration/Batch: 450/486: Loss: 1.37 | Accuracy: 0.96
[Training] Itteration/Batch: 475/486: Loss: 0.96 | Accuracy: 1.00

Epoch 2: Val Bin. F1 Majority 0.006329114083200693 | Val Macro F1 Majority 0.4962984675716641 |             Val Bin F1 Individual 0.010362694039940834 | Val Macro F1 Individual 0.49529675366063525 |             Val Accuracy Majority 0.9729099869728088 | Val Accuracy Individual 0.9612360000610352 | Training Loss:2.0572330951690674 |             Val Loss 1.8923777341842651 | Train Runtime Millis 60654.48310307693 | Val Runtime Millis 44405.58516292367

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/486: Loss: 2.17 | Accuracy: 0.91
[Training] Itteration/Batch:  25/486: Loss: 1.09 | Accuracy: 1.00
[Training] Itteration/Batch:  50/486: Loss: 2.80 | Accuracy: 0.93
[Training] Itteration/Batch:  75/486: Loss: 1.00 | Accuracy: 1.00
[Training] Itteration/Batch: 100/486: Loss: 1.45 | Accuracy: 0.98
[Training] Itteration/Batch: 125/486: Loss: 1.50 | Accuracy: 0.98
[Training] Itteration/Batch: 150/486: Loss: 1.68 | Accuracy: 0.97
[Training] Itteration/Batch: 175/486: Loss: 1.61 | Accuracy: 0.94
[Training] Itteration/Batch: 200/486: Loss: 3.81 | Accuracy: 0.84
[Training] Itteration/Batch: 225/486: Loss: 1.12 | Accuracy: 0.98
[Training] Itteration/Batch: 250/486: Loss: 1.19 | Accuracy: 0.98
[Training] Itteration/Batch: 275/486: Loss: 2.01 | Accuracy: 0.94
[Training] Itteration/Batch: 300/486: Loss: 1.30 | Accuracy: 0.93
[Training] Itteration/Batch: 325/486: Loss: 2.34 | Accuracy: 0.96
[Training] Itteration/Batch: 350/486: Loss: 1.17 | Accuracy: 0.98
[Training] Itteration/Batch: 375/486: Loss: 2.66 | Accuracy: 0.93
[Training] Itteration/Batch: 400/486: Loss: 1.31 | Accuracy: 0.95
[Training] Itteration/Batch: 425/486: Loss: 2.82 | Accuracy: 0.87
[Training] Itteration/Batch: 450/486: Loss: 1.00 | Accuracy: 1.00
[Training] Itteration/Batch: 475/486: Loss: 1.72 | Accuracy: 0.93

Epoch 3: Val Bin. F1 Majority 0.35978835821151733 | Val Macro F1 Majority 0.6662907261908926 |             Val Bin F1 Individual 0.330951064825058 | Val Macro F1 Individual 0.6492915949465338 |             Val Accuracy Majority 0.94780433177948 | Val Accuracy Individual 0.9382515549659729 | Training Loss:1.8249573707580566 |             Val Loss 1.6355385780334473 | Train Runtime Millis 59839.28906300571 | Val Runtime Millis 44247.35776602756

______________________________	 Running Epoch 4 of 10 	______________________________
[Training] Itteration/Batch:   0/486: Loss: 1.20 | Accuracy: 0.98
[Training] Itteration/Batch:  25/486: Loss: 1.71 | Accuracy: 0.90
[Training] Itteration/Batch:  50/486: Loss: 3.15 | Accuracy: 0.93
[Training] Itteration/Batch:  75/486: Loss: 2.46 | Accuracy: 0.78
[Training] Itteration/Batch: 100/486: Loss: 1.81 | Accuracy: 0.95
[Training] Itteration/Batch: 125/486: Loss: 1.93 | Accuracy: 0.93
[Training] Itteration/Batch: 150/486: Loss: 1.86 | Accuracy: 0.91
[Training] Itteration/Batch: 175/486: Loss: 1.12 | Accuracy: 0.96
[Training] Itteration/Batch: 200/486: Loss: 0.85 | Accuracy: 0.98
[Training] Itteration/Batch: 225/486: Loss: 1.42 | Accuracy: 0.98
[Training] Itteration/Batch: 250/486: Loss: 1.40 | Accuracy: 0.88
[Training] Itteration/Batch: 275/486: Loss: 2.18 | Accuracy: 0.93
[Training] Itteration/Batch: 300/486: Loss: 1.13 | Accuracy: 0.98
