______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/736: Loss: 2.38 | Accuracy: 0.48
[Training] Itteration/Batch:  25/736: Loss: 2.25 | Accuracy: 0.53
[Training] Itteration/Batch:  50/736: Loss: 1.84 | Accuracy: 0.50
[Training] Itteration/Batch:  75/736: Loss: 2.49 | Accuracy: 0.47
[Training] Itteration/Batch: 100/736: Loss: 2.77 | Accuracy: 0.62
[Training] Itteration/Batch: 125/736: Loss: 1.96 | Accuracy: 0.77
[Training] Itteration/Batch: 150/736: Loss: 2.09 | Accuracy: 0.72
[Training] Itteration/Batch: 175/736: Loss: 2.58 | Accuracy: 0.73
[Training] Itteration/Batch: 200/736: Loss: 1.48 | Accuracy: 0.88
[Training] Itteration/Batch: 225/736: Loss: 4.98 | Accuracy: 0.84
[Training] Itteration/Batch: 250/736: Loss: 2.06 | Accuracy: 0.92
[Training] Itteration/Batch: 275/736: Loss: 1.51 | Accuracy: 0.96
[Training] Itteration/Batch: 300/736: Loss: 1.49 | Accuracy: 0.96
[Training] Itteration/Batch: 325/736: Loss: 1.86 | Accuracy: 0.95
[Training] Itteration/Batch: 350/736: Loss: 1.64 | Accuracy: 0.97
[Training] Itteration/Batch: 375/736: Loss: 1.70 | Accuracy: 0.95
[Training] Itteration/Batch: 400/736: Loss: 2.04 | Accuracy: 0.93
[Training] Itteration/Batch: 425/736: Loss: 1.37 | Accuracy: 0.98
[Training] Itteration/Batch: 450/736: Loss: 1.94 | Accuracy: 0.98
[Training] Itteration/Batch: 475/736: Loss: 1.79 | Accuracy: 0.98
[Training] Itteration/Batch: 500/736: Loss: 1.76 | Accuracy: 0.97
[Training] Itteration/Batch: 525/736: Loss: 1.53 | Accuracy: 0.98
[Training] Itteration/Batch: 550/736: Loss: 1.48 | Accuracy: 0.98
[Training] Itteration/Batch: 575/736: Loss: 2.07 | Accuracy: 0.98
[Training] Itteration/Batch: 600/736: Loss: 2.55 | Accuracy: 0.94
[Training] Itteration/Batch: 625/736: Loss: 4.82 | Accuracy: 0.93
[Training] Itteration/Batch: 650/736: Loss: 2.77 | Accuracy: 0.95
[Training] Itteration/Batch: 675/736: Loss: 1.37 | Accuracy: 0.98
[Training] Itteration/Batch: 700/736: Loss: 1.38 | Accuracy: 0.98
[Training] Itteration/Batch: 725/736: Loss: 1.42 | Accuracy: 0.98

