______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/724: Loss: 0.78 | Accuracy: 0.00
[Training] Itteration/Batch:  25/724: Loss: 0.46 | Accuracy: 0.69
[Training] Itteration/Batch:  50/724: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch:  75/724: Loss: 2.49 | Accuracy: 0.94
[Training] Itteration/Batch: 100/724: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 125/724: Loss: 1.95 | Accuracy: 0.94
[Training] Itteration/Batch: 150/724: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 175/724: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 200/724: Loss: 1.89 | Accuracy: 0.94
[Training] Itteration/Batch: 225/724: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 250/724: Loss: 2.16 | Accuracy: 0.94
[Training] Itteration/Batch: 275/724: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 300/724: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 325/724: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 350/724: Loss: 2.35 | Accuracy: 0.94
[Training] Itteration/Batch: 375/724: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 400/724: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 425/724: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 450/724: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 475/724: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 500/724: Loss: 0.30 | Accuracy: 0.94
[Training] Itteration/Batch: 525/724: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 550/724: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 575/724: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 600/724: Loss: 0.39 | Accuracy: 0.88
[Training] Itteration/Batch: 625/724: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 650/724: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 675/724: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 700/724: Loss: 0.14 | Accuracy: 1.00

Epoch 1: Val Bin. F1 Majority 0.35185185074806213 | Val Macro F1 Majority 0.6728779419496131 |             Val Bin F1 Individual 0.275189608335495 | Val Macro F1 Individual 0.633289503215514 |             Val Accuracy Majority 0.9879216551780701 | Val Accuracy Individual 0.9829810261726379 | Training Loss:0.4309549033641815 |             Val Loss 0.27738383412361145 | Train Runtime Millis 48151.805731933564 | Val Runtime Millis 22753.53169394657

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/724: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch:  25/724: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch:  50/724: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch:  75/724: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 100/724: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 125/724: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 150/724: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 175/724: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 200/724: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 225/724: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 250/724: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 275/724: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 300/724: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 325/724: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 350/724: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 375/724: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 400/724: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 425/724: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 450/724: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 475/724: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 500/724: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 525/724: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 550/724: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 575/724: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 600/724: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 625/724: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 650/724: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 675/724: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 700/724: Loss: 0.06 | Accuracy: 1.00

