______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/488: Loss: 2.15 | Accuracy: 0.37
[Training] Itteration/Batch:  25/488: Loss: 2.89 | Accuracy: 0.54
[Training] Itteration/Batch:  50/488: Loss: 1.76 | Accuracy: 0.56
[Training] Itteration/Batch:  75/488: Loss: 7.98 | Accuracy: 0.60
[Training] Itteration/Batch: 100/488: Loss: 3.94 | Accuracy: 0.60
[Training] Itteration/Batch: 125/488: Loss: 2.20 | Accuracy: 0.76
[Training] Itteration/Batch: 150/488: Loss: 1.81 | Accuracy: 0.72
[Training] Itteration/Batch: 175/488: Loss: 1.92 | Accuracy: 0.88
[Training] Itteration/Batch: 200/488: Loss: 5.40 | Accuracy: 0.81
[Training] Itteration/Batch: 225/488: Loss: 1.59 | Accuracy: 0.82
[Training] Itteration/Batch: 250/488: Loss: 1.66 | Accuracy: 0.88
[Training] Itteration/Batch: 275/488: Loss: 1.40 | Accuracy: 0.90
[Training] Itteration/Batch: 300/488: Loss: 1.88 | Accuracy: 0.95
[Training] Itteration/Batch: 325/488: Loss: 1.36 | Accuracy: 0.92
[Training] Itteration/Batch: 350/488: Loss: 1.48 | Accuracy: 0.97
[Training] Itteration/Batch: 375/488: Loss: 1.51 | Accuracy: 1.00
[Training] Itteration/Batch: 400/488: Loss: 1.44 | Accuracy: 1.00
[Training] Itteration/Batch: 425/488: Loss: 1.95 | Accuracy: 0.98
[Training] Itteration/Batch: 450/488: Loss: 1.34 | Accuracy: 1.00
[Training] Itteration/Batch: 475/488: Loss: 2.81 | Accuracy: 0.97

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 0.4971366594360087 |             Val Bin F1 Individual 0.017676766961812973 | Val Macro F1 Individual 0.5038400542313116 |             Val Accuracy Majority 0.9886118769645691 | Val Accuracy Individual 0.9802080988883972 | Training Loss:2.3058876991271973 |             Val Loss 2.0806078910827637 | Train Runtime Millis 52626.884864177555 | Val Runtime Millis 43070.86709467694

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/488: Loss: 3.36 | Accuracy: 0.97
[Training] Itteration/Batch:  25/488: Loss: 2.47 | Accuracy: 0.96
[Training] Itteration/Batch:  50/488: Loss: 1.35 | Accuracy: 1.00
[Training] Itteration/Batch:  75/488: Loss: 2.90 | Accuracy: 0.94
[Training] Itteration/Batch: 100/488: Loss: 1.42 | Accuracy: 0.98
[Training] Itteration/Batch: 125/488: Loss: 2.19 | Accuracy: 0.98
[Training] Itteration/Batch: 150/488: Loss: 2.72 | Accuracy: 0.97
[Training] Itteration/Batch: 175/488: Loss: 1.15 | Accuracy: 1.00
[Training] Itteration/Batch: 200/488: Loss: 1.30 | Accuracy: 1.00
[Training] Itteration/Batch: 225/488: Loss: 1.32 | Accuracy: 1.00
[Training] Itteration/Batch: 250/488: Loss: 1.17 | Accuracy: 1.00
[Training] Itteration/Batch: 275/488: Loss: 1.23 | Accuracy: 1.00
[Training] Itteration/Batch: 300/488: Loss: 1.09 | Accuracy: 1.00
[Training] Itteration/Batch: 325/488: Loss: 1.96 | Accuracy: 0.98
[Training] Itteration/Batch: 350/488: Loss: 3.05 | Accuracy: 0.97
[Training] Itteration/Batch: 375/488: Loss: 2.35 | Accuracy: 0.98
