______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/807: Loss: 0.78 | Accuracy: 0.00
[Training] Itteration/Batch:  25/807: Loss: 0.45 | Accuracy: 0.88
[Training] Itteration/Batch:  50/807: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch:  75/807: Loss: 1.04 | Accuracy: 0.94
[Training] Itteration/Batch: 100/807: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 125/807: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 150/807: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 175/807: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 200/807: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 225/807: Loss: 0.71 | Accuracy: 0.94
[Training] Itteration/Batch: 250/807: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 275/807: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 300/807: Loss: 0.85 | Accuracy: 0.94
[Training] Itteration/Batch: 325/807: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 350/807: Loss: 0.38 | Accuracy: 0.94
[Training] Itteration/Batch: 375/807: Loss: 0.53 | Accuracy: 0.94
[Training] Itteration/Batch: 400/807: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 425/807: Loss: 0.37 | Accuracy: 1.00
[Training] Itteration/Batch: 450/807: Loss: 0.23 | Accuracy: 0.94
[Training] Itteration/Batch: 475/807: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 500/807: Loss: 0.31 | Accuracy: 0.88
[Training] Itteration/Batch: 525/807: Loss: 0.34 | Accuracy: 1.00
[Training] Itteration/Batch: 550/807: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 575/807: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 600/807: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 625/807: Loss: 0.49 | Accuracy: 0.88
[Training] Itteration/Batch: 650/807: Loss: 0.22 | Accuracy: 0.94
[Training] Itteration/Batch: 675/807: Loss: 0.24 | Accuracy: 0.88
[Training] Itteration/Batch: 700/807: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 725/807: Loss: 0.80 | Accuracy: 0.94
[Training] Itteration/Batch: 750/807: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 775/807: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 800/807: Loss: 0.10 | Accuracy: 1.00

