______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1432: Loss: 1.61 | Accuracy: 0.26
[Training] Itteration/Batch:  25/1432: Loss: 2.02 | Accuracy: 0.31
[Training] Itteration/Batch:  50/1432: Loss: 0.99 | Accuracy: 0.41
[Training] Itteration/Batch:  75/1432: Loss: 1.80 | Accuracy: 0.71
[Training] Itteration/Batch: 100/1432: Loss: 0.89 | Accuracy: 0.54
[Training] Itteration/Batch: 125/1432: Loss: 0.66 | Accuracy: 0.77
[Training] Itteration/Batch: 150/1432: Loss: 1.76 | Accuracy: 0.74
[Training] Itteration/Batch: 175/1432: Loss: 0.87 | Accuracy: 0.90
[Training] Itteration/Batch: 200/1432: Loss: 1.42 | Accuracy: 0.92
[Training] Itteration/Batch: 225/1432: Loss: 1.55 | Accuracy: 0.89
[Training] Itteration/Batch: 250/1432: Loss: 0.72 | Accuracy: 1.00
[Training] Itteration/Batch: 275/1432: Loss: 0.80 | Accuracy: 0.97
[Training] Itteration/Batch: 300/1432: Loss: 0.57 | Accuracy: 1.00
[Training] Itteration/Batch: 325/1432: Loss: 0.67 | Accuracy: 1.00
[Training] Itteration/Batch: 350/1432: Loss: 0.67 | Accuracy: 1.00
[Training] Itteration/Batch: 375/1432: Loss: 0.59 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1432: Loss: 0.77 | Accuracy: 0.96
[Training] Itteration/Batch: 425/1432: Loss: 0.60 | Accuracy: 1.00
[Training] Itteration/Batch: 450/1432: Loss: 0.74 | Accuracy: 0.95
[Training] Itteration/Batch: 475/1432: Loss: 0.61 | Accuracy: 1.00
[Training] Itteration/Batch: 500/1432: Loss: 0.57 | Accuracy: 1.00
[Training] Itteration/Batch: 525/1432: Loss: 0.48 | Accuracy: 1.00
[Training] Itteration/Batch: 550/1432: Loss: 0.80 | Accuracy: 0.97
[Training] Itteration/Batch: 575/1432: Loss: 0.48 | Accuracy: 1.00
[Training] Itteration/Batch: 600/1432: Loss: 1.89 | Accuracy: 0.90
[Training] Itteration/Batch: 625/1432: Loss: 1.07 | Accuracy: 0.93
[Training] Itteration/Batch: 650/1432: Loss: 0.46 | Accuracy: 1.00
[Training] Itteration/Batch: 675/1432: Loss: 0.86 | Accuracy: 0.96
[Training] Itteration/Batch: 700/1432: Loss: 0.43 | Accuracy: 1.00
[Training] Itteration/Batch: 725/1432: Loss: 3.99 | Accuracy: 0.85
[Training] Itteration/Batch: 750/1432: Loss: 0.88 | Accuracy: 0.97
[Training] Itteration/Batch: 775/1432: Loss: 0.41 | Accuracy: 1.00
[Training] Itteration/Batch: 800/1432: Loss: 1.22 | Accuracy: 0.92
[Training] Itteration/Batch: 825/1432: Loss: 0.46 | Accuracy: 1.00
[Training] Itteration/Batch: 850/1432: Loss: 0.71 | Accuracy: 0.96
[Training] Itteration/Batch: 875/1432: Loss: 1.00 | Accuracy: 0.97
[Training] Itteration/Batch: 900/1432: Loss: 0.85 | Accuracy: 0.96
[Training] Itteration/Batch: 925/1432: Loss: 0.77 | Accuracy: 0.96
[Training] Itteration/Batch: 950/1432: Loss: 0.96 | Accuracy: 0.93
[Training] Itteration/Batch: 975/1432: Loss: 0.65 | Accuracy: 0.96
[Training] Itteration/Batch: 1000/1432: Loss: 0.68 | Accuracy: 0.97
[Training] Itteration/Batch: 1025/1432: Loss: 0.39 | Accuracy: 1.00
[Training] Itteration/Batch: 1050/1432: Loss: 1.41 | Accuracy: 0.93
[Training] Itteration/Batch: 1075/1432: Loss: 0.37 | Accuracy: 1.00
[Training] Itteration/Batch: 1100/1432: Loss: 2.10 | Accuracy: 0.83
[Training] Itteration/Batch: 1125/1432: Loss: 1.16 | Accuracy: 0.88
[Training] Itteration/Batch: 1150/1432: Loss: 1.33 | Accuracy: 0.93
[Training] Itteration/Batch: 1175/1432: Loss: 0.39 | Accuracy: 1.00
[Training] Itteration/Batch: 1200/1432: Loss: 1.17 | Accuracy: 0.94
[Training] Itteration/Batch: 1225/1432: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/1432: Loss: 0.76 | Accuracy: 0.97
[Training] Itteration/Batch: 1275/1432: Loss: 1.48 | Accuracy: 0.91
[Training] Itteration/Batch: 1300/1432: Loss: 0.90 | Accuracy: 0.96
[Training] Itteration/Batch: 1325/1432: Loss: 0.94 | Accuracy: 0.92
[Training] Itteration/Batch: 1350/1432: Loss: 0.82 | Accuracy: 0.97
[Training] Itteration/Batch: 1375/1432: Loss: 1.68 | Accuracy: 0.91
[Training] Itteration/Batch: 1400/1432: Loss: 0.81 | Accuracy: 0.93
[Training] Itteration/Batch: 1425/1432: Loss: 2.58 | Accuracy: 0.83

Epoch 1: Val Bin. F1 Majority 0.35206499695777893 | Val Macro F1 Majority 0.6496790258174311 |             Val Bin F1 Individual 0.3123173415660858 | Val Macro F1 Individual 0.6306229883582674 |             Val Accuracy Majority 0.9025160670280457 | Val Accuracy Individual 0.9049186110496521 | Training Loss:0.9633412957191467 |             Val Loss 0.6730382442474365 | Train Runtime Millis 107733.64805600431 | Val Runtime Millis 22240.472227000282

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/1432: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch:  25/1432: Loss: 0.30 | Accuracy: 1.00
