______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1333: Loss: 0.78 | Accuracy: 0.00
[Training] Itteration/Batch:  25/1333: Loss: 0.84 | Accuracy: 0.25
[Training] Itteration/Batch:  50/1333: Loss: 0.80 | Accuracy: 0.94
[Training] Itteration/Batch:  75/1333: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch: 100/1333: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch: 125/1333: Loss: 0.70 | Accuracy: 0.94
[Training] Itteration/Batch: 150/1333: Loss: 0.67 | Accuracy: 0.94
[Training] Itteration/Batch: 175/1333: Loss: 0.67 | Accuracy: 0.94
[Training] Itteration/Batch: 200/1333: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 225/1333: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 250/1333: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch: 275/1333: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 300/1333: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 325/1333: Loss: 0.49 | Accuracy: 0.94
[Training] Itteration/Batch: 350/1333: Loss: 0.57 | Accuracy: 0.94
[Training] Itteration/Batch: 375/1333: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1333: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 425/1333: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 450/1333: Loss: 0.71 | Accuracy: 0.94
[Training] Itteration/Batch: 475/1333: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 500/1333: Loss: 0.39 | Accuracy: 0.94
[Training] Itteration/Batch: 525/1333: Loss: 0.54 | Accuracy: 0.88
[Training] Itteration/Batch: 550/1333: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 575/1333: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 600/1333: Loss: 0.85 | Accuracy: 0.94
[Training] Itteration/Batch: 625/1333: Loss: 0.15 | Accuracy: 0.94
[Training] Itteration/Batch: 650/1333: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 675/1333: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 700/1333: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 725/1333: Loss: 0.11 | Accuracy: 1.00
