______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/818: Loss: 0.77 | Accuracy: 0.00
[Training] Itteration/Batch:  25/818: Loss: 0.48 | Accuracy: 0.69
[Training] Itteration/Batch:  50/818: Loss: 1.41 | Accuracy: 0.94
[Training] Itteration/Batch:  75/818: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 100/818: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 125/818: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 150/818: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 175/818: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 200/818: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch: 225/818: Loss: 1.22 | Accuracy: 0.94
[Training] Itteration/Batch: 250/818: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 275/818: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 300/818: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 325/818: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 350/818: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 375/818: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 400/818: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 425/818: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 450/818: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 475/818: Loss: 1.12 | Accuracy: 0.94
[Training] Itteration/Batch: 500/818: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 525/818: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 550/818: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 575/818: Loss: 0.32 | Accuracy: 0.94
[Training] Itteration/Batch: 600/818: Loss: 1.22 | Accuracy: 0.94
[Training] Itteration/Batch: 625/818: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 650/818: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 675/818: Loss: 0.43 | Accuracy: 1.00
[Training] Itteration/Batch: 700/818: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 725/818: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 750/818: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 775/818: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 800/818: Loss: 0.99 | Accuracy: 0.94

Epoch 1: Val Bin. F1 Majority 0.3205013573169708 | Val Macro F1 Majority 0.6430514872129447 |             Val Bin F1 Individual 0.30472421646118164 | Val Macro F1 Individual 0.6335380264513674 |             Val Accuracy Majority 0.9345181584358215 | Val Accuracy Individual 0.9285714030265808 | Training Loss:0.4340396523475647 |             Val Loss 0.30256012082099915 | Train Runtime Millis 55311.33973086253 | Val Runtime Millis 22594.31750467047

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/818: Loss: 0.32 | Accuracy: 0.75
[Training] Itteration/Batch:  25/818: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch:  50/818: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch:  75/818: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 100/818: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 125/818: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 150/818: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 175/818: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 200/818: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 225/818: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 250/818: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 275/818: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 300/818: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 325/818: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 350/818: Loss: 0.32 | Accuracy: 0.94
[Training] Itteration/Batch: 375/818: Loss: 0.32 | Accuracy: 1.00
