______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/737: Loss: 1.82 | Accuracy: 0.35
[Training] Itteration/Batch:  25/737: Loss: 1.88 | Accuracy: 0.53
[Training] Itteration/Batch:  50/737: Loss: 2.72 | Accuracy: 0.57
[Training] Itteration/Batch:  75/737: Loss: 1.98 | Accuracy: 0.71
[Training] Itteration/Batch: 100/737: Loss: 1.67 | Accuracy: 0.75
[Training] Itteration/Batch: 125/737: Loss: 3.54 | Accuracy: 0.68
[Training] Itteration/Batch: 150/737: Loss: 1.61 | Accuracy: 0.72
[Training] Itteration/Batch: 175/737: Loss: 1.72 | Accuracy: 0.80
[Training] Itteration/Batch: 200/737: Loss: 2.11 | Accuracy: 0.89
[Training] Itteration/Batch: 225/737: Loss: 3.52 | Accuracy: 0.80
[Training] Itteration/Batch: 250/737: Loss: 4.38 | Accuracy: 0.83
[Training] Itteration/Batch: 275/737: Loss: 2.02 | Accuracy: 0.94
[Training] Itteration/Batch: 300/737: Loss: 1.49 | Accuracy: 1.00
[Training] Itteration/Batch: 325/737: Loss: 1.77 | Accuracy: 0.95
[Training] Itteration/Batch: 350/737: Loss: 1.87 | Accuracy: 0.95
[Training] Itteration/Batch: 375/737: Loss: 1.91 | Accuracy: 0.97
[Training] Itteration/Batch: 400/737: Loss: 3.85 | Accuracy: 0.93
[Training] Itteration/Batch: 425/737: Loss: 2.01 | Accuracy: 0.98
[Training] Itteration/Batch: 450/737: Loss: 2.48 | Accuracy: 0.96
[Training] Itteration/Batch: 475/737: Loss: 1.42 | Accuracy: 1.00
[Training] Itteration/Batch: 500/737: Loss: 3.81 | Accuracy: 0.93
[Training] Itteration/Batch: 525/737: Loss: 1.26 | Accuracy: 1.00
[Training] Itteration/Batch: 550/737: Loss: 1.72 | Accuracy: 0.98
[Training] Itteration/Batch: 575/737: Loss: 2.76 | Accuracy: 0.95
[Training] Itteration/Batch: 600/737: Loss: 2.09 | Accuracy: 0.96
[Training] Itteration/Batch: 625/737: Loss: 4.17 | Accuracy: 0.86
[Training] Itteration/Batch: 650/737: Loss: 1.23 | Accuracy: 1.00
[Training] Itteration/Batch: 675/737: Loss: 1.13 | Accuracy: 1.00
[Training] Itteration/Batch: 700/737: Loss: 3.72 | Accuracy: 0.95
[Training] Itteration/Batch: 725/737: Loss: 2.37 | Accuracy: 0.93

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 0.49518749183397937 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 0.4935265501531492 |             Val Accuracy Majority 0.9809334874153137 | Val Accuracy Individual 0.9744371771812439 | Training Loss:2.272941827774048 |             Val Loss 1.950530767440796 | Train Runtime Millis 80213.44079310074 | Val Runtime Millis 42873.60443128273

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/737: Loss: 1.57 | Accuracy: 0.98
[Training] Itteration/Batch:  25/737: Loss: 3.97 | Accuracy: 0.95
[Training] Itteration/Batch:  50/737: Loss: 2.93 | Accuracy: 0.97
[Training] Itteration/Batch:  75/737: Loss: 2.46 | Accuracy: 0.95
[Training] Itteration/Batch: 100/737: Loss: 1.80 | Accuracy: 0.98
[Training] Itteration/Batch: 125/737: Loss: 1.05 | Accuracy: 1.00
[Training] Itteration/Batch: 150/737: Loss: 2.03 | Accuracy: 0.96
[Training] Itteration/Batch: 175/737: Loss: 1.10 | Accuracy: 1.00
[Training] Itteration/Batch: 200/737: Loss: 1.80 | Accuracy: 0.99
[Training] Itteration/Batch: 225/737: Loss: 1.05 | Accuracy: 1.00
[Training] Itteration/Batch: 250/737: Loss: 1.10 | Accuracy: 1.00
[Training] Itteration/Batch: 275/737: Loss: 4.45 | Accuracy: 0.93
[Training] Itteration/Batch: 300/737: Loss: 1.02 | Accuracy: 1.00
[Training] Itteration/Batch: 325/737: Loss: 2.34 | Accuracy: 0.97
[Training] Itteration/Batch: 350/737: Loss: 4.11 | Accuracy: 0.92
[Training] Itteration/Batch: 375/737: Loss: 1.26 | Accuracy: 0.98
[Training] Itteration/Batch: 400/737: Loss: 4.72 | Accuracy: 0.91
[Training] Itteration/Batch: 425/737: Loss: 1.47 | Accuracy: 0.98
[Training] Itteration/Batch: 450/737: Loss: 1.82 | Accuracy: 0.97
[Training] Itteration/Batch: 475/737: Loss: 2.22 | Accuracy: 0.93
[Training] Itteration/Batch: 500/737: Loss: 2.70 | Accuracy: 0.95
[Training] Itteration/Batch: 525/737: Loss: 1.76 | Accuracy: 0.96
[Training] Itteration/Batch: 550/737: Loss: 1.55 | Accuracy: 0.98
[Training] Itteration/Batch: 575/737: Loss: 0.89 | Accuracy: 1.00
[Training] Itteration/Batch: 600/737: Loss: 3.20 | Accuracy: 0.95
[Training] Itteration/Batch: 625/737: Loss: 1.51 | Accuracy: 0.98
[Training] Itteration/Batch: 650/737: Loss: 2.48 | Accuracy: 0.95
[Training] Itteration/Batch: 675/737: Loss: 1.46 | Accuracy: 0.98
