______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/520: Loss: 0.79 | Accuracy: 0.00
[Training] Itteration/Batch:  25/520: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch:  50/520: Loss: 0.40 | Accuracy: 0.94
[Training] Itteration/Batch:  75/520: Loss: 0.68 | Accuracy: 0.81
[Training] Itteration/Batch: 100/520: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 125/520: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 150/520: Loss: 0.41 | Accuracy: 0.88
[Training] Itteration/Batch: 175/520: Loss: 0.40 | Accuracy: 0.94
[Training] Itteration/Batch: 200/520: Loss: 0.64 | Accuracy: 0.75
[Training] Itteration/Batch: 225/520: Loss: 0.37 | Accuracy: 0.88
[Training] Itteration/Batch: 250/520: Loss: 0.42 | Accuracy: 0.81
[Training] Itteration/Batch: 275/520: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 300/520: Loss: 0.64 | Accuracy: 0.88
[Training] Itteration/Batch: 325/520: Loss: 0.36 | Accuracy: 0.75
[Training] Itteration/Batch: 350/520: Loss: 0.39 | Accuracy: 0.69
[Training] Itteration/Batch: 375/520: Loss: 0.41 | Accuracy: 0.88
[Training] Itteration/Batch: 400/520: Loss: 0.38 | Accuracy: 0.88
[Training] Itteration/Batch: 425/520: Loss: 0.40 | Accuracy: 0.75
[Training] Itteration/Batch: 450/520: Loss: 0.55 | Accuracy: 0.94
[Training] Itteration/Batch: 475/520: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 500/520: Loss: 0.18 | Accuracy: 0.94

Epoch 1: Val Bin. F1 Majority 0.46396705508232117 | Val Macro F1 Majority 0.6913445435112773 |             Val Bin F1 Individual 0.427712082862854 | Val Macro F1 Individual 0.6638397308838238 |             Val Accuracy Majority 0.85884690284729 | Val Accuracy Individual 0.829701840877533 | Training Loss:0.49322807788848877 |             Val Loss 0.39360082149505615 | Train Runtime Millis 37974.456362077035 | Val Runtime Millis 11015.94660198316

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/520: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch:  25/520: Loss: 0.75 | Accuracy: 0.69
[Training] Itteration/Batch:  50/520: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch:  75/520: Loss: 0.52 | Accuracy: 0.88
[Training] Itteration/Batch: 100/520: Loss: 0.26 | Accuracy: 0.81
[Training] Itteration/Batch: 125/520: Loss: 0.21 | Accuracy: 0.88
[Training] Itteration/Batch: 150/520: Loss: 0.32 | Accuracy: 0.81
[Training] Itteration/Batch: 175/520: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 200/520: Loss: 0.98 | Accuracy: 0.75
[Training] Itteration/Batch: 225/520: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 250/520: Loss: 0.45 | Accuracy: 0.81
[Training] Itteration/Batch: 275/520: Loss: 0.33 | Accuracy: 0.94
[Training] Itteration/Batch: 300/520: Loss: 0.34 | Accuracy: 0.75
[Training] Itteration/Batch: 325/520: Loss: 0.39 | Accuracy: 0.81
[Training] Itteration/Batch: 350/520: Loss: 0.36 | Accuracy: 0.75
[Training] Itteration/Batch: 375/520: Loss: 0.27 | Accuracy: 0.88
[Training] Itteration/Batch: 400/520: Loss: 0.46 | Accuracy: 0.81
[Training] Itteration/Batch: 425/520: Loss: 0.18 | Accuracy: 0.88
[Training] Itteration/Batch: 450/520: Loss: 0.25 | Accuracy: 0.88
[Training] Itteration/Batch: 475/520: Loss: 0.40 | Accuracy: 0.75
[Training] Itteration/Batch: 500/520: Loss: 0.13 | Accuracy: 1.00

Epoch 2: Val Bin. F1 Majority 0.4856512248516083 | Val Macro F1 Majority 0.7068206621788832 |             Val Bin F1 Individual 0.43539512157440186 | Val Macro F1 Individual 0.6716621641683136 |             Val Accuracy Majority 0.8736670613288879 | Val Accuracy Individual 0.8416764140129089 | Training Loss:0.3599543273448944 |             Val Loss 0.3814794421195984 | Train Runtime Millis 38145.20454092417 | Val Runtime Millis 11137.456135009415

______________________________	 Running Epoch 3 of 10 	______________________________
