______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/584: Loss: 1.82 | Accuracy: 0.38
[Training] Itteration/Batch:  25/584: Loss: 2.29 | Accuracy: 0.28
[Training] Itteration/Batch:  50/584: Loss: 2.27 | Accuracy: 0.61
[Training] Itteration/Batch:  75/584: Loss: 1.81 | Accuracy: 0.80
[Training] Itteration/Batch: 100/584: Loss: 2.27 | Accuracy: 0.71
[Training] Itteration/Batch: 125/584: Loss: 1.79 | Accuracy: 0.82
[Training] Itteration/Batch: 150/584: Loss: 1.34 | Accuracy: 0.90
[Training] Itteration/Batch: 175/584: Loss: 1.36 | Accuracy: 0.95
[Training] Itteration/Batch: 200/584: Loss: 1.46 | Accuracy: 0.93
[Training] Itteration/Batch: 225/584: Loss: 1.29 | Accuracy: 0.91
[Training] Itteration/Batch: 250/584: Loss: 1.18 | Accuracy: 0.95
[Training] Itteration/Batch: 275/584: Loss: 1.72 | Accuracy: 0.87
[Training] Itteration/Batch: 300/584: Loss: 1.80 | Accuracy: 0.89
[Training] Itteration/Batch: 325/584: Loss: 1.57 | Accuracy: 0.91
[Training] Itteration/Batch: 350/584: Loss: 2.71 | Accuracy: 0.77
[Training] Itteration/Batch: 375/584: Loss: 0.98 | Accuracy: 0.91
[Training] Itteration/Batch: 400/584: Loss: 1.08 | Accuracy: 1.00
[Training] Itteration/Batch: 425/584: Loss: 1.02 | Accuracy: 0.83
[Training] Itteration/Batch: 450/584: Loss: 1.39 | Accuracy: 0.89
[Training] Itteration/Batch: 475/584: Loss: 1.36 | Accuracy: 0.79
[Training] Itteration/Batch: 500/584: Loss: 1.08 | Accuracy: 0.95
[Training] Itteration/Batch: 525/584: Loss: 1.28 | Accuracy: 0.85
[Training] Itteration/Batch: 550/584: Loss: 0.64 | Accuracy: 0.96
[Training] Itteration/Batch: 575/584: Loss: 1.06 | Accuracy: 0.91

Epoch 1: Val Bin. F1 Majority 0.468634694814682 | Val Macro F1 Majority 0.7054654096931672 |             Val Bin F1 Individual 0.4713083505630493 | Val Macro F1 Individual 0.6992614870134366 |             Val Accuracy Majority 0.8958973288536072 | Val Accuracy Individual 0.8720449209213257 | Training Loss:1.5965514183044434 |             Val Loss 1.3294297456741333 | Train Runtime Millis 52090.93663992826 | Val Runtime Millis 14687.043649028055

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/584: Loss: 1.28 | Accuracy: 0.87
[Training] Itteration/Batch:  25/584: Loss: 0.72 | Accuracy: 0.98
[Training] Itteration/Batch:  50/584: Loss: 1.15 | Accuracy: 0.90
[Training] Itteration/Batch:  75/584: Loss: 1.49 | Accuracy: 0.87
[Training] Itteration/Batch: 100/584: Loss: 0.68 | Accuracy: 0.93
[Training] Itteration/Batch: 125/584: Loss: 0.41 | Accuracy: 1.00
[Training] Itteration/Batch: 150/584: Loss: 0.82 | Accuracy: 0.86
[Training] Itteration/Batch: 175/584: Loss: 1.48 | Accuracy: 0.78
[Training] Itteration/Batch: 200/584: Loss: 2.07 | Accuracy: 0.74
[Training] Itteration/Batch: 225/584: Loss: 0.90 | Accuracy: 0.80
[Training] Itteration/Batch: 250/584: Loss: 1.96 | Accuracy: 0.73
[Training] Itteration/Batch: 275/584: Loss: 0.75 | Accuracy: 0.93
[Training] Itteration/Batch: 300/584: Loss: 1.31 | Accuracy: 0.65
