______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/394: Loss: 0.71 | Accuracy: 0.62
[Training] Itteration/Batch:  25/394: Loss: 0.75 | Accuracy: 0.50
[Training] Itteration/Batch:  50/394: Loss: 0.68 | Accuracy: 0.62
[Training] Itteration/Batch:  75/394: Loss: 0.84 | Accuracy: 0.38
[Training] Itteration/Batch: 100/394: Loss: 0.64 | Accuracy: 0.69
[Training] Itteration/Batch: 125/394: Loss: 0.64 | Accuracy: 0.69
[Training] Itteration/Batch: 150/394: Loss: 0.62 | Accuracy: 0.62
[Training] Itteration/Batch: 175/394: Loss: 0.64 | Accuracy: 0.69
[Training] Itteration/Batch: 200/394: Loss: 0.82 | Accuracy: 0.56
[Training] Itteration/Batch: 225/394: Loss: 0.65 | Accuracy: 0.75
[Training] Itteration/Batch: 250/394: Loss: 0.48 | Accuracy: 0.75
[Training] Itteration/Batch: 275/394: Loss: 0.58 | Accuracy: 0.81
[Training] Itteration/Batch: 300/394: Loss: 0.53 | Accuracy: 0.81
[Training] Itteration/Batch: 325/394: Loss: 0.58 | Accuracy: 0.62
[Training] Itteration/Batch: 350/394: Loss: 0.46 | Accuracy: 0.75
[Training] Itteration/Batch: 375/394: Loss: 0.68 | Accuracy: 0.69

Epoch 1: Val Bin. F1 Majority 0.7102371454238892 | Val Macro F1 Majority 0.7543948020743145 |             Val Bin F1 Individual 0.6649327874183655 | Val Macro F1 Individual 0.7209867411718565 |             Val Accuracy Majority 0.7623339891433716 | Val Accuracy Individual 0.7322480082511902 | Training Loss:0.5981258749961853 |             Val Loss 0.49651145935058594 | Train Runtime Millis 28958.221461999983 | Val Runtime Millis 4618.671121000261

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/394: Loss: 0.49 | Accuracy: 0.69
[Training] Itteration/Batch:  25/394: Loss: 0.35 | Accuracy: 0.88
[Training] Itteration/Batch:  50/394: Loss: 0.29 | Accuracy: 0.88
[Training] Itteration/Batch:  75/394: Loss: 0.58 | Accuracy: 0.69
[Training] Itteration/Batch: 100/394: Loss: 0.31 | Accuracy: 0.81
[Training] Itteration/Batch: 125/394: Loss: 0.38 | Accuracy: 0.75
[Training] Itteration/Batch: 150/394: Loss: 0.37 | Accuracy: 0.81
[Training] Itteration/Batch: 175/394: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 200/394: Loss: 0.22 | Accuracy: 0.94
[Training] Itteration/Batch: 225/394: Loss: 0.61 | Accuracy: 0.56
[Training] Itteration/Batch: 250/394: Loss: 0.31 | Accuracy: 0.94
[Training] Itteration/Batch: 275/394: Loss: 0.60 | Accuracy: 0.56
[Training] Itteration/Batch: 300/394: Loss: 0.58 | Accuracy: 0.56
[Training] Itteration/Batch: 325/394: Loss: 0.30 | Accuracy: 0.94
[Training] Itteration/Batch: 350/394: Loss: 1.21 | Accuracy: 0.50
[Training] Itteration/Batch: 375/394: Loss: 0.66 | Accuracy: 0.75

Epoch 2: Val Bin. F1 Majority 0.6797966957092285 | Val Macro F1 Majority 0.7445160620107019 |             Val Bin F1 Individual 0.647283136844635 | Val Macro F1 Individual 0.7229886798246115 |             Val Accuracy Majority 0.7609108090400696 | Val Accuracy Individual 0.7436785697937012 | Training Loss:0.4437037706375122 |             Val Loss 0.4940532445907593 | Train Runtime Millis 28378.46341400018 | Val Runtime Millis 4623.440347000269

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/394: Loss: 0.32 | Accuracy: 0.88
[Training] Itteration/Batch:  25/394: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch:  50/394: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch:  75/394: Loss: 0.38 | Accuracy: 0.88
[Training] Itteration/Batch: 100/394: Loss: 0.28 | Accuracy: 0.88
[Training] Itteration/Batch: 125/394: Loss: 0.19 | Accuracy: 0.88
[Training] Itteration/Batch: 150/394: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 175/394: Loss: 0.35 | Accuracy: 0.81
[Training] Itteration/Batch: 200/394: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 225/394: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 250/394: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 275/394: Loss: 0.33 | Accuracy: 0.88
[Training] Itteration/Batch: 300/394: Loss: 0.38 | Accuracy: 0.88
[Training] Itteration/Batch: 325/394: Loss: 0.29 | Accuracy: 0.88
[Training] Itteration/Batch: 350/394: Loss: 0.29 | Accuracy: 0.88
[Training] Itteration/Batch: 375/394: Loss: 0.36 | Accuracy: 0.88

Epoch 3: Val Bin. F1 Majority 0.680437445640564 | Val Macro F1 Majority 0.7378840816789671 |             Val Bin F1 Individual 0.6498866081237793 | Val Macro F1 Individual 0.7167897662473974 |             Val Accuracy Majority 0.7504743933677673 | Val Accuracy Individual 0.73259437084198 | Training Loss:0.27139541506767273 |             Val Loss 0.5910561084747314 | Train Runtime Millis 28362.76338100015 | Val Runtime Millis 4630.203591999816

