______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/587: Loss: 0.67 | Accuracy: 0.75
[Training] Itteration/Batch:  25/587: Loss: 0.71 | Accuracy: 0.62
[Training] Itteration/Batch:  50/587: Loss: 0.70 | Accuracy: 0.69
[Training] Itteration/Batch:  75/587: Loss: 0.55 | Accuracy: 0.81
[Training] Itteration/Batch: 100/587: Loss: 0.69 | Accuracy: 0.69
[Training] Itteration/Batch: 125/587: Loss: 0.67 | Accuracy: 0.69
[Training] Itteration/Batch: 150/587: Loss: 0.60 | Accuracy: 0.75
[Training] Itteration/Batch: 175/587: Loss: 0.67 | Accuracy: 0.75
[Training] Itteration/Batch: 200/587: Loss: 0.63 | Accuracy: 0.88
[Training] Itteration/Batch: 225/587: Loss: 0.91 | Accuracy: 0.44
[Training] Itteration/Batch: 250/587: Loss: 0.51 | Accuracy: 0.88
[Training] Itteration/Batch: 275/587: Loss: 0.91 | Accuracy: 0.31
[Training] Itteration/Batch: 300/587: Loss: 0.68 | Accuracy: 0.62
[Training] Itteration/Batch: 325/587: Loss: 0.57 | Accuracy: 0.81
[Training] Itteration/Batch: 350/587: Loss: 0.67 | Accuracy: 0.62
[Training] Itteration/Batch: 375/587: Loss: 0.57 | Accuracy: 0.75
[Training] Itteration/Batch: 400/587: Loss: 0.70 | Accuracy: 0.56
[Training] Itteration/Batch: 425/587: Loss: 0.65 | Accuracy: 0.69
[Training] Itteration/Batch: 450/587: Loss: 0.63 | Accuracy: 0.62
[Training] Itteration/Batch: 475/587: Loss: 0.61 | Accuracy: 0.69
[Training] Itteration/Batch: 500/587: Loss: 0.60 | Accuracy: 0.62
[Training] Itteration/Batch: 525/587: Loss: 0.59 | Accuracy: 0.81
[Training] Itteration/Batch: 550/587: Loss: 0.40 | Accuracy: 0.94
[Training] Itteration/Batch: 575/587: Loss: 0.61 | Accuracy: 0.75

Epoch 1: Val Bin. F1 Majority 0.008800880052149296 | Val Macro F1 Majority 0.42123632706634145 |             Val Bin F1 Individual 0.0034934498835355043 | Val Macro F1 Individual 0.4205290529883953 |             Val Accuracy Majority 0.7151438593864441 | Val Accuracy Individual 0.7206626534461975 | Training Loss:0.6642107367515564 |             Val Loss 0.6546405553817749 | Train Runtime Millis 57890.87197801564 | Val Runtime Millis 12467.433109995909

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/587: Loss: 0.63 | Accuracy: 0.75
[Training] Itteration/Batch:  25/587: Loss: 0.46 | Accuracy: 0.88
[Training] Itteration/Batch:  50/587: Loss: 0.54 | Accuracy: 0.75
[Training] Itteration/Batch:  75/587: Loss: 0.62 | Accuracy: 0.69
[Training] Itteration/Batch: 100/587: Loss: 0.57 | Accuracy: 0.81
[Training] Itteration/Batch: 125/587: Loss: 0.56 | Accuracy: 0.56
[Training] Itteration/Batch: 150/587: Loss: 0.70 | Accuracy: 0.81
[Training] Itteration/Batch: 175/587: Loss: 0.64 | Accuracy: 0.62
[Training] Itteration/Batch: 200/587: Loss: 0.69 | Accuracy: 0.69
[Training] Itteration/Batch: 225/587: Loss: 0.58 | Accuracy: 0.75
[Training] Itteration/Batch: 250/587: Loss: 0.52 | Accuracy: 0.88
[Training] Itteration/Batch: 275/587: Loss: 0.60 | Accuracy: 0.75
[Training] Itteration/Batch: 300/587: Loss: 0.52 | Accuracy: 0.75
[Training] Itteration/Batch: 325/587: Loss: 0.67 | Accuracy: 0.62
[Training] Itteration/Batch: 350/587: Loss: 0.65 | Accuracy: 0.69
[Training] Itteration/Batch: 375/587: Loss: 0.62 | Accuracy: 0.69
[Training] Itteration/Batch: 400/587: Loss: 0.50 | Accuracy: 0.81
[Training] Itteration/Batch: 425/587: Loss: 0.57 | Accuracy: 0.62
[Training] Itteration/Batch: 450/587: Loss: 0.59 | Accuracy: 0.81
[Training] Itteration/Batch: 475/587: Loss: 0.72 | Accuracy: 0.62
[Training] Itteration/Batch: 500/587: Loss: 0.64 | Accuracy: 0.75
[Training] Itteration/Batch: 525/587: Loss: 0.52 | Accuracy: 0.62
[Training] Itteration/Batch: 550/587: Loss: 0.45 | Accuracy: 0.94
[Training] Itteration/Batch: 575/587: Loss: 0.98 | Accuracy: 0.62

Epoch 2: Val Bin. F1 Majority 0.3646170496940613 | Val Macro F1 Majority 0.5506001142431488 |             Val Bin F1 Individual 0.40087708830833435 | Val Macro F1 Individual 0.5618232012151667 |             Val Accuracy Majority 0.627568781375885 | Val Accuracy Individual 0.620940089225769 | Training Loss:0.6173931360244751 |             Val Loss 0.6731755137443542 | Train Runtime Millis 57465.49747593235 | Val Runtime Millis 12513.095409958623

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/587: Loss: 0.42 | Accuracy: 0.81
[Training] Itteration/Batch:  25/587: Loss: 0.48 | Accuracy: 0.81
[Training] Itteration/Batch:  50/587: Loss: 0.44 | Accuracy: 0.88
[Training] Itteration/Batch:  75/587: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 100/587: Loss: 0.32 | Accuracy: 0.94
[Training] Itteration/Batch: 125/587: Loss: 0.44 | Accuracy: 0.88
[Training] Itteration/Batch: 150/587: Loss: 0.30 | Accuracy: 0.88
[Training] Itteration/Batch: 175/587: Loss: 0.26 | Accuracy: 0.88
[Training] Itteration/Batch: 200/587: Loss: 0.27 | Accuracy: 0.88
[Training] Itteration/Batch: 225/587: Loss: 0.68 | Accuracy: 0.69
[Training] Itteration/Batch: 250/587: Loss: 0.52 | Accuracy: 0.56
[Training] Itteration/Batch: 275/587: Loss: 0.52 | Accuracy: 0.69
[Training] Itteration/Batch: 300/587: Loss: 0.34 | Accuracy: 0.81
[Training] Itteration/Batch: 325/587: Loss: 0.39 | Accuracy: 0.94
[Training] Itteration/Batch: 350/587: Loss: 0.71 | Accuracy: 0.62
[Training] Itteration/Batch: 375/587: Loss: 0.33 | Accuracy: 0.81
[Training] Itteration/Batch: 400/587: Loss: 0.60 | Accuracy: 0.62
[Training] Itteration/Batch: 425/587: Loss: 0.65 | Accuracy: 0.75
[Training] Itteration/Batch: 450/587: Loss: 0.33 | Accuracy: 0.88
[Training] Itteration/Batch: 475/587: Loss: 0.72 | Accuracy: 0.56
[Training] Itteration/Batch: 500/587: Loss: 0.52 | Accuracy: 0.75
[Training] Itteration/Batch: 525/587: Loss: 0.47 | Accuracy: 0.88
[Training] Itteration/Batch: 550/587: Loss: 0.36 | Accuracy: 0.88
[Training] Itteration/Batch: 575/587: Loss: 0.40 | Accuracy: 0.81

Epoch 3: Val Bin. F1 Majority 0.3521939814090729 | Val Macro F1 Majority 0.5539811944689378 |             Val Bin F1 Individual 0.37632864713668823 | Val Macro F1 Individual 0.5644324158899037 |             Val Accuracy Majority 0.6452734470367432 | Val Accuracy Individual 0.6456667184829712 | Training Loss:0.4779023230075836 |             Val Loss 0.8141295313835144 | Train Runtime Millis 57545.976490015164 | Val Runtime Millis 12524.27010901738

