______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/371: Loss: 0.79 | Accuracy: 0.00
[Training] Itteration/Batch:  25/371: Loss: 0.46 | Accuracy: 0.88
[Training] Itteration/Batch:  50/371: Loss: 0.87 | Accuracy: 0.94
[Training] Itteration/Batch:  75/371: Loss: 0.90 | Accuracy: 0.94
[Training] Itteration/Batch: 100/371: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 125/371: Loss: 2.20 | Accuracy: 0.81
[Training] Itteration/Batch: 150/371: Loss: 1.15 | Accuracy: 0.88
[Training] Itteration/Batch: 175/371: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 200/371: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 225/371: Loss: 1.62 | Accuracy: 0.88
[Training] Itteration/Batch: 250/371: Loss: 1.00 | Accuracy: 0.94
[Training] Itteration/Batch: 275/371: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 300/371: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 325/371: Loss: 0.77 | Accuracy: 0.88
[Training] Itteration/Batch: 350/371: Loss: 0.14 | Accuracy: 1.00

Epoch 1: Val Bin. F1 Majority 0.37931033968925476 | Val Macro F1 Majority 0.6801764994280112 |             Val Bin F1 Individual 0.32283464074134827 | Val Macro F1 Individual 0.6489173228346456 |             Val Accuracy Majority 0.9632089734077454 | Val Accuracy Individual 0.9517802000045776 | Training Loss:0.4643627405166626 |             Val Loss 0.3477945625782013 | Train Runtime Millis 28247.530894936062 | Val Runtime Millis 4367.171042016707

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/371: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch:  25/371: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch:  50/371: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch:  75/371: Loss: 0.38 | Accuracy: 0.94
[Training] Itteration/Batch: 100/371: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 125/371: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 150/371: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 175/371: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch: 200/371: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 225/371: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 250/371: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 275/371: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 300/371: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 325/371: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 350/371: Loss: 0.05 | Accuracy: 1.00

Epoch 2: Val Bin. F1 Majority 0.38410595059394836 | Val Macro F1 Majority 0.679695818293492 |             Val Bin F1 Individual 0.3465818762779236 | Val Macro F1 Individual 0.6582238509669794 |             Val Accuracy Majority 0.952478289604187 | Val Accuracy Individual 0.9423885345458984 | Training Loss:0.22991834580898285 |             Val Loss 0.3392404019832611 | Train Runtime Millis 28394.131283974275 | Val Runtime Millis 4355.765820015222

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/371: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch:  25/371: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch:  50/371: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch:  75/371: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 100/371: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 125/371: Loss: 0.68 | Accuracy: 0.88
[Training] Itteration/Batch: 150/371: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch: 175/371: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 200/371: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 225/371: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 250/371: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 275/371: Loss: 0.08 | Accuracy: 0.94
[Training] Itteration/Batch: 300/371: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 325/371: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 350/371: Loss: 0.10 | Accuracy: 0.94

Epoch 3: Val Bin. F1 Majority 0.3804347813129425 | Val Macro F1 Majority 0.6749358899638653 |             Val Bin F1 Individual 0.3425559997558594 | Val Macro F1 Individual 0.6528088286626074 |             Val Accuracy Majority 0.9417475461959839 | Val Accuracy Individual 0.9300532937049866 | Training Loss:0.15020760893821716 |             Val Loss 0.3558603823184967 | Train Runtime Millis 28324.967279913835 | Val Runtime Millis 4356.047541950829

