Device cuda
Split type sit
Training Size: 2349, NTA labels 1973, YTA labels 376
Validation Size: 821, NTA labels 667, YTA labels 154
Test Size: 791, NTA labels 656, YTA labels 135
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 740
Epoch 0 **** Loss 0.14865122735500336 **** Metrics validation: {'accuracy': 0.8574908647990256, 'f1_weighted': 0.8671993969785124, 'macro': 0.8007930368708225, 'micro': 0.8574908647990256, 'binary': 0.6945169712793734, 'accuracy_majority': 0.862708719851577, 'macro_majority': 0.8206564748201439, 'binary_majority': 0.7338129496402878, 'run_time_millis': 2724.214148000101, 'loss_mean': 0.11407783627510071}
Epoch 1 **** Loss 0.041172437369823456 **** Metrics validation: {'accuracy': 0.9098660170523751, 'f1_weighted': 0.9117379607282831, 'macro': 0.8583875659649056, 'micro': 0.9098660170523751, 'binary': 0.7730061349693251, 'accuracy_majority': 0.8961038961038961, 'macro_majority': 0.8549905838041431, 'binary_majority': 0.7777777777777777, 'run_time_millis': 2511.831685999823, 'loss_mean': 0.10572496056556702}
Epoch 2 **** Loss 0.00664509367197752 **** Metrics validation: {'accuracy': 0.9074299634591961, 'f1_weighted': 0.9109900305290143, 'macro': 0.8602590747841043, 'micro': 0.9074299634591961, 'binary': 0.7790697674418604, 'accuracy_majority': 0.8942486085343229, 'macro_majority': 0.8566656558352189, 'binary_majority': 0.7832699619771862, 'run_time_millis': 2715.8602190002057, 'loss_mean': 0.09752072393894196}
Epoch 3 **** Loss 0.010940579697489738 **** Metrics validation: {'accuracy': 0.9110840438489647, 'f1_weighted': 0.9105164257150654, 'macro': 0.8522788051770076, 'micro': 0.9110840438489647, 'binary': 0.759075907590759, 'accuracy_majority': 0.8886827458256029, 'macro_majority': 0.8362498480981894, 'binary_majority': 0.7435897435897436, 'run_time_millis': 2716.960611999639, 'loss_mean': 0.17543481290340424}
Epoch 4 **** Loss 0.00599302165210247 **** Metrics validation: {'accuracy': 0.9074299634591961, 'f1_weighted': 0.9117913644947647, 'macro': 0.8631522616415763, 'micro': 0.9074299634591961, 'binary': 0.7853107344632768, 'accuracy_majority': 0.8961038961038961, 'macro_majority': 0.862319369435119, 'binary_majority': 0.7941176470588235, 'run_time_millis': 1399.734618000366, 'loss_mean': 0.12650899589061737}
Epoch 5 **** Loss 0.001012386754155159 **** Metrics validation: {'accuracy': 0.9123020706455542, 'f1_weighted': 0.9125191279055568, 'macro': 0.8568439407149084, 'micro': 0.9123020706455542, 'binary': 0.7677419354838709, 'accuracy_majority': 0.8942486085343229, 'macro_majority': 0.84858431285577, 'binary_majority': 0.7654320987654321, 'run_time_millis': 1703.8499130003402, 'loss_mean': 0.22167572379112244}
Epoch 6 **** Loss 0.003495896700769663 **** Metrics validation: {'accuracy': 0.9074299634591961, 'f1_weighted': 0.9114795443146807, 'macro': 0.8620168067226891, 'micro': 0.9074299634591961, 'binary': 0.7828571428571429, 'accuracy_majority': 0.8979591836734694, 'macro_majority': 0.863094990694431, 'binary_majority': 0.7940074906367042, 'run_time_millis': 2725.1874399998997, 'loss_mean': 0.16271646320819855}
Epoch 7 **** Loss 0.009141301736235619 **** Metrics validation: {'accuracy': 0.9123020706455542, 'f1_weighted': 0.9137434825937713, 'macro': 0.8609260304912479, 'micro': 0.9123020706455542, 'binary': 0.7763975155279503, 'accuracy_majority': 0.8998144712430427, 'macro_majority': 0.8585989117761368, 'binary_majority': 0.7822580645161291, 'run_time_millis': 1978.4598570004164, 'loss_mean': 0.2072301208972931}
Epoch 8 **** Loss 0.021936817094683647 **** Metrics validation: {'accuracy': 0.9135200974421437, 'f1_weighted': 0.9148457224798784, 'macro': 0.8625345190677316, 'micro': 0.9135200974421437, 'binary': 0.778816199376947, 'accuracy_majority': 0.8979591836734694, 'macro_majority': 0.8555713081648859, 'binary_majority': 0.7773279352226721, 'run_time_millis': 1452.8844010001194, 'loss_mean': 0.21596595644950867}
Epoch 9 **** Loss 0.0016996879130601883 **** Metrics validation: {'accuracy': 0.9123020706455542, 'f1_weighted': 0.9137434825937713, 'macro': 0.8609260304912479, 'micro': 0.9123020706455542, 'binary': 0.7763975155279503, 'accuracy_majority': 0.8961038961038961, 'macro_majority': 0.8533618344345122, 'binary_majority': 0.7741935483870968, 'run_time_millis': 2719.970586999807, 'loss_mean': 0.21959680318832397}
Evaluating
{'accuracy': 0.9135200974421437, 'f1_weighted': 0.9148457224798784, 'macro': 0.8625345190677316, 'micro': 0.9135200974421437, 'binary': 0.778816199376947, 'accuracy_majority': 0.8979591836734694, 'macro_majority': 0.8555713081648859, 'binary_majority': 0.7773279352226721, 'run_time_millis': 1350.8039850003115, 'loss_mean': 0.21596595644950867}
