Device cuda
Split type sit
Training Size: 1602, NTA labels 1419, YTA labels 183
Validation Size: 524, NTA labels 477, YTA labels 47
Test Size: 529, NTA labels 472, YTA labels 57
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 510
Epoch 0 **** Loss 0.056272272020578384 **** Metrics validation: {'accuracy': 0.8358778625954199, 'f1_weighted': 0.866954343093225, 'macro': 0.7115719406041987, 'micro': 0.8358778625954199, 'binary': 0.5222222222222223, 'accuracy_majority': 0.8444976076555024, 'macro_majority': 0.7373229564460773, 'binary_majority': 0.5695364238410596, 'run_time_millis': 2470.6367409999075, 'loss_mean': 0.06057249754667282}
Epoch 1 **** Loss 0.046895094215869904 **** Metrics validation: {'accuracy': 0.9255725190839694, 'f1_weighted': 0.932389085594221, 'macro': 0.8151441416178957, 'micro': 0.9255725190839694, 'binary': 0.6722689075630252, 'accuracy_majority': 0.9282296650717703, 'macro_majority': 0.8325052091681359, 'binary_majority': 0.7058823529411764, 'run_time_millis': 2471.8986410000525, 'loss_mean': 0.054916296154260635}
Epoch 2 **** Loss 0.01871064305305481 **** Metrics validation: {'accuracy': 0.9007633587786259, 'f1_weighted': 0.9141845652964139, 'macro': 0.7830227743271221, 'micro': 0.9007633587786259, 'binary': 0.6231884057971014, 'accuracy_majority': 0.9186602870813397, 'macro_majority': 0.8273314866112651, 'binary_majority': 0.7017543859649122, 'run_time_millis': 694.0680000000157, 'loss_mean': 0.05442464351654053}
Epoch 3 **** Loss 0.0013075323076918721 **** Metrics validation: {'accuracy': 0.9179389312977099, 'f1_weighted': 0.9263264344217611, 'macro': 0.8019600087892771, 'micro': 0.9179389312977099, 'binary': 0.6504065040650406, 'accuracy_majority': 0.9330143540669856, 'macro_majority': 0.843671528556927, 'binary_majority': 0.7254901960784315, 'run_time_millis': 1831.1888880000424, 'loss_mean': 0.04406139254570007}
Epoch 4 **** Loss 0.007985175587236881 **** Metrics validation: {'accuracy': 0.9274809160305344, 'f1_weighted': 0.9311238648466905, 'macro': 0.8005848656010895, 'micro': 0.9274809160305344, 'binary': 0.6415094339622641, 'accuracy_majority': 0.9330143540669856, 'macro_majority': 0.8256776884122727, 'binary_majority': 0.6888888888888888, 'run_time_millis': 2472.931537000022, 'loss_mean': 0.0651288628578186}
Epoch 5 **** Loss 0.00020987738389521837 **** Metrics validation: {'accuracy': 0.9293893129770993, 'f1_weighted': 0.9336838633646632, 'macro': 0.8105734189211635, 'micro': 0.9293893129770993, 'binary': 0.6605504587155964, 'accuracy_majority': 0.937799043062201, 'macro_majority': 0.8412225338943431, 'binary_majority': 0.7173913043478259, 'run_time_millis': 2473.189761000185, 'loss_mean': 0.07983381301164627}
Epoch 6 **** Loss 9.828511974774301e-05 **** Metrics validation: {'accuracy': 0.9255725190839694, 'f1_weighted': 0.9305967515251653, 'macro': 0.8035132250713894, 'micro': 0.9255725190839694, 'binary': 0.6486486486486486, 'accuracy_majority': 0.9330143540669856, 'macro_majority': 0.8321959052589323, 'binary_majority': 0.7021276595744682, 'run_time_millis': 2488.1094830000166, 'loss_mean': 0.08142616599798203}
Epoch 7 **** Loss 7.615664799232036e-05 **** Metrics validation: {'accuracy': 0.9255725190839694, 'f1_weighted': 0.9300992073303207, 'macro': 0.8003341442682534, 'micro': 0.9255725190839694, 'binary': 0.6422018348623854, 'accuracy_majority': 0.9330143540669856, 'macro_majority': 0.8290088826554465, 'binary_majority': 0.6956521739130435, 'run_time_millis': 2470.5607549999513, 'loss_mean': 0.09126780927181244}
Epoch 8 **** Loss 9.386922465637326e-05 **** Metrics validation: {'accuracy': 0.9236641221374046, 'f1_weighted': 0.9280433592598608, 'macro': 0.7935382190701339, 'micro': 0.9236641221374046, 'binary': 0.6296296296296297, 'accuracy_majority': 0.930622009569378, 'macro_majority': 0.8211962534110184, 'binary_majority': 0.6813186813186812, 'run_time_millis': 2486.2224270000297, 'loss_mean': 0.10002352297306061}
Epoch 9 **** Loss 0.00024666640092618763 **** Metrics validation: {'accuracy': 0.9236641221374046, 'f1_weighted': 0.9280433592598608, 'macro': 0.7935382190701339, 'micro': 0.9236641221374046, 'binary': 0.6296296296296297, 'accuracy_majority': 0.930622009569378, 'macro_majority': 0.8211962534110184, 'binary_majority': 0.6813186813186812, 'run_time_millis': 2487.9978010001196, 'loss_mean': 0.10185039788484573}
Evaluating
{'accuracy': 0.9293893129770993, 'f1_weighted': 0.9336838633646632, 'macro': 0.8105734189211635, 'micro': 0.9293893129770993, 'binary': 0.6605504587155964, 'accuracy_majority': 0.937799043062201, 'macro_majority': 0.8412225338943431, 'binary_majority': 0.7173913043478259, 'run_time_millis': 2332.119444, 'loss_mean': 0.07983381301164627}
