Device cuda
Split type sit
Training Size: 3420, NTA labels 2981, YTA labels 439
Validation Size: 1140, NTA labels 1011, YTA labels 129
Test Size: 1146, NTA labels 979, YTA labels 167
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 1070
Epoch 0 **** Loss 0.18304379284381866 **** Metrics validation: {'accuracy': 0.781578947368421, 'f1_weighted': 0.8173486256261515, 'macro': 0.6603891419280508, 'micro': 0.781578947368421, 'binary': 0.45751633986928103, 'accuracy_majority': 0.8210526315789474, 'macro_majority': 0.7257598913228052, 'binary_majority': 0.5641025641025641, 'run_time_millis': 2532.9051649996472, 'loss_mean': 0.1018955186009407}
Epoch 1 **** Loss 0.05599496141076088 **** Metrics validation: {'accuracy': 0.8947368421052632, 'f1_weighted': 0.8985839142614058, 'macro': 0.7572040125231614, 'micro': 0.8947368421052632, 'binary': 0.5744680851063829, 'accuracy_majority': 0.868421052631579, 'macro_majority': 0.7420020639834881, 'binary_majority': 0.5614035087719297, 'run_time_millis': 1522.1574280003551, 'loss_mean': 0.09808258712291718}
Epoch 2 **** Loss 0.08095666021108627 **** Metrics validation: {'accuracy': 0.8991228070175439, 'f1_weighted': 0.9029470838208215, 'macro': 0.7680265982011887, 'micro': 0.8991228070175438, 'binary': 0.5936395759717314, 'accuracy_majority': 0.868421052631579, 'macro_majority': 0.7621551249311502, 'binary_majority': 0.6031746031746033, 'run_time_millis': 2566.586369000106, 'loss_mean': 0.1143958568572998}
Epoch 3 **** Loss 0.054124824702739716 **** Metrics validation: {'accuracy': 0.8342105263157895, 'f1_weighted': 0.8584391470810695, 'macro': 0.7205704792425082, 'micro': 0.8342105263157894, 'binary': 0.5423728813559322, 'accuracy_majority': 0.7894736842105263, 'macro_majority': 0.6994146495807625, 'binary_majority': 0.5348837209302325, 'run_time_millis': 1722.9328710000118, 'loss_mean': 0.09421928226947784}
Epoch 4 **** Loss 0.07386837154626846 **** Metrics validation: {'accuracy': 0.8964912280701754, 'f1_weighted': 0.9042471257096418, 'macro': 0.7820917378880459, 'micro': 0.8964912280701754, 'binary': 0.624203821656051, 'accuracy_majority': 0.8526315789473684, 'macro_majority': 0.7492458521870287, 'binary_majority': 0.5882352941176471, 'run_time_millis': 654.7774629998457, 'loss_mean': 0.12228843569755554}
Epoch 5 **** Loss 0.029869411140680313 **** Metrics validation: {'accuracy': 0.8973684210526316, 'f1_weighted': 0.9030976216500542, 'macro': 0.7735295466006511, 'micro': 0.8973684210526317, 'binary': 0.6060606060606061, 'accuracy_majority': 0.8526315789473684, 'macro_majority': 0.7151424287856072, 'binary_majority': 0.5172413793103448, 'run_time_millis': 2025.3712100002303, 'loss_mean': 0.13474369049072266}
Epoch 6 **** Loss 0.010473727248609066 **** Metrics validation: {'accuracy': 0.8964912280701754, 'f1_weighted': 0.902880341829134, 'macro': 0.7748076523881906, 'micro': 0.8964912280701754, 'binary': 0.6092715231788081, 'accuracy_majority': 0.8578947368421053, 'macro_majority': 0.7291303659116111, 'binary_majority': 0.5423728813559322, 'run_time_millis': 2536.5845350006566, 'loss_mean': 0.14890898764133453}
Epoch 7 **** Loss 0.046165697276592255 **** Metrics validation: {'accuracy': 0.8947368421052632, 'f1_weighted': 0.9002274784933848, 'macro': 0.765706886984401, 'micro': 0.8947368421052632, 'binary': 0.5918367346938775, 'accuracy_majority': 0.8526315789473684, 'macro_majority': 0.7067901234567902, 'binary_majority': 0.5, 'run_time_millis': 1016.4693870001429, 'loss_mean': 0.16665738821029663}
Epoch 8 **** Loss 0.03152003884315491 **** Metrics validation: {'accuracy': 0.8885964912280702, 'f1_weighted': 0.8975152329020083, 'macro': 0.768559000829658, 'micro': 0.8885964912280702, 'binary': 0.6018808777429467, 'accuracy_majority': 0.868421052631579, 'macro_majority': 0.7621551249311502, 'binary_majority': 0.6031746031746033, 'run_time_millis': 2531.1484910007493, 'loss_mean': 0.15046411752700806}
Epoch 9 **** Loss 0.040903083980083466 **** Metrics validation: {'accuracy': 0.8956140350877193, 'f1_weighted': 0.9016907141342134, 'macro': 0.7709680087925594, 'micro': 0.8956140350877194, 'binary': 0.6020066889632107, 'accuracy_majority': 0.8473684210526315, 'macro_majority': 0.7090659485717303, 'binary_majority': 0.5084745762711865, 'run_time_millis': 2551.4372500001627, 'loss_mean': 0.17830246686935425}
Evaluating
{'accuracy': 0.8964912280701754, 'f1_weighted': 0.9042471257096418, 'macro': 0.7820917378880459, 'micro': 0.8964912280701754, 'binary': 0.624203821656051, 'accuracy_majority': 0.8526315789473684, 'macro_majority': 0.7492458521870287, 'binary_majority': 0.5882352941176471, 'run_time_millis': 2550.009102000331, 'loss_mean': 0.12228843569755554}
