Device cuda
Split type sit
Training Size: 4032, NTA labels 3544, YTA labels 488
Validation Size: 1344, NTA labels 1152, YTA labels 192
Test Size: 1344, NTA labels 1155, YTA labels 189
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 1260
Epoch 0 **** Loss 0.12469430267810822 **** Metrics validation: {'accuracy': 0.7447916666666666, 'f1_weighted': 0.781213633445076, 'macro': 0.6593840581584105, 'micro': 0.7447916666666666, 'binary': 0.4888226527570789, 'accuracy_majority': 0.7633928571428571, 'macro_majority': 0.6899856378117248, 'binary_majority': 0.5391304347826087, 'run_time_millis': 2665.337765000004, 'loss_mean': 0.11286334693431854}
Epoch 1 **** Loss 0.04550015926361084 **** Metrics validation: {'accuracy': 0.8229166666666666, 'f1_weighted': 0.843293452471099, 'macro': 0.7308698066535413, 'micro': 0.8229166666666666, 'binary': 0.5734767025089605, 'accuracy_majority': 0.6696428571428571, 'macro_majority': 0.6213450292397661, 'binary_majority': 0.4861111111111111, 'run_time_millis': 2649.5432650044677, 'loss_mean': 0.1045144721865654}
Epoch 2 **** Loss 0.058125630021095276 **** Metrics validation: {'accuracy': 0.8273809523809523, 'f1_weighted': 0.8463250972030606, 'macro': 0.7326602282704127, 'micro': 0.8273809523809523, 'binary': 0.573529411764706, 'accuracy_majority': 0.78125, 'macro_majority': 0.7029579713674867, 'binary_majority': 0.5504587155963303, 'run_time_millis': 2651.9496420005453, 'loss_mean': 0.12484439462423325}
Epoch 3 **** Loss 0.0428159274160862 **** Metrics validation: {'accuracy': 0.7194940476190477, 'f1_weighted': 0.7612652434245588, 'macro': 0.6470192378026479, 'micro': 0.7194940476190476, 'binary': 0.48707482993197276, 'accuracy_majority': 0.6116071428571429, 'macro_majority': 0.5708906748871518, 'binary_majority': 0.43870967741935485, 'run_time_millis': 2652.194207003049, 'loss_mean': 0.11775326728820801}
Epoch 4 **** Loss 0.026990097016096115 **** Metrics validation: {'accuracy': 0.8087797619047619, 'f1_weighted': 0.8324922185121899, 'macro': 0.719238694417011, 'micro': 0.808779761904762, 'binary': 0.5606837606837607, 'accuracy_majority': 0.6428571428571429, 'macro_majority': 0.5963963963963963, 'binary_majority': 0.45945945945945943, 'run_time_millis': 2651.132556005905, 'loss_mean': 0.12344217300415039}
Epoch 5 **** Loss 0.01715472713112831 **** Metrics validation: {'accuracy': 0.7849702380952381, 'f1_weighted': 0.8135759857498799, 'macro': 0.6967184634160244, 'micro': 0.7849702380952381, 'binary': 0.5331179321486268, 'accuracy_majority': 0.6428571428571429, 'macro_majority': 0.5935770661344462, 'binary_majority': 0.4520547945205479, 'run_time_millis': 2650.3867319988785, 'loss_mean': 0.12957628071308136}
Epoch 6 **** Loss 0.03482624888420105 **** Metrics validation: {'accuracy': 0.8668154761904762, 'f1_weighted': 0.8743288911478447, 'macro': 0.7598387584641324, 'micro': 0.8668154761904762, 'binary': 0.5995525727069351, 'accuracy_majority': 0.7767857142857143, 'macro_majority': 0.6949891067538128, 'binary_majority': 0.5370370370370371, 'run_time_millis': 2651.6355459971237, 'loss_mean': 0.2227543443441391}
Epoch 7 **** Loss 0.013456488959491253 **** Metrics validation: {'accuracy': 0.8586309523809523, 'f1_weighted': 0.8684604818544391, 'macro': 0.7533830636282512, 'micro': 0.8586309523809523, 'binary': 0.592274678111588, 'accuracy_majority': 0.7767857142857143, 'macro_majority': 0.6949891067538128, 'binary_majority': 0.5370370370370371, 'run_time_millis': 2657.1947150005144, 'loss_mean': 0.23034602403640747}
Epoch 8 **** Loss 0.042508117854595184 **** Metrics validation: {'accuracy': 0.8571428571428571, 'f1_weighted': 0.8663134425642505, 'macro': 0.7473436857461766, 'micro': 0.8571428571428571, 'binary': 0.5807860262008733, 'accuracy_majority': 0.7767857142857143, 'macro_majority': 0.6910515281915481, 'binary_majority': 0.5283018867924529, 'run_time_millis': 2652.474233000248, 'loss_mean': 0.25742876529693604}
Epoch 9 **** Loss 0.02773403190076351 **** Metrics validation: {'accuracy': 0.8601190476190477, 'f1_weighted': 0.8696619059432258, 'macro': 0.7551476060530885, 'micro': 0.8601190476190477, 'binary': 0.5948275862068965, 'accuracy_majority': 0.78125, 'macro_majority': 0.6991805300517993, 'binary_majority': 0.5420560747663552, 'run_time_millis': 2300.88647800585, 'loss_mean': 0.2434297800064087}
Evaluating
{'accuracy': 0.8668154761904762, 'f1_weighted': 0.8743288911478447, 'macro': 0.7598387584641324, 'micro': 0.8668154761904762, 'binary': 0.5995525727069351, 'accuracy_majority': 0.7767857142857143, 'macro_majority': 0.6949891067538128, 'binary_majority': 0.5370370370370371, 'run_time_millis': 2648.1025560060516, 'loss_mean': 0.2227543443441391}
