Device cuda
Split type sit
Training Size: 4032, NTA labels 3544, YTA labels 488
Validation Size: 1344, NTA labels 1152, YTA labels 192
Test Size: 1344, NTA labels 1155, YTA labels 189
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 1260
Epoch 0 **** Loss 0.14041326940059662 **** Metrics validation: {'accuracy': 0.7514880952380952, 'f1_weighted': 0.7871942436993289, 'macro': 0.6706027385197904, 'micro': 0.7514880952380953, 'binary': 0.5073746312684365, 'accuracy_majority': 0.7857142857142857, 'macro_majority': 0.7208142916493561, 'binary_majority': 0.5862068965517241, 'run_time_millis': 2571.1404340108857, 'loss_mean': 0.11106070131063461}
Epoch 1 **** Loss 0.08361565321683884 **** Metrics validation: {'accuracy': 0.7172619047619048, 'f1_weighted': 0.7594091545311057, 'macro': 0.6451115280383573, 'micro': 0.7172619047619048, 'binary': 0.48509485094850946, 'accuracy_majority': 0.7410714285714286, 'macro_majority': 0.6797791580400276, 'binary_majority': 0.5396825396825397, 'run_time_millis': 2572.879066981841, 'loss_mean': 0.11348655074834824}
Epoch 2 **** Loss 0.04596158489584923 **** Metrics validation: {'accuracy': 0.7589285714285714, 'f1_weighted': 0.7905960071890028, 'macro': 0.6572594355661339, 'micro': 0.7589285714285714, 'binary': 0.47058823529411753, 'accuracy_majority': 0.78125, 'macro_majority': 0.6952380952380952, 'binary_majority': 0.5333333333333333, 'run_time_millis': 2164.8730920278467, 'loss_mean': 0.12286890298128128}
Epoch 3 **** Loss 0.06236071139574051 **** Metrics validation: {'accuracy': 0.7276785714285714, 'f1_weighted': 0.7675560424805138, 'macro': 0.6471712242104991, 'micro': 0.7276785714285714, 'binary': 0.4786324786324786, 'accuracy_majority': 0.7410714285714286, 'macro_majority': 0.6699186991869919, 'binary_majority': 0.5166666666666666, 'run_time_millis': 2567.2947100247256, 'loss_mean': 0.12500841915607452}
Epoch 4 **** Loss 0.07023487240076065 **** Metrics validation: {'accuracy': 0.7663690476190477, 'f1_weighted': 0.797059093386873, 'macro': 0.6678378480486606, 'micro': 0.7663690476190478, 'binary': 0.48692810457516345, 'accuracy_majority': 0.78125, 'macro_majority': 0.6952380952380952, 'binary_majority': 0.5333333333333333, 'run_time_millis': 2572.008185030427, 'loss_mean': 0.14278385043144226}
Epoch 5 **** Loss 0.060542721301317215 **** Metrics validation: {'accuracy': 0.7306547619047619, 'f1_weighted': 0.7697536045362131, 'macro': 0.6470905688296992, 'micro': 0.7306547619047619, 'binary': 0.4753623188405797, 'accuracy_majority': 0.7410714285714286, 'macro_majority': 0.6663585002568053, 'binary_majority': 0.5084745762711865, 'run_time_millis': 2584.90893203998, 'loss_mean': 0.1230444684624672}
Epoch 6 **** Loss 0.06609852612018585 **** Metrics validation: {'accuracy': 0.7336309523809523, 'f1_weighted': 0.7721074142441934, 'macro': 0.6489827362818223, 'micro': 0.7336309523809524, 'binary': 0.476608187134503, 'accuracy_majority': 0.7455357142857143, 'macro_majority': 0.6703075373770238, 'binary_majority': 0.5128205128205128, 'run_time_millis': 2560.3392950142734, 'loss_mean': 0.12378885596990585}
Epoch 7 **** Loss 0.052121780812740326 **** Metrics validation: {'accuracy': 0.7559523809523809, 'f1_weighted': 0.7893160574391954, 'macro': 0.6622163374894259, 'micro': 0.7559523809523809, 'binary': 0.4842767295597485, 'accuracy_majority': 0.7723214285714286, 'macro_majority': 0.6908338069335065, 'binary_majority': 0.5321100917431193, 'run_time_millis': 2594.133009959478, 'loss_mean': 0.1409708857536316}
Epoch 8 **** Loss 0.04424199461936951 **** Metrics validation: {'accuracy': 0.7663690476190477, 'f1_weighted': 0.7963382594417077, 'macro': 0.6631417624521072, 'micro': 0.7663690476190478, 'binary': 0.4766666666666666, 'accuracy_majority': 0.78125, 'macro_majority': 0.6911214295764738, 'binary_majority': 0.5242718446601942, 'run_time_millis': 2636.2911079777405, 'loss_mean': 0.15813924372196198}
Epoch 9 **** Loss 0.07833748310804367 **** Metrics validation: {'accuracy': 0.7663690476190477, 'f1_weighted': 0.7963382594417077, 'macro': 0.6631417624521072, 'micro': 0.7663690476190478, 'binary': 0.4766666666666666, 'accuracy_majority': 0.78125, 'macro_majority': 0.6911214295764738, 'binary_majority': 0.5242718446601942, 'run_time_millis': 2576.852222031448, 'loss_mean': 0.16145500540733337}
Evaluating
{'accuracy': 0.7663690476190477, 'f1_weighted': 0.797059093386873, 'macro': 0.6678378480486606, 'micro': 0.7663690476190478, 'binary': 0.48692810457516345, 'accuracy_majority': 0.78125, 'macro_majority': 0.6952380952380952, 'binary_majority': 0.5333333333333333, 'run_time_millis': 2615.1806180132553, 'loss_mean': 0.14278385043144226}
