Device cuda
Split type sit
Training Size: 4032, NTA labels 4032, YTA labels 0
Validation Size: 1344, NTA labels 1344, YTA labels 0
Test Size: 1344, NTA labels 1344, YTA labels 0
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 1260
Epoch 0 **** Loss 7.390978862531483e-05 **** Metrics validation: {'accuracy': 1.0, 'f1_weighted': 1.0, 'macro': 1.0, 'micro': 1.0, 'binary': 0.0, 'accuracy_majority': 1.0, 'macro_majority': 1.0, 'binary_majority': 0.0, 'run_time_millis': 2619.299090001732, 'loss_mean': 3.467956048552878e-05}
Epoch 1 **** Loss 5.18657143402379e-05 **** Metrics validation: {'accuracy': 1.0, 'f1_weighted': 1.0, 'macro': 1.0, 'micro': 1.0, 'binary': 0.0, 'accuracy_majority': 1.0, 'macro_majority': 1.0, 'binary_majority': 0.0, 'run_time_millis': 2647.064611897804, 'loss_mean': 1.6960888387984596e-05}
Epoch 2 **** Loss 2.7129666705150157e-05 **** Metrics validation: {'accuracy': 1.0, 'f1_weighted': 1.0, 'macro': 1.0, 'micro': 1.0, 'binary': 0.0, 'accuracy_majority': 1.0, 'macro_majority': 1.0, 'binary_majority': 0.0, 'run_time_millis': 2637.9057220183313, 'loss_mean': 1.0410039976704866e-05}
Epoch 3 **** Loss 2.0904377379338257e-05 **** Metrics validation: {'accuracy': 1.0, 'f1_weighted': 1.0, 'macro': 1.0, 'micro': 1.0, 'binary': 0.0, 'accuracy_majority': 1.0, 'macro_majority': 1.0, 'binary_majority': 0.0, 'run_time_millis': 2643.2185739977285, 'loss_mean': 7.270377409440698e-06}
Epoch 4 **** Loss 1.3111142834532075e-05 **** Metrics validation: {'accuracy': 1.0, 'f1_weighted': 1.0, 'macro': 1.0, 'micro': 1.0, 'binary': 0.0, 'accuracy_majority': 1.0, 'macro_majority': 1.0, 'binary_majority': 0.0, 'run_time_millis': 1922.6885000243783, 'loss_mean': 5.527518169401446e-06}
Epoch 5 **** Loss 1.366191736451583e-05 **** Metrics validation: {'accuracy': 1.0, 'f1_weighted': 1.0, 'macro': 1.0, 'micro': 1.0, 'binary': 0.0, 'accuracy_majority': 1.0, 'macro_majority': 1.0, 'binary_majority': 0.0, 'run_time_millis': 2638.594477903098, 'loss_mean': 4.5057890929456335e-06}
Epoch 6 **** Loss 1.036605863191653e-05 **** Metrics validation: {'accuracy': 1.0, 'f1_weighted': 1.0, 'macro': 1.0, 'micro': 1.0, 'binary': 0.0, 'accuracy_majority': 1.0, 'macro_majority': 1.0, 'binary_majority': 0.0, 'run_time_millis': 2638.839421910234, 'loss_mean': 3.871827630064217e-06}
Epoch 7 **** Loss 1.4947288946132176e-05 **** Metrics validation: {'accuracy': 1.0, 'f1_weighted': 1.0, 'macro': 1.0, 'micro': 1.0, 'binary': 0.0, 'accuracy_majority': 1.0, 'macro_majority': 1.0, 'binary_majority': 0.0, 'run_time_millis': 2624.65015205089, 'loss_mean': 3.4705756206676597e-06}
Epoch 8 **** Loss 1.1263931810390204e-05 **** Metrics validation: {'accuracy': 1.0, 'f1_weighted': 1.0, 'macro': 1.0, 'micro': 1.0, 'binary': 0.0, 'accuracy_majority': 1.0, 'macro_majority': 1.0, 'binary_majority': 0.0, 'run_time_millis': 2647.867300081998, 'loss_mean': 3.2501702662557364e-06}
Epoch 9 **** Loss 1.119013631978305e-05 **** Metrics validation: {'accuracy': 1.0, 'f1_weighted': 1.0, 'macro': 1.0, 'micro': 1.0, 'binary': 0.0, 'accuracy_majority': 1.0, 'macro_majority': 1.0, 'binary_majority': 0.0, 'run_time_millis': 2656.353172962554, 'loss_mean': 3.1747365483170142e-06}
Evaluating
{'accuracy': 1.0, 'f1_weighted': 1.0, 'macro': 1.0, 'micro': 1.0, 'binary': 0.0, 'accuracy_majority': 1.0, 'macro_majority': 1.0, 'binary_majority': 0.0, 'run_time_millis': 2626.922194031067, 'loss_mean': 3.467956048552878e-05}
