Device cuda
Split type sit
Training Size: 837, NTA labels 777, YTA labels 60
Validation Size: 252, NTA labels 231, YTA labels 21
Test Size: 252, NTA labels 243, YTA labels 9
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 270
Epoch 0 **** Loss 0.005646517965942621 **** Metrics validation: {'accuracy': 0.7103174603174603, 'f1_weighted': 0.7750228217489382, 'macro': 0.5836407668107643, 'micro': 0.7103174603174603, 'binary': 0.3539823008849557, 'accuracy_majority': 0.7103174603174603, 'macro_majority': 0.5836407668107643, 'binary_majority': 0.3539823008849557, 'run_time_millis': 211.58967800010942, 'loss_mean': 0.0580202080309391}
Epoch 1 **** Loss 0.02645164728164673 **** Metrics validation: {'accuracy': 0.9206349206349206, 'f1_weighted': 0.9301582392660172, 'macro': 0.8051646822328746, 'micro': 0.9206349206349206, 'binary': 0.6551724137931034, 'accuracy_majority': 0.9206349206349206, 'macro_majority': 0.8051646822328746, 'binary_majority': 0.6551724137931034, 'run_time_millis': 211.01050900006157, 'loss_mean': 0.05066540837287903}
Epoch 2 **** Loss 0.0380573645234108 **** Metrics validation: {'accuracy': 0.9047619047619048, 'f1_weighted': 0.9171171171171171, 'macro': 0.772972972972973, 'micro': 0.9047619047619048, 'binary': 0.6, 'accuracy_majority': 0.9047619047619048, 'macro_majority': 0.772972972972973, 'binary_majority': 0.6, 'run_time_millis': 216.16576899987194, 'loss_mean': 0.054897673428058624}
Epoch 3 **** Loss 0.00037393049569800496 **** Metrics validation: {'accuracy': 0.9404761904761905, 'f1_weighted': 0.9433167279668513, 'macro': 0.8240141533590949, 'micro': 0.9404761904761905, 'binary': 0.6808510638297872, 'accuracy_majority': 0.9404761904761905, 'macro_majority': 0.8240141533590949, 'binary_majority': 0.6808510638297872, 'run_time_millis': 211.4478869998493, 'loss_mean': 0.09619219601154327}
Epoch 4 **** Loss 0.0768900215625763 **** Metrics validation: {'accuracy': 0.9365079365079365, 'f1_weighted': 0.9419105967778535, 'macro': 0.8284547311095984, 'micro': 0.9365079365079365, 'binary': 0.6923076923076923, 'accuracy_majority': 0.9365079365079365, 'macro_majority': 0.8284547311095984, 'binary_majority': 0.6923076923076923, 'run_time_millis': 211.6043080000054, 'loss_mean': 0.0760895237326622}
Epoch 5 **** Loss 0.0030280589126050472 **** Metrics validation: {'accuracy': 0.9404761904761905, 'f1_weighted': 0.9433167279668513, 'macro': 0.8240141533590949, 'micro': 0.9404761904761905, 'binary': 0.6808510638297872, 'accuracy_majority': 0.9404761904761905, 'macro_majority': 0.8240141533590949, 'binary_majority': 0.6808510638297872, 'run_time_millis': 264.4241539996983, 'loss_mean': 0.08873706310987473}
Epoch 6 **** Loss 5.9875426813960075e-05 **** Metrics validation: {'accuracy': 0.9523809523809523, 'f1_weighted': 0.9533596837944663, 'macro': 0.850592885375494, 'micro': 0.9523809523809523, 'binary': 0.7272727272727272, 'accuracy_majority': 0.9523809523809523, 'macro_majority': 0.850592885375494, 'binary_majority': 0.7272727272727272, 'run_time_millis': 209.7232700002678, 'loss_mean': 0.10015112906694412}
Epoch 7 **** Loss 0.00010244548320770264 **** Metrics validation: {'accuracy': 0.9523809523809523, 'f1_weighted': 0.9533596837944663, 'macro': 0.850592885375494, 'micro': 0.9523809523809523, 'binary': 0.7272727272727272, 'accuracy_majority': 0.9523809523809523, 'macro_majority': 0.850592885375494, 'binary_majority': 0.7272727272727272, 'run_time_millis': 522.8942979997555, 'loss_mean': 0.1048668920993805}
Epoch 8 **** Loss 9.762779518496245e-05 **** Metrics validation: {'accuracy': 0.9523809523809523, 'f1_weighted': 0.9533596837944663, 'macro': 0.850592885375494, 'micro': 0.9523809523809523, 'binary': 0.7272727272727272, 'accuracy_majority': 0.9523809523809523, 'macro_majority': 0.850592885375494, 'binary_majority': 0.7272727272727272, 'run_time_millis': 2232.3495079999702, 'loss_mean': 0.12053561210632324}
Epoch 9 **** Loss 0.00011555134551599622 **** Metrics validation: {'accuracy': 0.9523809523809523, 'f1_weighted': 0.9533596837944663, 'macro': 0.850592885375494, 'micro': 0.9523809523809523, 'binary': 0.7272727272727272, 'accuracy_majority': 0.9523809523809523, 'macro_majority': 0.850592885375494, 'binary_majority': 0.7272727272727272, 'run_time_millis': 1949.0078649996576, 'loss_mean': 0.1239805817604065}
Evaluating
{'accuracy': 0.9523809523809523, 'f1_weighted': 0.9533596837944663, 'macro': 0.850592885375494, 'micro': 0.9523809523809523, 'binary': 0.7272727272727272, 'accuracy_majority': 0.9523809523809523, 'macro_majority': 0.850592885375494, 'binary_majority': 0.7272727272727272, 'run_time_millis': 1117.676511999889, 'loss_mean': 0.10015112906694412}
