Device cuda
Split type sit
Training Size: 1033, NTA labels 882, YTA labels 151
Validation Size: 327, NTA labels 274, YTA labels 53
Test Size: 331, NTA labels 279, YTA labels 52
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 330
Epoch 0 **** Loss 0.10291939973831177 **** Metrics validation: {'accuracy': 0.8532110091743119, 'f1_weighted': 0.8683326052133391, 'macro': 0.7923809523809524, 'micro': 0.8532110091743119, 'binary': 0.68, 'accuracy_majority': 0.8532110091743119, 'macro_majority': 0.7923809523809524, 'binary_majority': 0.68, 'run_time_millis': 2364.4261220033513, 'loss_mean': 0.07437599450349808}
Epoch 1 **** Loss 0.0337168425321579 **** Metrics validation: {'accuracy': 0.9418960244648318, 'f1_weighted': 0.9452684714682945, 'macro': 0.9060415879017014, 'micro': 0.9418960244648318, 'binary': 0.8480000000000001, 'accuracy_majority': 0.9418960244648318, 'macro_majority': 0.9060415879017014, 'binary_majority': 0.8480000000000001, 'run_time_millis': 2358.7027710018447, 'loss_mean': 0.03530074656009674}
Epoch 2 **** Loss 0.006891300436109304 **** Metrics validation: {'accuracy': 0.9510703363914373, 'f1_weighted': 0.9535430545079798, 'macro': 0.9193886355232344, 'micro': 0.9510703363914372, 'binary': 0.8688524590163935, 'accuracy_majority': 0.9510703363914373, 'macro_majority': 0.9193886355232344, 'binary_majority': 0.8688524590163935, 'run_time_millis': 2363.026439998066, 'loss_mean': 0.032190509140491486}
Epoch 3 **** Loss 0.011169717647135258 **** Metrics validation: {'accuracy': 0.963302752293578, 'f1_weighted': 0.9635753305478074, 'macro': 0.9334554334554335, 'micro': 0.963302752293578, 'binary': 0.8888888888888888, 'accuracy_majority': 0.963302752293578, 'macro_majority': 0.9334554334554335, 'binary_majority': 0.8888888888888888, 'run_time_millis': 2360.912117001135, 'loss_mean': 0.04322392866015434}
Epoch 4 **** Loss 0.0003844160819426179 **** Metrics validation: {'accuracy': 0.9571865443425076, 'f1_weighted': 0.9557470668288436, 'macro': 0.9159815005138746, 'micro': 0.9571865443425076, 'binary': 0.8571428571428572, 'accuracy_majority': 0.9571865443425076, 'macro_majority': 0.9159815005138746, 'binary_majority': 0.8571428571428572, 'run_time_millis': 2370.147554000141, 'loss_mean': 0.1257030963897705}
Epoch 5 **** Loss 0.0005249078385531902 **** Metrics validation: {'accuracy': 0.963302752293578, 'f1_weighted': 0.9640825929884462, 'macro': 0.9353584607274643, 'micro': 0.963302752293578, 'binary': 0.8928571428571428, 'accuracy_majority': 0.963302752293578, 'macro_majority': 0.9353584607274643, 'binary_majority': 0.8928571428571428, 'run_time_millis': 2368.992735995562, 'loss_mean': 0.03482700511813164}
Epoch 6 **** Loss 0.00018543608894106 **** Metrics validation: {'accuracy': 0.9571865443425076, 'f1_weighted': 0.9557470668288436, 'macro': 0.9159815005138746, 'micro': 0.9571865443425076, 'binary': 0.8571428571428572, 'accuracy_majority': 0.9571865443425076, 'macro_majority': 0.9159815005138746, 'binary_majority': 0.8571428571428572, 'run_time_millis': 2377.7217750030104, 'loss_mean': 0.09156046062707901}
Epoch 7 **** Loss 0.0002143762249033898 **** Metrics validation: {'accuracy': 0.9694189602446484, 'f1_weighted': 0.9689301328828299, 'macro': 0.94192242114237, 'micro': 0.9694189602446482, 'binary': 0.9019607843137256, 'accuracy_majority': 0.9694189602446484, 'macro_majority': 0.94192242114237, 'binary_majority': 0.9019607843137256, 'run_time_millis': 2172.202194997226, 'loss_mean': 0.06947237253189087}
Epoch 8 **** Loss 0.00012410747876856476 **** Metrics validation: {'accuracy': 0.9694189602446484, 'f1_weighted': 0.9689301328828299, 'macro': 0.94192242114237, 'micro': 0.9694189602446482, 'binary': 0.9019607843137256, 'accuracy_majority': 0.9694189602446484, 'macro_majority': 0.94192242114237, 'binary_majority': 0.9019607843137256, 'run_time_millis': 1909.974977003003, 'loss_mean': 0.07146792858839035}
Epoch 9 **** Loss 0.0012159973848611116 **** Metrics validation: {'accuracy': 0.9694189602446484, 'f1_weighted': 0.9689301328828299, 'macro': 0.94192242114237, 'micro': 0.9694189602446482, 'binary': 0.9019607843137256, 'accuracy_majority': 0.9694189602446484, 'macro_majority': 0.94192242114237, 'binary_majority': 0.9019607843137256, 'run_time_millis': 2364.417381999374, 'loss_mean': 0.07374370843172073}
Evaluating
{'accuracy': 0.9694189602446484, 'f1_weighted': 0.9689301328828299, 'macro': 0.94192242114237, 'micro': 0.9694189602446482, 'binary': 0.9019607843137256, 'accuracy_majority': 0.9694189602446484, 'macro_majority': 0.94192242114237, 'binary_majority': 0.9019607843137256, 'run_time_millis': 2361.7435899941484, 'loss_mean': 0.06947237253189087}
