Device cuda
Split type sit
Training Size: 43178, NTA labels 30212, YTA labels 12966
Validation Size: 14702, NTA labels 10542, YTA labels 4160
Test Size: 15598, NTA labels 10990, YTA labels 4608
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 13500
Epoch 0 **** Loss 0.25381097197532654 **** Metrics validation: {'accuracy': 0.7170452999591892, 'f1_weighted': 0.5988822335739007, 'macro': 0.41760418317223896, 'micro': 0.7170452999591892, 'binary': 0.0, 'accuracy_majority': 0.714372902044553, 'macro_majority': 0.41669633321466715, 'binary_majority': 0.0, 'run_time_millis': 53197.41506900027, 'loss_mean': 0.3746155798435211}
Epoch 1 **** Loss 0.3781181871891022 **** Metrics validation: {'accuracy': 0.7170452999591892, 'f1_weighted': 0.5988822335739007, 'macro': 0.41760418317223896, 'micro': 0.7170452999591892, 'binary': 0.0, 'accuracy_majority': 0.714372902044553, 'macro_majority': 0.41669633321466715, 'binary_majority': 0.0, 'run_time_millis': 53134.839735999776, 'loss_mean': 0.3370562791824341}
Epoch 2 **** Loss 0.2100410759449005 **** Metrics validation: {'accuracy': 0.7170452999591892, 'f1_weighted': 0.5988822335739007, 'macro': 0.41760418317223896, 'micro': 0.7170452999591892, 'binary': 0.0, 'accuracy_majority': 0.714372902044553, 'macro_majority': 0.41669633321466715, 'binary_majority': 0.0, 'run_time_millis': 53147.901213000296, 'loss_mean': 0.3320154547691345}
Epoch 3 **** Loss 0.3238186240196228 **** Metrics validation: {'accuracy': 0.7170452999591892, 'f1_weighted': 0.5988822335739007, 'macro': 0.41760418317223896, 'micro': 0.7170452999591892, 'binary': 0.0, 'accuracy_majority': 0.714372902044553, 'macro_majority': 0.41669633321466715, 'binary_majority': 0.0, 'run_time_millis': 54902.953536002315, 'loss_mean': 0.3217744827270508}
Epoch 4 **** Loss 0.34039682149887085 **** Metrics validation: {'accuracy': 0.7170452999591892, 'f1_weighted': 0.5988822335739007, 'macro': 0.41760418317223896, 'micro': 0.7170452999591892, 'binary': 0.0, 'accuracy_majority': 0.714372902044553, 'macro_majority': 0.41669633321466715, 'binary_majority': 0.0, 'run_time_millis': 54878.6482530013, 'loss_mean': 0.3127707839012146}
Epoch 5 **** Loss 0.2683943808078766 **** Metrics validation: {'accuracy': 0.7170452999591892, 'f1_weighted': 0.5988822335739007, 'macro': 0.41760418317223896, 'micro': 0.7170452999591892, 'binary': 0.0, 'accuracy_majority': 0.714372902044553, 'macro_majority': 0.41669633321466715, 'binary_majority': 0.0, 'run_time_millis': 54834.56253899931, 'loss_mean': 0.32137608528137207}
Epoch 6 **** Loss 0.30479902029037476 **** Metrics validation: {'accuracy': 0.7170452999591892, 'f1_weighted': 0.5988822335739007, 'macro': 0.41760418317223896, 'micro': 0.7170452999591892, 'binary': 0.0, 'accuracy_majority': 0.714372902044553, 'macro_majority': 0.41669633321466715, 'binary_majority': 0.0, 'run_time_millis': 54837.1871010022, 'loss_mean': 0.30931776762008667}
Epoch 7 **** Loss 0.30991989374160767 **** Metrics validation: {'accuracy': 0.7170452999591892, 'f1_weighted': 0.5988822335739007, 'macro': 0.41760418317223896, 'micro': 0.7170452999591892, 'binary': 0.0, 'accuracy_majority': 0.714372902044553, 'macro_majority': 0.41669633321466715, 'binary_majority': 0.0, 'run_time_millis': 52731.771872000536, 'loss_mean': 0.3144557774066925}
Epoch 8 **** Loss 0.18977434933185577 **** Metrics validation: {'accuracy': 0.6563052645898517, 'f1_weighted': 0.6374462836753101, 'macro': 0.5335998503736669, 'micro': 0.6563052645898517, 'binary': 0.29437229437229434, 'accuracy_majority': 0.6634116570033567, 'macro_majority': 0.543408188315569, 'binary_majority': 0.3093299937382592, 'run_time_millis': 52714.631428003486, 'loss_mean': 0.37380972504615784}
Epoch 9 **** Loss 0.2257317304611206 **** Metrics validation: {'accuracy': 0.6594340905999184, 'f1_weighted': 0.6441294482049174, 'macro': 0.5451687311178892, 'micro': 0.6594340905999184, 'binary': 0.3171962361925542, 'accuracy_majority': 0.652731156545621, 'macro_majority': 0.5380069969920862, 'binary_majority': 0.3077858880778589, 'run_time_millis': 52706.13902299374, 'loss_mean': 0.4709652364253998}
Evaluating
{'accuracy': 0.6594340905999184, 'f1_weighted': 0.6441294482049174, 'macro': 0.5451687311178892, 'micro': 0.6594340905999184, 'binary': 0.3171962361925542, 'accuracy_majority': 0.652731156545621, 'macro_majority': 0.5380069969920862, 'binary_majority': 0.3077858880778589, 'run_time_millis': 52773.9572329956, 'loss_mean': 0.4709652364253998}
