Device cuda
Split type sit
Training Size: 9866, NTA labels 6888, YTA labels 2978
Validation Size: 3192, NTA labels 2344, YTA labels 848
Test Size: 3476, NTA labels 2527, YTA labels 949
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 3090
Epoch 0 **** Loss 0.35621577501296997 **** Metrics validation: {'accuracy': 0.7343358395989975, 'f1_weighted': 0.62185086994944, 'macro': 0.4234104046242774, 'micro': 0.7343358395989975, 'binary': 0.0, 'accuracy_majority': 0.7147007553747821, 'macro_majority': 0.41680786174178247, 'binary_majority': 0.0, 'run_time_millis': 12558.787173009478, 'loss_mean': 0.29113584756851196}
Epoch 1 **** Loss 0.21496815979480743 **** Metrics validation: {'accuracy': 0.7362155388471178, 'f1_weighted': 0.6564776081974263, 'macro': 0.49079990784751193, 'micro': 0.7362155388471177, 'binary': 0.13729508196721313, 'accuracy_majority': 0.7181871005229518, 'macro_majority': 0.4850411227995708, 'binary_majority': 0.13854351687388985, 'run_time_millis': 13097.446086001582, 'loss_mean': 0.2848876118659973}
Epoch 2 **** Loss 0.34176355600357056 **** Metrics validation: {'accuracy': 0.7343358395989975, 'f1_weighted': 0.62185086994944, 'macro': 0.4234104046242774, 'micro': 0.7343358395989975, 'binary': 0.0, 'accuracy_majority': 0.7147007553747821, 'macro_majority': 0.41680786174178247, 'binary_majority': 0.0, 'run_time_millis': 11513.430058956146, 'loss_mean': 0.2888537645339966}
Epoch 3 **** Loss 0.35458317399024963 **** Metrics validation: {'accuracy': 0.7343358395989975, 'f1_weighted': 0.62185086994944, 'macro': 0.4234104046242774, 'micro': 0.7343358395989975, 'binary': 0.0, 'accuracy_majority': 0.7147007553747821, 'macro_majority': 0.41680786174178247, 'binary_majority': 0.0, 'run_time_millis': 11549.659349024296, 'loss_mean': 0.29140108823776245}
Epoch 4 **** Loss 0.3265751898288727 **** Metrics validation: {'accuracy': 0.7343358395989975, 'f1_weighted': 0.62185086994944, 'macro': 0.4234104046242774, 'micro': 0.7343358395989975, 'binary': 0.0, 'accuracy_majority': 0.7147007553747821, 'macro_majority': 0.41680786174178247, 'binary_majority': 0.0, 'run_time_millis': 13517.10836798884, 'loss_mean': 0.2934306859970093}
Epoch 5 **** Loss 0.3285634517669678 **** Metrics validation: {'accuracy': 0.7343358395989975, 'f1_weighted': 0.62185086994944, 'macro': 0.4234104046242774, 'micro': 0.7343358395989975, 'binary': 0.0, 'accuracy_majority': 0.7147007553747821, 'macro_majority': 0.41680786174178247, 'binary_majority': 0.0, 'run_time_millis': 11503.497543977574, 'loss_mean': 0.29057449102401733}
Epoch 6 **** Loss 0.2716078758239746 **** Metrics validation: {'accuracy': 0.7343358395989975, 'f1_weighted': 0.62185086994944, 'macro': 0.4234104046242774, 'micro': 0.7343358395989975, 'binary': 0.0, 'accuracy_majority': 0.7147007553747821, 'macro_majority': 0.41680786174178247, 'binary_majority': 0.0, 'run_time_millis': 13537.480899016373, 'loss_mean': 0.29036039113998413}
Epoch 7 **** Loss 0.30131039023399353 **** Metrics validation: {'accuracy': 0.7343358395989975, 'f1_weighted': 0.62185086994944, 'macro': 0.4234104046242774, 'micro': 0.7343358395989975, 'binary': 0.0, 'accuracy_majority': 0.7147007553747821, 'macro_majority': 0.41680786174178247, 'binary_majority': 0.0, 'run_time_millis': 11501.388750970364, 'loss_mean': 0.2902545630931854}
Epoch 8 **** Loss 0.30271145701408386 **** Metrics validation: {'accuracy': 0.7343358395989975, 'f1_weighted': 0.62185086994944, 'macro': 0.4234104046242774, 'micro': 0.7343358395989975, 'binary': 0.0, 'accuracy_majority': 0.7147007553747821, 'macro_majority': 0.41680786174178247, 'binary_majority': 0.0, 'run_time_millis': 11564.143134048209, 'loss_mean': 0.29006844758987427}
Epoch 9 **** Loss 0.36275574564933777 **** Metrics validation: {'accuracy': 0.7343358395989975, 'f1_weighted': 0.62185086994944, 'macro': 0.4234104046242774, 'micro': 0.7343358395989975, 'binary': 0.0, 'accuracy_majority': 0.7147007553747821, 'macro_majority': 0.41680786174178247, 'binary_majority': 0.0, 'run_time_millis': 13536.500357906334, 'loss_mean': 0.2903328537940979}
Evaluating
{'accuracy': 0.7362155388471178, 'f1_weighted': 0.6564776081974263, 'macro': 0.49079990784751193, 'micro': 0.7362155388471177, 'binary': 0.13729508196721313, 'accuracy_majority': 0.7181871005229518, 'macro_majority': 0.4850411227995708, 'binary_majority': 0.13854351687388985, 'run_time_millis': 11534.01647193823, 'loss_mean': 0.2848876118659973}
