Device cuda
Split type sit
Training Size: 1620, NTA labels 1435, YTA labels 185
Validation Size: 524, NTA labels 477, YTA labels 47
Test Size: 529, NTA labels 472, YTA labels 57
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 510
Epoch 0 **** Loss 0.04706842452287674 **** Metrics validation: {'accuracy': 0.8797709923664122, 'f1_weighted': 0.8971148500607402, 'macro': 0.7449136498860256, 'micro': 0.8797709923664122, 'binary': 0.5594405594405595, 'accuracy_majority': 0.8827751196172249, 'macro_majority': 0.7632549268912905, 'binary_majority': 0.5950413223140496, 'run_time_millis': 2489.285885822028, 'loss_mean': 0.05532359331846237}
Epoch 1 **** Loss 0.040234070271253586 **** Metrics validation: {'accuracy': 0.9274809160305344, 'f1_weighted': 0.9316411912968678, 'macro': 0.8038613081166273, 'micro': 0.9274809160305344, 'binary': 0.6481481481481481, 'accuracy_majority': 0.930622009569378, 'macro_majority': 0.8245705437126443, 'binary_majority': 0.6881720430107526, 'run_time_millis': 1978.8813879713416, 'loss_mean': 0.04697272926568985}
Epoch 2 **** Loss 0.01806005649268627 **** Metrics validation: {'accuracy': 0.9274809160305344, 'f1_weighted': 0.9330658035972125, 'macro': 0.8129907209136331, 'micro': 0.9274809160305344, 'binary': 0.6666666666666666, 'accuracy_majority': 0.9330143540669856, 'macro_majority': 0.8352477477477478, 'binary_majority': 0.7083333333333334, 'run_time_millis': 1838.1172958761454, 'loss_mean': 0.05777878314256668}
Epoch 3 **** Loss 0.029950464144349098 **** Metrics validation: {'accuracy': 0.9312977099236641, 'f1_weighted': 0.9357082930741356, 'macro': 0.8171738709052142, 'micro': 0.931297709923664, 'binary': 0.6727272727272727, 'accuracy_majority': 0.9354066985645934, 'macro_majority': 0.8366691269048756, 'binary_majority': 0.7096774193548386, 'run_time_millis': 2027.2375331260264, 'loss_mean': 0.07589748501777649}
Epoch 4 **** Loss 0.06425724178552628 **** Metrics validation: {'accuracy': 0.9236641221374046, 'f1_weighted': 0.9295429511549604, 'macro': 0.8031481272775086, 'micro': 0.9236641221374046, 'binary': 0.649122807017544, 'accuracy_majority': 0.9258373205741627, 'macro_majority': 0.819231895986496, 'binary_majority': 0.6804123711340206, 'run_time_millis': 555.8760170824826, 'loss_mean': 0.09300273656845093}
Epoch 5 **** Loss 0.025196129456162453 **** Metrics validation: {'accuracy': 0.9255725190839694, 'f1_weighted': 0.9305967515251653, 'macro': 0.8035132250713894, 'micro': 0.9255725190839694, 'binary': 0.6486486486486486, 'accuracy_majority': 0.9282296650717703, 'macro_majority': 0.820209898491713, 'binary_majority': 0.6808510638297872, 'run_time_millis': 1266.3849932141602, 'loss_mean': 0.10021205246448517}
Epoch 6 **** Loss 0.003703879890963435 **** Metrics validation: {'accuracy': 0.9255725190839694, 'f1_weighted': 0.9310734816363643, 'macro': 0.806578013345322, 'micro': 0.9255725190839694, 'binary': 0.6548672566371682, 'accuracy_majority': 0.9282296650717703, 'macro_majority': 0.8234797297297297, 'binary_majority': 0.6875, 'run_time_millis': 1528.4082288853824, 'loss_mean': 0.11199456453323364}
Epoch 7 **** Loss 0.022212641313672066 **** Metrics validation: {'accuracy': 0.9312977099236641, 'f1_weighted': 0.9357082930741356, 'macro': 0.8171738709052142, 'micro': 0.931297709923664, 'binary': 0.6727272727272727, 'accuracy_majority': 0.9354066985645934, 'macro_majority': 0.8366691269048756, 'binary_majority': 0.7096774193548386, 'run_time_millis': 882.0265321992338, 'loss_mean': 0.13593237102031708}
Epoch 8 **** Loss 0.004115347284823656 **** Metrics validation: {'accuracy': 0.933206106870229, 'f1_weighted': 0.9372685193990057, 'macro': 0.8208126935740736, 'micro': 0.933206106870229, 'binary': 0.6788990825688074, 'accuracy_majority': 0.937799043062201, 'macro_majority': 0.8412225338943431, 'binary_majority': 0.7173913043478259, 'run_time_millis': 970.9439007565379, 'loss_mean': 0.14578847587108612}
Epoch 9 **** Loss 0.0019264466827735305 **** Metrics validation: {'accuracy': 0.933206106870229, 'f1_weighted': 0.9372685193990057, 'macro': 0.8208126935740736, 'micro': 0.933206106870229, 'binary': 0.6788990825688074, 'accuracy_majority': 0.937799043062201, 'macro_majority': 0.8412225338943431, 'binary_majority': 0.7173913043478259, 'run_time_millis': 2483.308740425855, 'loss_mean': 0.1458938717842102}
Evaluating
{'accuracy': 0.933206106870229, 'f1_weighted': 0.9372685193990057, 'macro': 0.8208126935740736, 'micro': 0.933206106870229, 'binary': 0.6788990825688074, 'accuracy_majority': 0.937799043062201, 'macro_majority': 0.8412225338943431, 'binary_majority': 0.7173913043478259, 'run_time_millis': 456.65045781061053, 'loss_mean': 0.14578847587108612}
