Device cuda
Split type sit
Training Size: 4143, NTA labels 3013, YTA labels 1130
Validation Size: 1353, NTA labels 992, YTA labels 361
Test Size: 1616, NTA labels 1202, YTA labels 414
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 1300
Epoch 0 **** Loss 0.3011208772659302 **** Metrics validation: {'accuracy': 0.5861049519586105, 'f1_weighted': 0.6047778080235774, 'macro': 0.5262273268436164, 'micro': 0.5861049519586105, 'binary': 0.35779816513761464, 'accuracy_majority': 0.5922330097087378, 'macro_majority': 0.5448847164929708, 'binary_majority': 0.3980891719745223, 'run_time_millis': 4853.834726964124, 'loss_mean': 0.278058260679245}
Epoch 1 **** Loss 0.27770689129829407 **** Metrics validation: {'accuracy': 0.7331855136733185, 'f1_weighted': 0.6203155902464239, 'macro': 0.4230277185501066, 'micro': 0.7331855136733185, 'binary': 0.0, 'accuracy_majority': 0.7108953613807982, 'macro_majority': 0.4155107187894073, 'binary_majority': 0.0, 'run_time_millis': 5292.603968060575, 'loss_mean': 0.2788054347038269}
Epoch 2 **** Loss 0.3004855513572693 **** Metrics validation: {'accuracy': 0.7331855136733185, 'f1_weighted': 0.6203155902464239, 'macro': 0.4230277185501066, 'micro': 0.7331855136733185, 'binary': 0.0, 'accuracy_majority': 0.7108953613807982, 'macro_majority': 0.4155107187894073, 'binary_majority': 0.0, 'run_time_millis': 4842.346035991795, 'loss_mean': 0.27803677320480347}
Epoch 3 **** Loss 0.23025493323802948 **** Metrics validation: {'accuracy': 0.7331855136733185, 'f1_weighted': 0.6203155902464239, 'macro': 0.4230277185501066, 'micro': 0.7331855136733185, 'binary': 0.0, 'accuracy_majority': 0.7108953613807982, 'macro_majority': 0.4155107187894073, 'binary_majority': 0.0, 'run_time_millis': 4838.201387086883, 'loss_mean': 0.2783163785934448}
Epoch 4 **** Loss 0.3867846429347992 **** Metrics validation: {'accuracy': 0.7331855136733185, 'f1_weighted': 0.6203155902464239, 'macro': 0.4230277185501066, 'micro': 0.7331855136733185, 'binary': 0.0, 'accuracy_majority': 0.7108953613807982, 'macro_majority': 0.4155107187894073, 'binary_majority': 0.0, 'run_time_millis': 6848.468536976725, 'loss_mean': 0.2775686979293823}
Epoch 5 **** Loss 0.3259219229221344 **** Metrics validation: {'accuracy': 0.7331855136733185, 'f1_weighted': 0.6308638767463236, 'macro': 0.4437190857291241, 'micro': 0.7331855136733185, 'binary': 0.042440318302387266, 'accuracy_majority': 0.7108953613807982, 'macro_majority': 0.43958096475556274, 'binary_majority': 0.04964539007092198, 'run_time_millis': 6441.601692931727, 'loss_mean': 0.2769089341163635}
Epoch 6 **** Loss 0.324192613363266 **** Metrics validation: {'accuracy': 0.7036215816703622, 'f1_weighted': 0.6809064999504231, 'macro': 0.56804652699545, 'micro': 0.7036215816703622, 'binary': 0.32605042016806723, 'accuracy_majority': 0.6882416396979504, 'macro_majority': 0.5687226832586105, 'binary_majority': 0.3416856492027335, 'run_time_millis': 4835.840129991993, 'loss_mean': 0.2764279246330261}
Epoch 7 **** Loss 0.2956598699092865 **** Metrics validation: {'accuracy': 0.7139689578713969, 'f1_weighted': 0.6780773754167644, 'macro': 0.5529525769147033, 'micro': 0.7139689578713968, 'binary': 0.2846580406654344, 'accuracy_majority': 0.7001078748651565, 'macro_majority': 0.5552867358771881, 'binary_majority': 0.30150753768844224, 'run_time_millis': 5587.1225950540975, 'loss_mean': 0.27577969431877136}
Epoch 8 **** Loss 0.34171950817108154 **** Metrics validation: {'accuracy': 0.6991869918699187, 'f1_weighted': 0.6856901679532819, 'macro': 0.5830817837195728, 'micro': 0.6991869918699187, 'binary': 0.36306729264475746, 'accuracy_majority': 0.6882416396979504, 'macro_majority': 0.5910033968169154, 'binary_majority': 0.3915789473684211, 'run_time_millis': 4830.322540947236, 'loss_mean': 0.2755245566368103}
Epoch 9 **** Loss 0.2346968799829483 **** Metrics validation: {'accuracy': 0.7036215816703622, 'f1_weighted': 0.6809064999504231, 'macro': 0.56804652699545, 'micro': 0.7036215816703622, 'binary': 0.32605042016806723, 'accuracy_majority': 0.6882416396979504, 'macro_majority': 0.5687226832586105, 'binary_majority': 0.3416856492027335, 'run_time_millis': 6863.566693966277, 'loss_mean': 0.27532583475112915}
Evaluating
{'accuracy': 0.6991869918699187, 'f1_weighted': 0.6856901679532819, 'macro': 0.5830817837195728, 'micro': 0.6991869918699187, 'binary': 0.36306729264475746, 'accuracy_majority': 0.6882416396979504, 'macro_majority': 0.5910033968169154, 'binary_majority': 0.3915789473684211, 'run_time_millis': 6854.224968003109, 'loss_mean': 0.2755245566368103}
