Device cuda
Split type sit
Training Size: 24292, NTA labels 16930, YTA labels 7362
Validation Size: 8316, NTA labels 6045, YTA labels 2271
Test Size: 8648, NTA labels 6143, YTA labels 2505
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 7600
Epoch 0 **** Loss 0.22873270511627197 **** Metrics validation: {'accuracy': 0.6438191438191438, 'f1_weighted': 0.6386285515127949, 'macro': 0.5386831670017671, 'micro': 0.6438191438191438, 'binary': 0.3184537505752416, 'accuracy_majority': 0.661841128433556, 'macro_majority': 0.5517717300125963, 'binary_majority': 0.32965415746872695, 'run_time_millis': 30052.57209399133, 'loss_mean': 0.2956845462322235}
Epoch 1 **** Loss 0.2839463949203491 **** Metrics validation: {'accuracy': 0.726911976911977, 'f1_weighted': 0.6119605738364877, 'macro': 0.42093168999373304, 'micro': 0.726911976911977, 'binary': 0.0, 'accuracy_majority': 0.7164068299925761, 'macro_majority': 0.41738754325259514, 'binary_majority': 0.0, 'run_time_millis': 30000.864247995196, 'loss_mean': 0.2971456050872803}
Epoch 2 **** Loss 0.28693288564682007 **** Metrics validation: {'accuracy': 0.726911976911977, 'f1_weighted': 0.6119605738364877, 'macro': 0.42093168999373304, 'micro': 0.726911976911977, 'binary': 0.0, 'accuracy_majority': 0.7164068299925761, 'macro_majority': 0.41738754325259514, 'binary_majority': 0.0, 'run_time_millis': 29946.394103986677, 'loss_mean': 0.3005579113960266}
Epoch 3 **** Loss 0.2921435832977295 **** Metrics validation: {'accuracy': 0.726911976911977, 'f1_weighted': 0.6119605738364877, 'macro': 0.42093168999373304, 'micro': 0.726911976911977, 'binary': 0.0, 'accuracy_majority': 0.7164068299925761, 'macro_majority': 0.41738754325259514, 'binary_majority': 0.0, 'run_time_millis': 31969.21708501759, 'loss_mean': 0.29986438155174255}
Epoch 4 **** Loss 0.36640387773513794 **** Metrics validation: {'accuracy': 0.726911976911977, 'f1_weighted': 0.6119605738364877, 'macro': 0.42093168999373304, 'micro': 0.726911976911977, 'binary': 0.0, 'accuracy_majority': 0.7164068299925761, 'macro_majority': 0.41738754325259514, 'binary_majority': 0.0, 'run_time_millis': 31979.0736810246, 'loss_mean': 0.30033910274505615}
Epoch 5 **** Loss 0.28817158937454224 **** Metrics validation: {'accuracy': 0.726911976911977, 'f1_weighted': 0.6119605738364877, 'macro': 0.42093168999373304, 'micro': 0.726911976911977, 'binary': 0.0, 'accuracy_majority': 0.7164068299925761, 'macro_majority': 0.41738754325259514, 'binary_majority': 0.0, 'run_time_millis': 31954.032607987756, 'loss_mean': 0.29932987689971924}
Epoch 6 **** Loss 0.4422515034675598 **** Metrics validation: {'accuracy': 0.726911976911977, 'f1_weighted': 0.6119605738364877, 'macro': 0.42093168999373304, 'micro': 0.726911976911977, 'binary': 0.0, 'accuracy_majority': 0.7164068299925761, 'macro_majority': 0.41738754325259514, 'binary_majority': 0.0, 'run_time_millis': 29962.8660879971, 'loss_mean': 0.3000870943069458}
Epoch 7 **** Loss 0.29302242398262024 **** Metrics validation: {'accuracy': 0.726911976911977, 'f1_weighted': 0.6119605738364877, 'macro': 0.42093168999373304, 'micro': 0.726911976911977, 'binary': 0.0, 'accuracy_majority': 0.7164068299925761, 'macro_majority': 0.41738754325259514, 'binary_majority': 0.0, 'run_time_millis': 29956.37435099343, 'loss_mean': 0.2989782392978668}
Epoch 8 **** Loss 0.2903241217136383 **** Metrics validation: {'accuracy': 0.726911976911977, 'f1_weighted': 0.6119605738364877, 'macro': 0.42093168999373304, 'micro': 0.726911976911977, 'binary': 0.0, 'accuracy_majority': 0.7164068299925761, 'macro_majority': 0.41738754325259514, 'binary_majority': 0.0, 'run_time_millis': 30024.706974014407, 'loss_mean': 0.29960355162620544}
Epoch 9 **** Loss 0.2901553511619568 **** Metrics validation: {'accuracy': 0.726911976911977, 'f1_weighted': 0.6119605738364877, 'macro': 0.42093168999373304, 'micro': 0.726911976911977, 'binary': 0.0, 'accuracy_majority': 0.7164068299925761, 'macro_majority': 0.41738754325259514, 'binary_majority': 0.0, 'run_time_millis': 31964.822059992002, 'loss_mean': 0.29932665824890137}
Evaluating
{'accuracy': 0.6438191438191438, 'f1_weighted': 0.6386285515127949, 'macro': 0.5386831670017671, 'micro': 0.6438191438191438, 'binary': 0.3184537505752416, 'accuracy_majority': 0.661841128433556, 'macro_majority': 0.5517717300125963, 'binary_majority': 0.32965415746872695, 'run_time_millis': 30001.355553016765, 'loss_mean': 0.2956845462322235}
