Device cuda
Split type sit
Training Size: 2275, NTA labels 2184, YTA labels 91
Validation Size: 773, NTA labels 737, YTA labels 36
Test Size: 705, NTA labels 682, YTA labels 23
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 720
Epoch 0 **** Loss 0.03127304092049599 **** Metrics validation: {'accuracy': 0.777490297542044, 'f1_weighted': 0.8369039463189911, 'macro': 0.48394659214407704, 'micro': 0.7774902975420439, 'binary': 0.09473684210526315, 'accuracy_majority': 0.7725806451612903, 'macro_majority': 0.4858584611041516, 'binary_majority': 0.10191082802547771, 'run_time_millis': 2354.098095005611, 'loss_mean': 0.05907561257481575}
Epoch 1 **** Loss 0.027489399537444115 **** Metrics validation: {'accuracy': 0.8926261319534282, 'f1_weighted': 0.9047730222890823, 'macro': 0.5345569298850158, 'micro': 0.8926261319534282, 'binary': 0.1263157894736842, 'accuracy_majority': 0.8790322580645161, 'macro_majority': 0.5263559969442322, 'binary_majority': 0.11764705882352941, 'run_time_millis': 2368.5198400053196, 'loss_mean': 0.05873100832104683}
Epoch 2 **** Loss 0.025180859491229057 **** Metrics validation: {'accuracy': 0.9159120310478654, 'f1_weighted': 0.9164594329419266, 'macro': 0.5327307052051076, 'micro': 0.9159120310478654, 'binary': 0.1095890410958904, 'accuracy_majority': 0.9016129032258065, 'macro_majority': 0.518774414373147, 'binary_majority': 0.08955223880597014, 'run_time_millis': 533.3125449978979, 'loss_mean': 0.05861440673470497}
Epoch 3 **** Loss 0.0246063694357872 **** Metrics validation: {'accuracy': 0.9159120310478654, 'f1_weighted': 0.9164594329419266, 'macro': 0.5327307052051076, 'micro': 0.9159120310478654, 'binary': 0.1095890410958904, 'accuracy_majority': 0.9, 'macro_majority': 0.517667135113431, 'binary_majority': 0.08823529411764705, 'run_time_millis': 1954.9469829944428, 'loss_mean': 0.05832081288099289}
Epoch 4 **** Loss 0.025623375549912453 **** Metrics validation: {'accuracy': 0.9159120310478654, 'f1_weighted': 0.9184990558103014, 'macro': 0.5557981841167682, 'micro': 0.9159120310478654, 'binary': 0.15584415584415584, 'accuracy_majority': 0.9016129032258065, 'macro_majority': 0.5443318594199931, 'binary_majority': 0.14084507042253522, 'run_time_millis': 2351.817449001828, 'loss_mean': 0.05804850533604622}
Epoch 5 **** Loss 0.02109108306467533 **** Metrics validation: {'accuracy': 0.908150064683053, 'f1_weighted': 0.9155960073016896, 'macro': 0.5676222889240781, 'micro': 0.908150064683053, 'binary': 0.1839080459770115, 'accuracy_majority': 0.8935483870967742, 'macro_majority': 0.559051724137931, 'binary_majority': 0.17500000000000002, 'run_time_millis': 2348.1707769969944, 'loss_mean': 0.05736647918820381}
Epoch 6 **** Loss 0.03524351492524147 **** Metrics validation: {'accuracy': 0.9184993531694696, 'f1_weighted': 0.9219156953325227, 'macro': 0.5797934301467733, 'micro': 0.9184993531694696, 'binary': 0.20253164556962022, 'accuracy_majority': 0.9048387096774193, 'macro_majority': 0.5706119190994353, 'binary_majority': 0.1917808219178082, 'run_time_millis': 1785.897861002013, 'loss_mean': 0.05849720165133476}
Epoch 7 **** Loss 0.0184991005808115 **** Metrics validation: {'accuracy': 0.9184993531694696, 'f1_weighted': 0.9219156953325227, 'macro': 0.5797934301467733, 'micro': 0.9184993531694696, 'binary': 0.20253164556962022, 'accuracy_majority': 0.9048387096774193, 'macro_majority': 0.5706119190994353, 'binary_majority': 0.1917808219178082, 'run_time_millis': 1546.6066669905558, 'loss_mean': 0.05900324508547783}
Epoch 8 **** Loss 0.016305478289723396 **** Metrics validation: {'accuracy': 0.9184993531694696, 'f1_weighted': 0.9227768235984971, 'macro': 0.5896094046264695, 'micro': 0.9184993531694696, 'binary': 0.22222222222222224, 'accuracy_majority': 0.9064516129032258, 'macro_majority': 0.5832367530480738, 'binary_majority': 0.2162162162162162, 'run_time_millis': 1745.6223409972154, 'loss_mean': 0.05891159921884537}
Epoch 9 **** Loss 0.014129032380878925 **** Metrics validation: {'accuracy': 0.9159120310478654, 'f1_weighted': 0.9211680051919885, 'macro': 0.5862191074619737, 'micro': 0.9159120310478654, 'binary': 0.21686746987951808, 'accuracy_majority': 0.9032258064516129, 'macro_majority': 0.5794899620184482, 'binary_majority': 0.21052631578947367, 'run_time_millis': 1393.4127160027856, 'loss_mean': 0.058860767632722855}
Evaluating
{'accuracy': 0.9184993531694696, 'f1_weighted': 0.9227768235984971, 'macro': 0.5896094046264695, 'micro': 0.9184993531694696, 'binary': 0.22222222222222224, 'accuracy_majority': 0.9064516129032258, 'macro_majority': 0.5832367530480738, 'binary_majority': 0.2162162162162162, 'run_time_millis': 2003.0118430004222, 'loss_mean': 0.05891159921884537}
