Device cuda
Split type sit
Training Size: 2305, NTA labels 2250, YTA labels 55
Validation Size: 757, NTA labels 737, YTA labels 20
Test Size: 691, NTA labels 678, YTA labels 13
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 730
Epoch 0 **** Loss 0.020461320877075195 **** Metrics validation: {'accuracy': 0.7661822985468957, 'f1_weighted': 0.845058267710951, 'macro': 0.45503019949972545, 'micro': 0.7661822985468957, 'binary': 0.043243243243243246, 'accuracy_majority': 0.7661927330173776, 'macro_majority': 0.458974358974359, 'binary_majority': 0.05128205128205128, 'run_time_millis': 1752.9353979043663, 'loss_mean': 0.03555719926953316}
Epoch 1 **** Loss 0.01815706305205822 **** Metrics validation: {'accuracy': 0.916776750330251, 'f1_weighted': 0.9327691704825726, 'macro': 0.5080815686598108, 'micro': 0.916776750330251, 'binary': 0.05970149253731343, 'accuracy_majority': 0.909952606635071, 'macro_majority': 0.509135432963744, 'binary_majority': 0.06557377049180328, 'run_time_millis': 1027.9247229918838, 'loss_mean': 0.03564193472266197}
Epoch 2 **** Loss 0.01790597103536129 **** Metrics validation: {'accuracy': 0.9194187582562747, 'f1_weighted': 0.932706985319855, 'macro': 0.4790089470061941, 'micro': 0.9194187582562747, 'binary': 0.0, 'accuracy_majority': 0.9162717219589257, 'macro_majority': 0.47815333882934874, 'binary_majority': 0.0, 'run_time_millis': 1987.9641123116016, 'loss_mean': 0.03549487516283989}
Epoch 3 **** Loss 0.01842830702662468 **** Metrics validation: {'accuracy': 0.9365918097754293, 'f1_weighted': 0.9417028155586512, 'macro': 0.4836289222373806, 'micro': 0.9365918097754293, 'binary': 0.0, 'accuracy_majority': 0.933649289099526, 'macro_majority': 0.4828431372549019, 'binary_majority': 0.0, 'run_time_millis': 1333.9950549416244, 'loss_mean': 0.035538747906684875}
Epoch 4 **** Loss 0.015447287820279598 **** Metrics validation: {'accuracy': 0.9418758256274768, 'f1_weighted': 0.9444387530441504, 'macro': 0.48503401360544224, 'micro': 0.9418758256274768, 'binary': 0.0, 'accuracy_majority': 0.9383886255924171, 'macro_majority': 0.4841075794621027, 'binary_majority': 0.0, 'run_time_millis': 2195.917370263487, 'loss_mean': 0.035659059882164}
Epoch 5 **** Loss 0.01599634625017643 **** Metrics validation: {'accuracy': 0.9458388375165125, 'f1_weighted': 0.9464809548535911, 'macro': 0.4860828241683639, 'micro': 0.9458388375165125, 'binary': 0.0, 'accuracy_majority': 0.943127962085308, 'macro_majority': 0.4853658536585366, 'binary_majority': 0.0, 'run_time_millis': 682.1572612971067, 'loss_mean': 0.035697147250175476}
Epoch 6 **** Loss 0.010049119591712952 **** Metrics validation: {'accuracy': 0.9577278731836195, 'f1_weighted': 0.9525579521407929, 'macro': 0.48920377867746284, 'micro': 0.9577278731836195, 'binary': 0.0, 'accuracy_majority': 0.9557661927330173, 'macro_majority': 0.4886914378029079, 'binary_majority': 0.0, 'run_time_millis': 1488.0146458745003, 'loss_mean': 0.03605697676539421}
Epoch 7 **** Loss 0.014415198937058449 **** Metrics validation: {'accuracy': 0.9577278731836195, 'f1_weighted': 0.9525579521407929, 'macro': 0.48920377867746284, 'micro': 0.9577278731836195, 'binary': 0.0, 'accuracy_majority': 0.9557661927330173, 'macro_majority': 0.4886914378029079, 'binary_majority': 0.0, 'run_time_millis': 1231.7038611508906, 'loss_mean': 0.03600257635116577}
Epoch 8 **** Loss 0.011129343882203102 **** Metrics validation: {'accuracy': 0.9603698811096433, 'f1_weighted': 0.9538983859539178, 'macro': 0.48989218328840967, 'micro': 0.9603698811096433, 'binary': 0.0, 'accuracy_majority': 0.957345971563981, 'macro_majority': 0.4891041162227603, 'binary_majority': 0.0, 'run_time_millis': 2365.2782668359578, 'loss_mean': 0.036282043904066086}
Epoch 9 **** Loss 0.015541614033281803 **** Metrics validation: {'accuracy': 0.9616908850726552, 'f1_weighted': 0.9545672488869319, 'macro': 0.49023569023569025, 'micro': 0.9616908850726552, 'binary': 0.0, 'accuracy_majority': 0.9589257503949447, 'macro_majority': 0.48951612903225805, 'binary_majority': 0.0, 'run_time_millis': 2148.805186152458, 'loss_mean': 0.03633790835738182}
Evaluating
{'accuracy': 0.9616908850726552, 'f1_weighted': 0.9545672488869319, 'macro': 0.49023569023569025, 'micro': 0.9616908850726552, 'binary': 0.0, 'accuracy_majority': 0.9589257503949447, 'macro_majority': 0.48951612903225805, 'binary_majority': 0.0, 'run_time_millis': 822.7205239236355, 'loss_mean': 0.03633790835738182}
