Device cuda
Split type sit
Training Size: 2243, NTA labels 2085, YTA labels 158
Validation Size: 792, NTA labels 719, YTA labels 73
Test Size: 771, NTA labels 722, YTA labels 49
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 710
Epoch 0 **** Loss 0.05417698249220848 **** Metrics validation: {'accuracy': 0.7070707070707071, 'f1_weighted': 0.7677003683918117, 'macro': 0.5637068204051783, 'micro': 0.7070707070707071, 'binary': 0.31360946745562135, 'accuracy_majority': 0.7111553784860558, 'macro_majority': 0.5793531087648734, 'binary_majority': 0.3438914027149321, 'run_time_millis': 585.1068738847971, 'loss_mean': 0.09893891960382462}
Epoch 1 **** Loss 0.019330749288201332 **** Metrics validation: {'accuracy': 0.7626262626262627, 'f1_weighted': 0.8079233726383187, 'macro': 0.5989095650112599, 'micro': 0.7626262626262628, 'binary': 0.34265734265734266, 'accuracy_majority': 0.7729083665338645, 'macro_majority': 0.6207051961823966, 'binary_majority': 0.3804347826086957, 'run_time_millis': 583.3299122750759, 'loss_mean': 0.08670496940612793}
Epoch 2 **** Loss 0.05696104094386101 **** Metrics validation: {'accuracy': 0.8156565656565656, 'f1_weighted': 0.843232236979326, 'macro': 0.6259897531439218, 'micro': 0.8156565656565656, 'binary': 0.35964912280701755, 'accuracy_majority': 0.8167330677290837, 'macro_majority': 0.6394691647150663, 'binary_majority': 0.3866666666666667, 'run_time_millis': 582.5601671822369, 'loss_mean': 0.0874529629945755}
Epoch 3 **** Loss 0.016995185986161232 **** Metrics validation: {'accuracy': 0.8320707070707071, 'f1_weighted': 0.8547855352066539, 'macro': 0.642122071788948, 'micro': 0.8320707070707071, 'binary': 0.38139534883720927, 'accuracy_majority': 0.8306772908366534, 'macro_majority': 0.6574204166833928, 'binary_majority': 0.4137931034482758, 'run_time_millis': 589.3580419942737, 'loss_mean': 0.09477902203798294}
Epoch 4 **** Loss 0.065769262611866 **** Metrics validation: {'accuracy': 0.8396464646464646, 'f1_weighted': 0.8588499020157738, 'macro': 0.6412109451636031, 'micro': 0.8396464646464645, 'binary': 0.374384236453202, 'accuracy_majority': 0.8306772908366534, 'macro_majority': 0.645111656339668, 'binary_majority': 0.3884892086330935, 'run_time_millis': 1657.704884186387, 'loss_mean': 0.1095304787158966}
Epoch 5 **** Loss 0.00546956667676568 **** Metrics validation: {'accuracy': 0.8396464646464646, 'f1_weighted': 0.8588499020157738, 'macro': 0.6412109451636031, 'micro': 0.8396464646464645, 'binary': 0.374384236453202, 'accuracy_majority': 0.8306772908366534, 'macro_majority': 0.645111656339668, 'binary_majority': 0.3884892086330935, 'run_time_millis': 590.0435238145292, 'loss_mean': 0.12469431012868881}
Epoch 6 **** Loss 0.10767792910337448 **** Metrics validation: {'accuracy': 0.8547979797979798, 'f1_weighted': 0.8675595011204237, 'macro': 0.6447502369501878, 'micro': 0.8547979797979798, 'binary': 0.3715846994535519, 'accuracy_majority': 0.8466135458167331, 'macro_majority': 0.6482002275312855, 'binary_majority': 0.38399999999999995, 'run_time_millis': 587.4642967246473, 'loss_mean': 0.15057776868343353}
Epoch 7 **** Loss 0.00525694340467453 **** Metrics validation: {'accuracy': 0.8535353535353535, 'f1_weighted': 0.8655946933724711, 'macro': 0.6364672364672365, 'micro': 0.8535353535353535, 'binary': 0.35555555555555546, 'accuracy_majority': 0.8466135458167331, 'macro_majority': 0.6432915293965652, 'binary_majority': 0.37398373983739835, 'run_time_millis': 1380.5930698290467, 'loss_mean': 0.16120700538158417}
Epoch 8 **** Loss 0.07248144596815109 **** Metrics validation: {'accuracy': 0.8661616161616161, 'f1_weighted': 0.8744732036228834, 'macro': 0.6507529744571097, 'micro': 0.8661616161616161, 'binary': 0.3764705882352941, 'accuracy_majority': 0.8585657370517928, 'macro_majority': 0.6565586486668786, 'binary_majority': 0.39316239316239315, 'run_time_millis': 589.3186605535448, 'loss_mean': 0.17649240791797638}
Epoch 9 **** Loss 0.015270989388227463 **** Metrics validation: {'accuracy': 0.8686868686868687, 'f1_weighted': 0.8744327159704561, 'macro': 0.6424441318956087, 'micro': 0.8686868686868688, 'binary': 0.3580246913580247, 'accuracy_majority': 0.8585657370517928, 'macro_majority': 0.6404265407624871, 'binary_majority': 0.3603603603603604, 'run_time_millis': 585.965579841286, 'loss_mean': 0.18718625605106354}
Evaluating
{'accuracy': 0.8661616161616161, 'f1_weighted': 0.8744732036228834, 'macro': 0.6507529744571097, 'micro': 0.8661616161616161, 'binary': 0.3764705882352941, 'accuracy_majority': 0.8585657370517928, 'macro_majority': 0.6565586486668786, 'binary_majority': 0.39316239316239315, 'run_time_millis': 585.5344017036259, 'loss_mean': 0.17649240791797638}
