Device cuda
Split type sit
Training Size: 1140, NTA labels 906, YTA labels 234
Validation Size: 380, NTA labels 313, YTA labels 67
Test Size: 382, NTA labels 292, YTA labels 90
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 360
Epoch 0 **** Loss 0.09812746942043304 **** Metrics validation: {'accuracy': 0.8184210526315789, 'f1_weighted': 0.8337809447886367, 'macro': 0.7459080733784923, 'micro': 0.8184210526315789, 'binary': 0.6101694915254238, 'accuracy_majority': 0.8210526315789474, 'macro_majority': 0.7721822541966428, 'binary_majority': 0.6666666666666667, 'run_time_millis': 192.6307319999978, 'loss_mean': 0.13014745712280273}
Epoch 1 **** Loss 0.17715485394001007 **** Metrics validation: {'accuracy': 0.8605263157894737, 'f1_weighted': 0.8690779172654, 'macro': 0.791163326040295, 'micro': 0.8605263157894736, 'binary': 0.6708074534161492, 'accuracy_majority': 0.8736842105263158, 'macro_majority': 0.8303823835738728, 'binary_majority': 0.7446808510638298, 'run_time_millis': 1553.257671999745, 'loss_mean': 0.12413337826728821}
Epoch 2 **** Loss 0.06655721366405487 **** Metrics validation: {'accuracy': 0.7921052631578948, 'f1_weighted': 0.8140141084444645, 'macro': 0.7310975555137542, 'micro': 0.7921052631578948, 'binary': 0.6030150753768844, 'accuracy_majority': 0.8263157894736842, 'macro_majority': 0.792184548075967, 'binary_majority': 0.7079646017699115, 'run_time_millis': 831.3687350000691, 'loss_mean': 0.12589742243289948}
Epoch 3 **** Loss 0.0793813169002533 **** Metrics validation: {'accuracy': 0.8868421052631579, 'f1_weighted': 0.8871706822612085, 'macro': 0.8063407407407408, 'micro': 0.886842105263158, 'binary': 0.6814814814814815, 'accuracy_majority': 0.868421052631579, 'macro_majority': 0.8038729922787894, 'binary_majority': 0.691358024691358, 'run_time_millis': 517.644546000156, 'loss_mean': 0.19369249045848846}
Epoch 4 **** Loss 0.04285905510187149 **** Metrics validation: {'accuracy': 0.8394736842105263, 'f1_weighted': 0.8503716510527657, 'macro': 0.7638910109498345, 'micro': 0.8394736842105263, 'binary': 0.6303030303030303, 'accuracy_majority': 0.8421052631578947, 'macro_majority': 0.7909330985915494, 'binary_majority': 0.6875000000000001, 'run_time_millis': 417.27769199997056, 'loss_mean': 0.1448126584291458}
Epoch 5 **** Loss 0.10366301238536835 **** Metrics validation: {'accuracy': 0.8552631578947368, 'f1_weighted': 0.8650891935721657, 'macro': 0.7871148459383753, 'micro': 0.8552631578947367, 'binary': 0.6666666666666666, 'accuracy_majority': 0.8736842105263158, 'macro_majority': 0.8327464788732394, 'binary_majority': 0.7499999999999999, 'run_time_millis': 771.014266000293, 'loss_mean': 0.1493133008480072}
Epoch 6 **** Loss 0.03987696394324303 **** Metrics validation: {'accuracy': 0.8710526315789474, 'f1_weighted': 0.8759604472577108, 'macro': 0.79547227012599, 'micro': 0.8710526315789474, 'binary': 0.6711409395973154, 'accuracy_majority': 0.8631578947368421, 'macro_majority': 0.8077521793275217, 'binary_majority': 0.7045454545454545, 'run_time_millis': 1690.812090000236, 'loss_mean': 0.17901825904846191}
Epoch 7 **** Loss 0.08310435712337494 **** Metrics validation: {'accuracy': 0.85, 'f1_weighted': 0.8610909200132161, 'macro': 0.7831375964917551, 'micro': 0.85, 'binary': 0.6627218934911242, 'accuracy_majority': 0.8631578947368421, 'macro_majority': 0.8212476479953684, 'binary_majority': 0.7346938775510204, 'run_time_millis': 174.90417099998012, 'loss_mean': 0.15666064620018005}
Epoch 8 **** Loss 0.10445930808782578 **** Metrics validation: {'accuracy': 0.8710526315789474, 'f1_weighted': 0.8759604472577108, 'macro': 0.79547227012599, 'micro': 0.8710526315789474, 'binary': 0.6711409395973154, 'accuracy_majority': 0.8631578947368421, 'macro_majority': 0.8077521793275217, 'binary_majority': 0.7045454545454545, 'run_time_millis': 1653.9949799998794, 'loss_mean': 0.1831308752298355}
Epoch 9 **** Loss 0.06380919367074966 **** Metrics validation: {'accuracy': 0.8710526315789474, 'f1_weighted': 0.8759604472577108, 'macro': 0.79547227012599, 'micro': 0.8710526315789474, 'binary': 0.6711409395973154, 'accuracy_majority': 0.8631578947368421, 'macro_majority': 0.8077521793275217, 'binary_majority': 0.7045454545454545, 'run_time_millis': 2085.7177639995825, 'loss_mean': 0.18110643327236176}
Evaluating
{'accuracy': 0.8868421052631579, 'f1_weighted': 0.8871706822612085, 'macro': 0.8063407407407408, 'micro': 0.886842105263158, 'binary': 0.6814814814814815, 'accuracy_majority': 0.868421052631579, 'macro_majority': 0.8038729922787894, 'binary_majority': 0.691358024691358, 'run_time_millis': 526.8464959999619, 'loss_mean': 0.19369249045848846}
