Device cuda
Split type sit
Training Size: 9357, NTA labels 6685, YTA labels 2672
Validation Size: 3019, NTA labels 2154, YTA labels 865
Test Size: 3486, NTA labels 2453, YTA labels 1033
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 2930
Epoch 0 **** Loss 0.3301715552806854 **** Metrics validation: {'accuracy': 0.7134812851937727, 'f1_weighted': 0.5941769527575435, 'macro': 0.4163928088150009, 'micro': 0.7134812851937727, 'binary': 0.0, 'accuracy_majority': 0.6957561267184699, 'macro_majority': 0.410292562566091, 'binary_majority': 0.0, 'run_time_millis': 10834.736026008613, 'loss_mean': 0.2924535572528839}
Epoch 1 **** Loss 0.369280070066452 **** Metrics validation: {'accuracy': 0.7134812851937727, 'f1_weighted': 0.5941769527575435, 'macro': 0.4163928088150009, 'micro': 0.7134812851937727, 'binary': 0.0, 'accuracy_majority': 0.6957561267184699, 'macro_majority': 0.410292562566091, 'binary_majority': 0.0, 'run_time_millis': 10830.410842085257, 'loss_mean': 0.2922144830226898}
Epoch 2 **** Loss 0.32917267084121704 **** Metrics validation: {'accuracy': 0.7134812851937727, 'f1_weighted': 0.5941769527575435, 'macro': 0.4163928088150009, 'micro': 0.7134812851937727, 'binary': 0.0, 'accuracy_majority': 0.6957561267184699, 'macro_majority': 0.410292562566091, 'binary_majority': 0.0, 'run_time_millis': 10835.712851956487, 'loss_mean': 0.29111504554748535}
Epoch 3 **** Loss 0.3033844828605652 **** Metrics validation: {'accuracy': 0.7134812851937727, 'f1_weighted': 0.5941769527575435, 'macro': 0.4163928088150009, 'micro': 0.7134812851937727, 'binary': 0.0, 'accuracy_majority': 0.6957561267184699, 'macro_majority': 0.410292562566091, 'binary_majority': 0.0, 'run_time_millis': 10932.817894034088, 'loss_mean': 0.2906787395477295}
Epoch 4 **** Loss 0.29538092017173767 **** Metrics validation: {'accuracy': 0.7134812851937727, 'f1_weighted': 0.5941769527575435, 'macro': 0.4163928088150009, 'micro': 0.7134812851937727, 'binary': 0.0, 'accuracy_majority': 0.6957561267184699, 'macro_majority': 0.410292562566091, 'binary_majority': 0.0, 'run_time_millis': 12248.732581967488, 'loss_mean': 0.28917866945266724}
Epoch 5 **** Loss 0.28817832469940186 **** Metrics validation: {'accuracy': 0.7134812851937727, 'f1_weighted': 0.5941769527575435, 'macro': 0.4163928088150009, 'micro': 0.7134812851937727, 'binary': 0.0, 'accuracy_majority': 0.6957561267184699, 'macro_majority': 0.410292562566091, 'binary_majority': 0.0, 'run_time_millis': 12856.588399969041, 'loss_mean': 0.2876594066619873}
Epoch 6 **** Loss 0.2930321991443634 **** Metrics validation: {'accuracy': 0.7353428287512421, 'f1_weighted': 0.6693306341269237, 'macro': 0.5425203228441419, 'micro': 0.7353428287512421, 'binary': 0.24551463644948066, 'accuracy_majority': 0.7268380155409444, 'macro_majority': 0.561138137181463, 'binary_majority': 0.29147286821705426, 'run_time_millis': 12348.575903917663, 'loss_mean': 0.2862685024738312}
Epoch 7 **** Loss 0.3140127956867218 **** Metrics validation: {'accuracy': 0.7353428287512421, 'f1_weighted': 0.6693306341269237, 'macro': 0.5425203228441419, 'micro': 0.7353428287512421, 'binary': 0.24551463644948066, 'accuracy_majority': 0.7268380155409444, 'macro_majority': 0.561138137181463, 'binary_majority': 0.29147286821705426, 'run_time_millis': 12857.614715001546, 'loss_mean': 0.28524401783943176}
Epoch 8 **** Loss 0.2983689606189728 **** Metrics validation: {'accuracy': 0.7346803577343491, 'f1_weighted': 0.6944222368176225, 'macro': 0.5908439576526316, 'micro': 0.7346803577343491, 'binary': 0.3482506102522376, 'accuracy_majority': 0.7316198445905558, 'macro_majority': 0.610850616871427, 'binary_majority': 0.3940620782726046, 'run_time_millis': 12850.831195013598, 'loss_mean': 0.2845900356769562}
Epoch 9 **** Loss 0.22088190913200378 **** Metrics validation: {'accuracy': 0.7340178867174562, 'f1_weighted': 0.7062493848826487, 'macro': 0.6147056537699456, 'micro': 0.7340178867174562, 'binary': 0.40029873039581776, 'accuracy_majority': 0.7364016736401674, 'macro_majority': 0.6393100970176069, 'binary_majority': 0.45217391304347826, 'run_time_millis': 12852.855243952945, 'loss_mean': 0.28439152240753174}
Evaluating
{'accuracy': 0.7340178867174562, 'f1_weighted': 0.7062493848826487, 'macro': 0.6147056537699456, 'micro': 0.7340178867174562, 'binary': 0.40029873039581776, 'accuracy_majority': 0.7364016736401674, 'macro_majority': 0.6393100970176069, 'binary_majority': 0.45217391304347826, 'run_time_millis': 10808.880173019134, 'loss_mean': 0.28439152240753174}
