Device cuda
Split type sit
Training Size: 2015, NTA labels 1789, YTA labels 226
Validation Size: 691, NTA labels 615, YTA labels 76
Test Size: 674, NTA labels 603, YTA labels 71
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 630
Epoch 0 **** Loss 0.12407104671001434 **** Metrics validation: {'accuracy': 0.9001447178002895, 'f1_weighted': 0.9118379523307423, 'macro': 0.8085157652501838, 'micro': 0.9001447178002895, 'binary': 0.676056338028169, 'accuracy_majority': 0.9107468123861566, 'macro_majority': 0.8379233267259921, 'binary_majority': 0.7292817679558011, 'run_time_millis': 2695.4811010000412, 'loss_mean': 0.053523898124694824}
Epoch 1 **** Loss 0.04330424591898918 **** Metrics validation: {'accuracy': 0.8393632416787264, 'f1_weighted': 0.864892190669614, 'macro': 0.7362930924818725, 'micro': 0.8393632416787264, 'binary': 0.5714285714285714, 'accuracy_majority': 0.8561020036429873, 'macro_majority': 0.7715452079327872, 'binary_majority': 0.6325581395348837, 'run_time_millis': 2013.5272309998982, 'loss_mean': 0.05145725980401039}
Epoch 2 **** Loss 0.024072840809822083 **** Metrics validation: {'accuracy': 0.914616497829233, 'f1_weighted': 0.9227472149285761, 'macro': 0.8253592923386665, 'micro': 0.914616497829233, 'binary': 0.7005076142131978, 'accuracy_majority': 0.9216757741347905, 'macro_majority': 0.849637900395539, 'binary_majority': 0.7455621301775148, 'run_time_millis': 2711.7098910021014, 'loss_mean': 0.05898779258131981}
Epoch 3 **** Loss 0.003976382780820131 **** Metrics validation: {'accuracy': 0.934876989869754, 'f1_weighted': 0.9393077787603488, 'macro': 0.8569562197248151, 'micro': 0.9348769898697541, 'binary': 0.7513812154696133, 'accuracy_majority': 0.9398907103825137, 'macro_majority': 0.8773699208729024, 'binary_majority': 0.7898089171974522, 'run_time_millis': 2703.6264820053475, 'loss_mean': 0.06255341321229935}
Epoch 4 **** Loss 0.02947966568171978 **** Metrics validation: {'accuracy': 0.914616497829233, 'f1_weighted': 0.9224840343219991, 'macro': 0.8238653792150001, 'micro': 0.914616497829233, 'binary': 0.6974358974358975, 'accuracy_majority': 0.9216757741347905, 'macro_majority': 0.8481640371244621, 'binary_majority': 0.7425149700598801, 'run_time_millis': 2699.2015409996384, 'loss_mean': 0.0673731192946434}
Epoch 5 **** Loss 0.024890342727303505 **** Metrics validation: {'accuracy': 0.9319826338639653, 'f1_weighted': 0.9352277967587939, 'macro': 0.8431676493739164, 'micro': 0.9319826338639653, 'binary': 0.7251461988304094, 'accuracy_majority': 0.9326047358834244, 'macro_majority': 0.8563447217487854, 'binary_majority': 0.7516778523489933, 'run_time_millis': 2705.8016459995997, 'loss_mean': 0.09701048582792282}
Epoch 6 **** Loss 0.010509975254535675 **** Metrics validation: {'accuracy': 0.9334298118668596, 'f1_weighted': 0.9380842384822125, 'macro': 0.8544597069597071, 'micro': 0.9334298118668596, 'binary': 0.7472527472527473, 'accuracy_majority': 0.9380692167577414, 'macro_majority': 0.8743199569081606, 'binary_majority': 0.7848101265822784, 'run_time_millis': 2697.933520001243, 'loss_mean': 0.07215443253517151}
Epoch 7 **** Loss 0.004387614317238331 **** Metrics validation: {'accuracy': 0.934876989869754, 'f1_weighted': 0.9379840607265048, 'macro': 0.8498413664218349, 'micro': 0.9348769898697541, 'binary': 0.736842105263158, 'accuracy_majority': 0.9344262295081968, 'macro_majority': 0.8610126582278481, 'binary_majority': 0.7599999999999999, 'run_time_millis': 2291.27975099982, 'loss_mean': 0.08871093392372131}
Epoch 8 **** Loss 0.002339977538213134 **** Metrics validation: {'accuracy': 0.934876989869754, 'f1_weighted': 0.938536025894021, 'macro': 0.8527873121079418, 'micro': 0.9348769898697541, 'binary': 0.7428571428571429, 'accuracy_majority': 0.9326047358834244, 'macro_majority': 0.8610269216296651, 'binary_majority': 0.7612903225806451, 'run_time_millis': 2707.9899110030965, 'loss_mean': 0.08574369549751282}
Epoch 9 **** Loss 0.0020642196759581566 **** Metrics validation: {'accuracy': 0.934876989869754, 'f1_weighted': 0.9373996820637547, 'macro': 0.8467509425593258, 'micro': 0.9348769898697541, 'binary': 0.7305389221556886, 'accuracy_majority': 0.930783242258652, 'macro_majority': 0.8516216216216217, 'binary_majority': 0.7432432432432433, 'run_time_millis': 1018.8590440011467, 'loss_mean': 0.10584256798028946}
Evaluating
{'accuracy': 0.934876989869754, 'f1_weighted': 0.9393077787603488, 'macro': 0.8569562197248151, 'micro': 0.9348769898697541, 'binary': 0.7513812154696133, 'accuracy_majority': 0.9398907103825137, 'macro_majority': 0.8773699208729024, 'binary_majority': 0.7898089171974522, 'run_time_millis': 2701.389724999899, 'loss_mean': 0.06255341321229935}
