Device cuda
Split type sit
Training Size: 8267, NTA labels 5886, YTA labels 2381
Validation Size: 2561, NTA labels 1796, YTA labels 765
Test Size: 2951, NTA labels 2102, YTA labels 849
Training with SBERT, model name is sbert
Tokenizing the dataset
Number of training steps 2590
Epoch 0 **** Loss 0.3435748815536499 **** Metrics validation: {'accuracy': 0.7012885591565795, 'f1_weighted': 0.578156645510772, 'macro': 0.4122102364011935, 'micro': 0.7012885591565795, 'binary': 0.0, 'accuracy_majority': 0.6930358350236646, 'macro_majority': 0.4093450479233227, 'binary_majority': 0.0, 'run_time_millis': 9382.399540161714, 'loss_mean': 0.2983264923095703}
Epoch 1 **** Loss 0.3235999345779419 **** Metrics validation: {'accuracy': 0.7012885591565795, 'f1_weighted': 0.578156645510772, 'macro': 0.4122102364011935, 'micro': 0.7012885591565795, 'binary': 0.0, 'accuracy_majority': 0.6930358350236646, 'macro_majority': 0.4093450479233227, 'binary_majority': 0.0, 'run_time_millis': 9366.455515148118, 'loss_mean': 0.29847100377082825}
Epoch 2 **** Loss 0.22988510131835938 **** Metrics validation: {'accuracy': 0.7012885591565795, 'f1_weighted': 0.578156645510772, 'macro': 0.4122102364011935, 'micro': 0.7012885591565795, 'binary': 0.0, 'accuracy_majority': 0.6930358350236646, 'macro_majority': 0.4093450479233227, 'binary_majority': 0.0, 'run_time_millis': 9358.504550065845, 'loss_mean': 0.29611560702323914}
Epoch 3 **** Loss 0.2913970947265625 **** Metrics validation: {'accuracy': 0.7012885591565795, 'f1_weighted': 0.578156645510772, 'macro': 0.4122102364011935, 'micro': 0.7012885591565795, 'binary': 0.0, 'accuracy_majority': 0.6930358350236646, 'macro_majority': 0.4093450479233227, 'binary_majority': 0.0, 'run_time_millis': 9363.739443942904, 'loss_mean': 0.3005920946598053}
Epoch 4 **** Loss 0.24045515060424805 **** Metrics validation: {'accuracy': 0.7012885591565795, 'f1_weighted': 0.578156645510772, 'macro': 0.4122102364011935, 'micro': 0.7012885591565795, 'binary': 0.0, 'accuracy_majority': 0.6930358350236646, 'macro_majority': 0.4093450479233227, 'binary_majority': 0.0, 'run_time_millis': 11393.835664959624, 'loss_mean': 0.2993357479572296}
Epoch 5 **** Loss 0.39111459255218506 **** Metrics validation: {'accuracy': 0.7012885591565795, 'f1_weighted': 0.578156645510772, 'macro': 0.4122102364011935, 'micro': 0.7012885591565795, 'binary': 0.0, 'accuracy_majority': 0.6930358350236646, 'macro_majority': 0.4093450479233227, 'binary_majority': 0.0, 'run_time_millis': 11394.50278505683, 'loss_mean': 0.2967747449874878}
Epoch 6 **** Loss 0.3498554527759552 **** Metrics validation: {'accuracy': 0.7012885591565795, 'f1_weighted': 0.578156645510772, 'macro': 0.4122102364011935, 'micro': 0.7012885591565795, 'binary': 0.0, 'accuracy_majority': 0.6930358350236646, 'macro_majority': 0.4093450479233227, 'binary_majority': 0.0, 'run_time_millis': 9359.542590100318, 'loss_mean': 0.29879525303840637}
Epoch 7 **** Loss 0.2855273187160492 **** Metrics validation: {'accuracy': 0.7012885591565795, 'f1_weighted': 0.578156645510772, 'macro': 0.4122102364011935, 'micro': 0.7012885591565795, 'binary': 0.0, 'accuracy_majority': 0.6930358350236646, 'macro_majority': 0.4093450479233227, 'binary_majority': 0.0, 'run_time_millis': 9367.116783978418, 'loss_mean': 0.298073410987854}
Epoch 8 **** Loss 0.25363844633102417 **** Metrics validation: {'accuracy': 0.7012885591565795, 'f1_weighted': 0.578156645510772, 'macro': 0.4122102364011935, 'micro': 0.7012885591565795, 'binary': 0.0, 'accuracy_majority': 0.6930358350236646, 'macro_majority': 0.4093450479233227, 'binary_majority': 0.0, 'run_time_millis': 9365.52814906463, 'loss_mean': 0.29853788018226624}
Epoch 9 **** Loss 0.34906551241874695 **** Metrics validation: {'accuracy': 0.7012885591565795, 'f1_weighted': 0.578156645510772, 'macro': 0.4122102364011935, 'micro': 0.7012885591565795, 'binary': 0.0, 'accuracy_majority': 0.6930358350236646, 'macro_majority': 0.4093450479233227, 'binary_majority': 0.0, 'run_time_millis': 9370.747701032087, 'loss_mean': 0.2986234128475189}
Evaluating
{'accuracy': 0.7012885591565795, 'f1_weighted': 0.578156645510772, 'macro': 0.4122102364011935, 'micro': 0.7012885591565795, 'binary': 0.0, 'accuracy_majority': 0.6930358350236646, 'macro_majority': 0.4093450479233227, 'binary_majority': 0.0, 'run_time_millis': 9389.549901941791, 'loss_mean': 0.2983264923095703}
